track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KEVX20200705_102334_V06,-23,0.713,252.24,334.237579,8.456791,-86.17,30.409516,4228.395462,20200705_052334
7,KEVX20200705_102903_V06,-17,0.591,251.51,334.253284,14.163868,-86.17,30.409438,7081.933830,20200705_052903
7,KEVX20200705_103423_V06,-12,0.840,250.56,333.734000,13.357515,-86.18,30.411770,6678.757261,20200705_053423
7,KEVX20200705_103958_V06,-7,0.856,248.60,334.443531,13.808325,-86.19,30.408549,6904.162410,20200705_053958
7,KEVX20200705_104548_V06,-1,0.383,248.12,333.522509,15.911888,-86.19,30.412698,7955.944153,20200705_054548
11,KEVX20200705_102903_V06,-17,0.262,384.62,217.982971,9.185272,-85.48,30.933313,4592.636108,20200705_052903
11,KEVX20200705_103423_V06,-12,0.705,385.50,217.305224,13.288777,-85.47,30.936354,6644.388533,20200705_053423
11,KEVX20200705_103958_V06,-7,0.059,381.83,227.587280,21.055797,-85.49,30.890048,10527.898302,20200705_053958
9,KEVX20200705_102334_V06,-23,0.095,366.83,384.928284,19.979462,-85.57,30.180660,9989.730835,20200705_052334
9,KEVX20200705_102903_V06,-17,0.360,367.28,388.056422,27.668420,-85.57,30.166545,13834.210038,20200705_052903
16,KEVX20200705_103423_V06,-12,0.116,311.12,155.551605,13.893036,-85.86,31.215603,6946.517944,20200705_053423
16,KEVX20200705_103958_V06,-7,0.101,310.13,155.283576,20.908965,-85.87,31.216813,10454.482254,20200705_053958
21,KEVX20200705_105118_V06,5,0.447,351.35,48.375244,23.521881,-85.65,31.698645,11760.940552,20200705_055118
21,KEVX20200705_110234_V06,16,0.051,349.00,49.605801,35.443811,-85.66,31.693121,17721.905731,20200705_060234
2,KEVX20200705_101820_V06,-28,0.237,378.81,239.830078,30.187729,-85.51,30.834886,15093.864441,20200705_051820
3,KEVX20200705_101820_V06,-28,0.195,293.40,325.038177,13.185303,-85.96,30.451240,6592.651367,20200705_051820
8,KEVX20200705_102334_V06,-23,0.117,412.10,424.930115,9.938591,-85.34,29.999401,4969.295502,20200705_052334
10,KEVX20200705_102903_V06,-17,0.360,333.91,205.275482,7.830963,-85.74,30.991253,3915.481567,20200705_052903
10,KEVX20200705_103423_V06,-12,-1.000,333.91,205.275482,15.780963,-85.74,30.991253,7890.481567,20200705_053423
10,KEVX20200705_103958_V06,-7,0.074,337.08,204.960266,9.658600,-85.73,30.992651,4829.299927,20200705_053958
20,KEVX20200705_104548_V06,-1,0.098,273.91,334.422791,16.078671,-86.06,30.408847,8039.335251,20200705_054548
22,KEVX20200705_111950_V06,33,0.093,326.72,205.971252,2.378555,-85.78,30.988161,1189.277649,20200705_061950
2,KEVX20201219_120704_V06,-28,0.186,387.79,366.862610,3.831810,-85.47,30.261806,1915.904999,20201219_060704
2,KEVX20201219_121410_V06,-21,0.178,390.88,369.428375,10.860995,-85.45,30.250177,5430.497448,20201219_061410
2,KEVX20201219_122116_V06,-14,0.107,380.75,373.422065,13.998560,-85.50,30.232344,6999.280050,20201219_062116
7,KEVX20201219_121410_V06,-21,0.794,370.55,266.757355,8.787140,-85.55,30.713576,4393.569946,20201219_061410
7,KEVX20201219_122116_V06,-14,0.523,371.70,264.637508,17.351514,-85.55,30.723119,8675.757051,20201219_062116
7,KEVX20201219_122823_V06,-7,0.240,347.64,261.431928,25.646550,-85.67,30.737876,12823.275071,20201219_062823
25,KEVX20201219_123528_V06,0,0.332,179.46,269.079437,13.188126,-86.55,30.702104,6594.062805,20201219_063528
25,KEVX20201219_123958_V06,4,0.455,180.03,268.034043,19.047082,-86.55,30.706833,9523.541088,20201219_063958
25,KEVX20201219_124433_V06,9,0.420,179.35,260.339587,20.486159,-86.55,30.741517,10243.079268,20201219_064433
