track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KGSP20210808_102132_V06,-23,0.538,452.25,507.190735,24.962570,-81.40,33.946381,12481.285095,20210808_062132
1,KGSP20210808_103006_V06,-14,0.182,450.88,512.180049,32.651830,-81.40,33.923942,16325.915158,20210808_063006
1,KGSP20210808_103841_V06,-6,-1.000,449.75,516.309136,39.892597,-81.41,33.905371,19946.298658,20210808_063841
1,KGSP20210808_104716_V06,3,0.936,475.25,489.998865,37.302395,-81.27,34.022961,18651.197563,20210808_064716
1,KGSP20210808_110425_V06,20,0.720,479.93,498.676081,56.067584,-81.25,33.983649,28033.791762,20210808_070425
1,KGSP20210808_111300_V06,29,0.354,474.95,496.336716,57.155895,-81.27,33.994406,28577.947509,20210808_071300
5,KGSP20210808_103006_V06,-14,0.565,477.51,486.156921,23.392447,-81.26,34.040181,11696.223259,20210808_063006
5,KGSP20210808_103841_V06,-6,0.723,474.05,485.379513,30.319062,-81.28,34.043832,15159.531049,20210808_063841
9,KGSP20210808_103006_V06,-14,0.090,579.22,183.494446,20.410553,-80.68,35.398435,10205.276489,20210808_063006
9,KGSP20210808_103841_V06,-6,0.132,578.93,181.197480,29.669554,-80.68,35.408804,14834.776754,20210808_063841
3,KGSP20210808_102132_V06,-23,0.091,397.72,423.759155,2.960335,-81.69,34.324090,1480.167389,20210808_062132
6,KGSP20210808_103006_V06,-14,0.333,321.45,235.748749,6.178207,-82.10,35.172577,3089.103699,20210808_063006
10,KGSP20210808_103006_V06,-14,0.074,323.90,259.483795,2.243591,-82.09,35.065593,1121.795654,20210808_063006
11,KGSP20210808_103841_V06,-6,0.217,406.09,421.397278,4.519264,-81.64,34.334528,2259.632111,20210808_063841
13,KGSP20210808_104716_V06,3,0.072,333.48,424.950439,12.529427,-82.04,34.319745,6264.713287,20210808_064716
14,KGSP20210808_113845_V06,54,0.064,239.46,359.811584,7.257576,-82.55,34.613035,3628.787994,20210808_073845
10,KGSP20210930_113529_V06,12,0.433,234.70,398.900940,7.775177,-82.58,34.436777,3887.588501,20210930_073529
10,KGSP20210930_114403_V06,21,0.509,236.84,400.255564,14.441410,-82.56,34.430705,7220.705028,20210930_074403
10,KGSP20210930_120114_V06,38,0.583,236.37,399.260535,18.363651,-82.57,34.435182,9181.825634,20210930_080114
1,KGSP20210930_110944_V06,-14,0.088,212.70,299.082367,4.832382,-82.70,34.886258,2416.191101,20210930_070944
1,KGSP20210930_111819_V06,-5,0.066,211.74,301.295458,12.454658,-82.70,34.876263,6227.329171,20210930_071819
5,KGSP20210930_111819_V06,-5,0.289,387.15,164.347748,19.708527,-81.74,35.493468,9854.263306,20210930_071819
5,KGSP20210930_112654_V06,3,0.060,387.84,163.120297,27.677788,-81.74,35.498985,13838.894139,20210930_072654
5,KGSP20210930_113529_V06,12,0.061,384.61,160.655731,20.107941,-81.75,35.510161,10053.970337,20210930_073529
5,KGSP20210930_114403_V06,21,0.211,386.39,163.968056,30.133328,-81.74,35.495196,15066.663811,20210930_074403
8,KGSP20210930_112654_V06,3,0.255,306.95,62.779358,43.584236,-82.18,35.952114,21792.118073,20210930_072654
8,KGSP20210930_113529_V06,12,0.211,306.13,63.463863,49.933422,-82.19,35.949031,24966.710979,20210930_073529
8,KGSP20210930_114403_V06,21,0.388,303.49,65.448914,40.801430,-82.20,35.940089,20400.714874,20210930_074403
2,KGSP20210930_110944_V06,-14,0.054,353.30,118.749146,45.769142,-81.93,35.699548,22884.571075,20210930_070944
3,KGSP20210930_110944_V06,-14,0.052,282.48,76.131958,59.072754,-82.32,35.891911,29536.376953,20210930_070944
6,KGSP20210930_111819_V06,-5,0.064,416.00,338.086853,7.828964,-81.59,34.709750,3914.482117,20210930_071819
9,KGSP20210930_112654_V06,3,0.072,340.02,177.220062,38.190735,-82.00,35.436205,19095.367432,20210930_072654
9,KGSP20210930_113529_V06,12,-1.000,340.02,177.220062,52.500735,-82.00,35.436205,26250.367432,20210930_073529
9,KGSP20210930_114403_V06,21,0.083,339.36,140.774567,25.544327,-82.00,35.600454,12772.163391,20210930_074403
13,KGSP20210930_113529_V06,12,0.201,243.80,388.167328,11.507362,-82.53,34.485291,5753.681183,20210930_073529
16,KGSP20210930_114403_V06,21,0.114,37.77,419.414673,51.770264,-83.65,34.336466,25885.131836,20210930_074403
6,KGSP20211012_114941_V06,17,0.304,355.27,291.721283,24.648941,-81.92,34.919996,12324.470520,20211012_074941
6,KGSP20211012_120653_V06,34,0.051,354.51,292.645968,38.064194,-81.92,34.915839,19032.097056,20211012_080653
6,KGSP20211012_121528_V06,43,-1.000,354.12,293.125551,45.312986,-81.92,34.913683,22656.493192,20211012_081528
6,KGSP20211012_122402_V06,52,0.132,360.13,317.001068,22.511200,-81.89,34.805991,11255.599976,20211012_082402
6,KGSP20211012_123237_V06,60,0.092,362.54,320.040401,29.453663,-81.88,34.792257,14726.831630,20211012_083237
10,KGSP20211012_120653_V06,34,0.065,274.43,342.434937,21.318218,-82.36,34.691722,10659.109116,20211012_080653
10,KGSP20211012_121528_V06,43,0.079,276.96,340.428534,29.660142,-82.35,34.700781,14830.071099,20211012_081528
1,KGSP20211012_112357_V06,-9,0.201,338.55,386.615723,5.185143,-82.01,34.492489,2592.571259,20211012_072357
4,KGSP20211012_112357_V06,-9,0.057,223.74,234.604004,20.834656,-82.64,35.177073,10417.327881,20211012_072357
5,KGSP20211012_114941_V06,17,0.563,327.23,462.155273,15.428991,-82.07,34.152092,7714.495659,20211012_074941
7,KGSP20211012_114941_V06,17,0.228,403.26,114.233368,28.646957,-81.65,35.718919,14323.478699,20211012_074941
1,KGSP20211021_111950_V06,-21,0.068,227.52,240.010651,16.207413,-82.62,35.152776,8103.706360,20211021_071950
2,KGSP20211021_115251_V06,12,0.056,220.96,243.139221,15.421005,-82.65,35.138554,7710.502625,20211021_075251
1,KGSP20211024_111406_V06,-28,0.075,292.19,373.984436,4.094505,-82.26,34.549595,2047.252655,20211024_071406
2,KGSP20211024_113951_V06,-3,0.147,302.21,227.188171,18.513138,-82.21,35.211214,9256.568909,20211024_073951
2,KGSP20211028_114100_V06,-5,0.286,406.02,338.348755,4.818985,-81.64,34.708841,2409.492493,20211028_074100
4,KGSP20211028_114743_V06,1,0.093,385.00,401.339661,8.121368,-81.76,34.425424,4060.684204,20211028_074743
5,KGSP20211028_121534_V06,29,0.078,284.66,394.861847,53.854176,-82.30,34.455474,26927.087784,20211028_081534
7,KGSP20211028_124326_V06,57,0.271,346.55,261.984344,37.248672,-81.97,35.054127,18624.336243,20211028_084326
8,KGSP20211028_130807_V06,82,0.058,381.92,148.211609,8.112457,-81.77,35.566295,4056.228638,20211028_090807
1,KGSP20211101_112632_V06,-23,0.106,219.58,255.053925,5.680283,-82.66,35.084830,2840.141296,20211101_072632
