track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KMLB20161111_112917_V06,-12,0.876,141.13,81.819580,6.889145,-81.47,29.094938,3444.572449,20161111_062917
1,KMLB20161111_113901_V06,-2,0.949,143.09,85.102188,18.298761,-81.46,29.080190,9149.380703,20161111_063901
1,KMLB20161111_114845_V06,7,0.960,146.37,88.144168,28.540330,-81.44,29.066566,14270.164884,20161111_064845
1,KMLB20161111_115828_V06,17,0.962,150.30,93.470383,38.326329,-81.42,29.042654,19163.164742,20161111_065828
1,KMLB20161111_120812_V06,27,0.765,151.12,95.924782,50.742208,-81.42,29.031606,25371.104134,20161111_070812
1,KMLB20161111_121757_V06,36,0.059,155.44,100.005727,62.276869,-81.40,29.013319,31138.434629,20161111_071757
3,KMLB20161111_112917_V06,-12,0.371,216.48,504.297272,8.876717,-81.08,27.190610,4438.358307,20161111_062917
3,KMLB20161111_113901_V06,-2,0.099,213.32,506.898925,25.131458,-81.09,27.178821,12565.729078,20161111_063901
3,KMLB20161111_114845_V06,7,0.487,205.48,511.977289,41.622772,-81.13,27.155774,20811.386224,20161111_064845
3,KMLB20161111_115828_V06,17,0.834,208.59,509.802241,38.760674,-81.12,27.165642,19380.337014,20161111_065828
3,KMLB20161111_120812_V06,27,0.432,201.92,513.086331,47.353017,-81.15,27.150706,23676.508559,20161111_070812
3,KMLB20161111_121757_V06,36,0.197,194.18,510.412887,48.743116,-81.19,27.162623,24371.558076,20161111_071757
10,KMLB20161111_112917_V06,-12,0.070,230.52,558.852417,7.765219,-81.00,26.944634,3882.609367,20161111_062917
10,KMLB20161111_113901_V06,-2,0.082,227.53,562.754710,18.545723,-81.02,26.926986,9272.861702,20161111_063901
19,KMLB20161111_114845_V06,7,0.065,303.96,418.106873,17.028793,-80.63,27.580167,8514.396667,20161111_064845
19,KMLB20161111_115828_V06,17,-1.000,303.96,418.106873,32.928793,-80.63,27.580167,16464.396667,20161111_065828
19,KMLB20161111_120812_V06,27,0.114,275.45,430.238507,45.462486,-80.78,27.525373,22731.242766,20161111_070812
27,KMLB20161111_125653_V06,75,0.068,113.06,458.389648,37.391983,-81.60,27.395153,18695.991516,20161111_075653
27,KMLB20161111_130637_V06,85,0.072,110.86,452.793473,49.353044,-81.61,27.420326,24676.522066,20161111_080637
2,KMLB20161111_112917_V06,-12,0.405,229.92,219.133636,6.028816,-81.01,28.477434,3014.408112,20161111_062917
4,KMLB20161111_112917_V06,-12,0.266,396.81,297.612854,19.792831,-80.16,28.122945,9896.415710,20161111_062917
8,KMLB20161111_112917_V06,-12,0.095,290.13,373.066498,25.109230,-80.70,27.783384,12554.615021,20161111_062917
12,KMLB20161111_113901_V06,-2,0.224,91.99,405.643860,9.030064,-81.71,27.632357,4515.031815,20161111_063901
13,KMLB20161111_113901_V06,-2,0.106,180.61,398.963562,16.957619,-81.26,27.665211,8478.809357,20161111_063901
14,KMLB20161111_113901_V06,-2,0.098,248.84,157.804657,14.491413,-80.92,28.754332,7245.706558,20161111_063901
17,KMLB20161111_114845_V06,7,0.091,216.39,326.848755,35.482666,-81.08,27.991265,17741.333008,20161111_064845
18,KMLB20161111_114845_V06,7,0.074,107.89,358.062927,27.193729,-81.63,27.847623,13596.864700,20161111_064845
20,KMLB20161111_115828_V06,17,0.145,271.30,444.280945,52.501015,-80.80,27.461990,26250.507355,20161111_065828
22,KMLB20161111_120812_V06,27,0.240,127.05,48.902649,9.220667,-81.54,29.242970,4610.333443,20161111_070812
24,KMLB20161111_122743_V06,46,0.200,239.26,550.259216,30.129995,-80.96,26.983516,15064.997673,20161111_072743
25,KMLB20161111_122743_V06,46,0.060,121.70,503.916992,29.526997,-81.55,27.190026,14763.498306,20161111_072743
6,KMLB20161121_114149_V06,-8,0.198,221.71,504.574219,10.582279,-81.05,27.189439,5291.139603,20161121_064149
6,KMLB20161121_115134_V06,2,0.111,220.83,501.594024,20.616670,-81.05,27.202873,10308.335158,20161121_065134
6,KMLB20161121_120120_V06,12,0.881,223.55,506.763083,25.909691,-81.04,27.179588,12954.845614,20161121_070120
6,KMLB20161121_121106_V06,22,0.536,222.47,518.777652,44.254000,-81.05,27.125359,22126.999903,20161121_071106
5,KMLB20161121_114149_V06,-8,0.360,247.51,155.686737,6.715904,-80.92,28.763874,3357.952118,20161121_064149
5,KMLB20161121_115134_V06,2,0.359,248.28,154.982385,15.665925,-80.92,28.767059,7832.962715,20161121_065134
5,KMLB20161121_120120_V06,12,0.064,252.04,193.660132,17.141085,-80.90,28.592605,8570.542486,20161121_070120
5,KMLB20161121_121106_V06,22,0.100,245.66,197.581482,7.852097,-80.93,28.574852,3926.048279,20161121_071106
27,KMLB20161121_125006_V06,61,0.289,43.90,458.123230,45.223717,-81.95,27.393504,22611.858368,20161121_075006
27,KMLB20161121_125952_V06,70,0.435,45.62,458.087732,54.458719,-81.94,27.393745,27229.359273,20161121_075952
27,KMLB20161121_130939_V06,80,0.124,42.99,460.984951,56.031569,-81.95,27.380549,28015.784666,20161121_080939
1,KMLB20161121_113204_V06,-17,0.457,278.76,350.319336,4.676727,-80.76,27.885985,2338.363647,20161121_063204
1,KMLB20161121_114149_V06,-8,0.054,287.29,355.710913,16.734320,-80.72,27.861685,8367.160025,20161121_064149
3,KMLB20161121_114149_V06,-8,0.608,59.72,211.683960,6.157176,-81.88,28.506016,3078.588009,20161121_064149
3,KMLB20161121_115134_V06,2,0.056,61.57,212.991579,19.128595,-81.87,28.500201,9564.297631,20161121_065134
4,KMLB20161121_114149_V06,-8,0.598,81.78,229.032257,6.709435,-81.77,28.428718,3354.717255,20161121_064149
4,KMLB20161121_115134_V06,2,0.210,82.60,234.475201,19.770950,-81.76,28.404198,9885.475211,20161121_065134
16,KMLB20161121_115134_V06,2,0.083,240.64,409.508698,20.780567,-80.96,27.618635,10390.283585,20161121_065134
16,KMLB20161121_120120_V06,12,0.109,257.30,396.883983,30.012276,-80.87,27.675757,15006.138120,20161121_070120
25,KMLB20161121_121106_V06,22,0.053,88.46,284.975281,16.629150,-81.73,28.176617,8314.575195,20161121_071106
25,KMLB20161121_122051_V06,31,-1.000,88.46,284.975281,30.939150,-81.73,28.176617,15469.575195,20161121_072051
25,KMLB20161121_123036_V06,41,-1.000,88.46,284.975281,46.839150,-81.73,28.176617,23419.575195,20161121_073036
25,KMLB20161121_124021_V06,51,0.072,50.31,290.929690,62.411958,-81.93,28.148093,31205.978783,20161121_074021
25,KMLB20161121_125006_V06,61,0.134,42.26,259.003143,43.050552,-81.97,28.291731,21525.276184,20161121_075006
7,KMLB20161121_114149_V06,-8,0.185,140.24,78.383057,5.013466,-81.48,29.110412,2506.732941,20161121_064149
10,KMLB20161121_114149_V06,-8,0.083,151.45,307.429382,9.421768,-81.41,28.077459,4710.884094,20161121_064149
13,KMLB20161121_114149_V06,-8,0.073,199.93,308.256317,13.835213,-81.16,28.074865,6917.606354,20161121_064149
