track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KVWX20151015_115429_V06,-5,0.794,111.96,320.645660,7.703571,-88.80,38.162095,3851.785660,20151015_065429
7,KVWX20151015_120419_V06,5,0.879,110.34,320.562825,16.422371,-88.81,38.162383,8211.185313,20151015_070419
7,KVWX20151015_121408_V06,15,0.072,107.13,314.392566,28.826748,-88.83,38.190004,14413.373997,20151015_071408
7,KVWX20151015_122601_V06,27,0.140,122.21,340.903622,30.156869,-88.74,38.071370,15078.434584,20151015_072601
10,KVWX20151015_115429_V06,-5,0.295,228.62,348.803864,10.832054,-88.13,38.039456,5416.027069,20151015_065429
10,KVWX20151015_120419_V06,5,0.067,231.54,352.476820,19.572895,-88.11,38.022968,9786.447570,20151015_070419
10,KVWX20151015_121408_V06,15,0.148,233.70,352.783594,24.215748,-88.10,38.021626,12107.874175,20151015_071408
10,KVWX20151015_122601_V06,27,0.070,238.10,373.909571,26.370655,-88.08,37.926540,13185.327338,20151015_072601
5,KVWX20151015_114439_V06,-15,0.057,301.55,405.650940,5.156075,-87.72,37.784081,2578.037262,20151015_064439
5,KVWX20151015_115429_V06,-5,0.105,296.21,404.112966,14.470188,-87.75,37.791008,7235.094144,20151015_065429
5,KVWX20151015_120419_V06,5,0.121,276.94,415.071487,24.415059,-87.86,37.741570,12207.529388,20151015_070419
5,KVWX20151015_121408_V06,15,0.078,279.02,397.289307,5.039284,-87.84,37.821688,2519.641876,20151015_071408
8,KVWX20151015_115429_V06,-5,0.630,352.49,124.917084,17.212128,-87.42,39.048209,8606.063843,20151015_065429
8,KVWX20151015_120419_V06,5,0.917,353.55,130.827426,23.675477,-87.42,39.021574,11837.738386,20151015_070419
8,KVWX20151015_121408_V06,15,0.714,363.37,137.074651,35.454073,-87.36,38.993275,17727.036702,20151015_071408
2,KVWX20151015_114439_V06,-15,0.099,348.86,353.136108,14.876556,-87.45,38.020316,7438.278198,20151015_064439
2,KVWX20151015_115429_V06,-5,0.433,342.61,345.851665,20.615628,-87.48,38.053209,10307.814216,20151015_065429
9,KVWX20151015_115429_V06,-5,0.432,314.15,162.723083,6.237595,-87.64,38.878296,3118.797302,20151015_065429
9,KVWX20151015_120419_V06,5,0.065,334.71,153.298072,17.308487,-87.52,38.920604,8654.243671,20151015_070419
20,KVWX20151015_120419_V06,5,0.197,61.10,310.930634,7.131158,-89.09,38.202836,3565.578938,20151015_070419
20,KVWX20151015_121408_V06,15,0.408,67.34,313.834047,13.245840,-89.05,38.190168,6622.920181,20151015_071408
1,KVWX20151015_114439_V06,-15,0.180,438.41,273.357605,4.989471,-86.93,38.377337,2494.735718,20151015_064439
3,KVWX20151015_114439_V06,-15,0.083,328.84,285.555786,8.321442,-87.56,38.324947,4160.720825,20151015_064439
4,KVWX20151015_114439_V06,-15,0.077,396.20,217.751343,4.849365,-87.17,38.629176,2424.682617,20151015_064439
6,KVWX20151015_114439_V06,-15,0.052,319.12,352.957336,6.451973,-87.62,38.021401,3225.986481,20151015_064439
15,KVWX20151015_115429_V06,-5,0.088,368.76,272.164429,6.663834,-87.33,38.384723,3331.916809,20151015_065429
21,KVWX20151015_120419_V06,5,0.166,308.35,156.191742,5.426758,-87.68,38.907731,2713.378906,20151015_070419
23,KVWX20151015_120419_V06,5,0.091,414.84,439.750000,11.073128,-87.07,37.628660,5536.563873,20151015_070419
33,KVWX20151015_122601_V06,27,0.071,26.66,158.114471,30.540771,-89.30,38.888552,15270.385742,20151015_072601
34,KVWX20151015_130521_V06,66,0.066,266.20,384.963593,22.968151,-87.92,37.877116,11484.075546,20151015_080521
