filename,local_time
KAMA20190901_115247_V06,20190901_065247
KAMA20190901_120005_V06,20190901_070005
KAMA20190901_120345_V06,20190901_070345
KAMA20190901_120725_V06,20190901_070725
KAMA20190901_121104_V06,20190901_071104
KAMA20190901_121442_V06,20190901_071442
KAMA20190901_121821_V06,20190901_071821
KAMA20190901_122200_V06,20190901_072200
KAMA20190901_122540_V06,20190901_072540
KAMA20190901_123120_V06,20190901_073120
KAMA20190901_123818_V06,20190901_073818
KAMA20190901_124247_V06,20190901_074247
KAMA20190901_124729_V06,20190901_074729
KAMA20190901_130122_V06,20190901_080122
KAMA20190901_130825_V06,20190901_080825
KAMA20190901_131529_V06,20190901_081529
KAMA20190901_132235_V06,20190901_082235
KAMA20190901_132940_V06,20190901_082940
KAMA20190901_133643_V06,20190901_083643
KAMA20190901_134347_V06,20190901_084347
