filename,local_time
KBYX20160905_104300_V06,20160905_064300
KBYX20160905_104757_V06,20160905_064757
KBYX20160905_105251_V06,20160905_065251
KBYX20160905_105747_V06,20160905_065747
KBYX20160905_110243_V06,20160905_070243
KBYX20160905_110736_V06,20160905_070736
KBYX20160905_111231_V06,20160905_071231
KBYX20160905_111725_V06,20160905_071725
KBYX20160905_112219_V06,20160905_072219
KBYX20160905_112714_V06,20160905_072714
KBYX20160905_113209_V06,20160905_073209
KBYX20160905_113704_V06,20160905_073704
KBYX20160905_114200_V06,20160905_074200
KBYX20160905_114654_V06,20160905_074654
KBYX20160905_115147_V06,20160905_075147
KBYX20160905_115643_V06,20160905_075643
KBYX20160905_120136_V06,20160905_080136
KBYX20160905_120630_V06,20160905_080630
KBYX20160905_121125_V06,20160905_081125
KBYX20160905_121619_V06,20160905_081619
KBYX20160905_122113_V06,20160905_082113
KBYX20160905_122608_V06,20160905_082608
KBYX20160905_123102_V06,20160905_083102
KBYX20160905_123557_V06,20160905_083557
