filename,local_time
KCAE20190704_100339_V06,20190704_060339
KCAE20190704_101320_V06,20190704_061320
KCAE20190704_102301_V06,20190704_062301
KCAE20190704_103242_V06,20190704_063242
KCAE20190704_104222_V06,20190704_064222
KCAE20190704_110143_V06,20190704_070143
KCAE20190704_111124_V06,20190704_071124
KCAE20190704_112104_V06,20190704_072104
KCAE20190704_113045_V06,20190704_073045
KCAE20190704_114025_V06,20190704_074025
KCAE20190807_101151_V06,20190807_061151
KCAE20190807_101529_V06,20190807_061529
KCAE20190807_101907_V06,20190807_061907
KCAE20190807_102246_V06,20190807_062246
KCAE20190807_102625_V06,20190807_062625
KCAE20190807_103003_V06,20190807_063003
KCAE20190807_103341_V06,20190807_063341
KCAE20190807_103720_V06,20190807_063720
KCAE20190807_104059_V06,20190807_064059
KCAE20190807_104437_V06,20190807_064437
KCAE20190807_104816_V06,20190807_064816
KCAE20190807_105154_V06,20190807_065154
KCAE20190807_105532_V06,20190807_065532
KCAE20190807_110250_V06,20190807_070250
KCAE20190807_110628_V06,20190807_070628
KCAE20190807_111007_V06,20190807_071007
KCAE20190807_111346_V06,20190807_071346
KCAE20190807_111725_V06,20190807_071725
KCAE20190807_112103_V06,20190807_072103
KCAE20190807_112441_V06,20190807_072441
KCAE20190807_112820_V06,20190807_072820
KCAE20190807_113159_V06,20190807_073159
KCAE20190807_113537_V06,20190807_073537
KCAE20190807_113915_V06,20190807_073915
KCAE20190807_114247_V06,20190807_074247
KCAE20190807_114619_V06,20190807_074619
KCAE20190807_114950_V06,20190807_074950
KCAE20190807_115321_V06,20190807_075321
KCAE20190807_115652_V06,20190807_075652
KCAE20190807_120023_V06,20190807_080023
KCAE20190807_120354_V06,20190807_080354
KCAE20190807_120732_V06,20190807_080732
KCAE20190822_102146_V06,20190822_062146
KCAE20190822_102630_V06,20190822_062630
KCAE20190822_103115_V06,20190822_063115
KCAE20190822_103600_V06,20190822_063600
KCAE20190822_104045_V06,20190822_064045
KCAE20190822_104530_V06,20190822_064530
KCAE20190822_105015_V06,20190822_065015
KCAE20190822_105442_V06,20190822_065442
KCAE20190822_110403_V06,20190822_070403
KCAE20190822_110849_V06,20190822_070849
KCAE20190822_111334_V06,20190822_071334
KCAE20190822_111819_V06,20190822_071819
KCAE20190822_112304_V06,20190822_072304
KCAE20190822_112741_V06,20190822_072741
KCAE20190822_113219_V06,20190822_073219
KCAE20190822_113657_V06,20190822_073657
KCAE20190822_114638_V06,20190822_074638
KCAE20190822_120602_V06,20190822_080602
KCAE20190822_121543_V06,20190822_081543
