filename,local_time
KCCX20170908_101659_V06,20170908_061659
KCCX20170908_102140_V06,20170908_062140
KCCX20170908_102621_V06,20170908_062621
KCCX20170908_103102_V06,20170908_063102
KCCX20170908_103551_V06,20170908_063551
KCCX20170908_104032_V06,20170908_064032
KCCX20170908_104513_V06,20170908_064513
KCCX20170908_104954_V06,20170908_064954
KCCX20170908_105434_V06,20170908_065434
KCCX20170908_105915_V06,20170908_065915
KCCX20170908_110836_V06,20170908_070836
KCCX20170908_111317_V06,20170908_071317
KCCX20170908_111804_V06,20170908_071804
KCCX20170908_112253_V06,20170908_072253
KCCX20170908_112750_V06,20170908_072750
KCCX20170908_113238_V06,20170908_073238
KCCX20170908_113726_V06,20170908_073726
KCCX20170908_114216_V06,20170908_074216
KCCX20170908_114705_V06,20170908_074705
KCCX20170908_115210_V06,20170908_075210
KCCX20170908_120223_V06,20170908_080223
KCCX20170908_121219_V06,20170908_081219
KCCX20170930_104244_V06,20170930_064244
KCCX20170930_110214_V06,20170930_070214
KCCX20170930_111159_V06,20170930_071159
KCCX20170930_112144_V06,20170930_072144
KCCX20170930_113129_V06,20170930_073129
KCCX20170930_114114_V06,20170930_074114
KCCX20170930_120045_V06,20170930_080045
KCCX20170930_121029_V06,20170930_081029
KCCX20170930_122014_V06,20170930_082014
KCCX20170930_123000_V06,20170930_083000
KCCX20171007_104734_V06,20171007_064734
KCCX20171007_105216_V06,20171007_065216
KCCX20171007_110151_V06,20171007_070151
KCCX20171007_110632_V06,20171007_070632
KCCX20171007_111139_V06,20171007_071139
KCCX20171007_111635_V06,20171007_071635
KCCX20171007_112124_V06,20171007_072124
KCCX20171007_112626_V06,20171007_072626
KCCX20171007_113129_V06,20171007_073129
KCCX20171007_113636_V06,20171007_073636
KCCX20171007_114132_V06,20171007_074132
KCCX20171007_114647_V06,20171007_074647
KCCX20171007_115209_V06,20171007_075209
KCCX20171007_120309_V06,20171007_080309
KCCX20171007_120831_V06,20171007_080831
KCCX20171007_121353_V06,20171007_081353
KCCX20171007_121916_V06,20171007_081916
KCCX20171007_122451_V06,20171007_082451
KCCX20171007_123040_V06,20171007_083040
KCCX20171007_123629_V06,20171007_083629
KCCX20171007_124217_V06,20171007_084217
