filename,local_time
KDAX20150907_131331_V06,20150907_061331
KDAX20150907_132312_V06,20150907_062312
KDAX20150907_133251_V06,20150907_063251
KDAX20150907_134231_V06,20150907_064231
KDAX20150907_135212_V06,20150907_065212
KDAX20150907_140152_V06,20150907_070152
KDAX20150907_141133_V06,20150907_071133
KDAX20150907_142113_V06,20150907_072113
KDAX20150907_143053_V06,20150907_073053
KDAX20150907_144034_V06,20150907_074034
KDAX20150907_145014_V06,20150907_075014
KDAX20150907_145955_V06,20150907_075955
KDAX20150907_150937_V06,20150907_080937
