filename,local_time
KDDC20150823_113301_V06,20150823_063301
KDDC20150823_113624_V06,20150823_063624
KDDC20150823_113938_V06,20150823_063938
KDDC20150823_114302_V06,20150823_064302
KDDC20150823_114616_V06,20150823_064616
KDDC20150823_114930_V06,20150823_064930
KDDC20150823_115244_V06,20150823_065244
KDDC20150823_115624_V06,20150823_065624
KDDC20150823_115948_V06,20150823_065948
KDDC20150823_120312_V06,20150823_070312
KDDC20150823_120636_V06,20150823_070636
KDDC20150823_121001_V06,20150823_071001
KDDC20150823_121325_V06,20150823_071325
KDDC20150823_121648_V06,20150823_071648
KDDC20150823_122026_V06,20150823_072026
KDDC20150823_122434_V06,20150823_072434
KDDC20150823_122828_V06,20150823_072828
KDDC20150823_123221_V06,20150823_073221
KDDC20150823_123700_V06,20150823_073700
KDDC20150823_124108_V06,20150823_074108
KDDC20150823_124533_V06,20150823_074533
KDDC20150823_125012_V06,20150823_075012
KDDC20150823_125451_V06,20150823_075451
KDDC20150823_125931_V06,20150823_075931
KDDC20150823_130408_V06,20150823_080408
KDDC20150823_130830_V06,20150823_080830
KDDC20150823_131239_V06,20150823_081239
KDDC20150823_131633_V06,20150823_081633
KDDC20150823_132026_V06,20150823_082026
KDDC20150823_132420_V06,20150823_082420
KDDC20150823_132800_V06,20150823_082800
KDDC20150823_133124_V06,20150823_083124
KDDC20151009_121333_V06,20151009_071333
KDDC20151009_122028_V06,20151009_072028
KDDC20151009_122723_V06,20151009_072723
KDDC20151009_123418_V06,20151009_073418
KDDC20151009_124114_V06,20151009_074114
KDDC20151009_124810_V06,20151009_074810
KDDC20151009_125506_V06,20151009_075506
KDDC20151009_130202_V06,20151009_080202
KDDC20151009_130842_V06,20151009_080842
KDDC20151009_131508_V06,20151009_081508
KDDC20151009_132135_V06,20151009_082135
