filename,local_time
KDMX20150912_112427_V06,20150912_062427
KDMX20150912_113412_V06,20150912_063412
KDMX20150912_114356_V06,20150912_064356
KDMX20150912_115341_V06,20150912_065341
KDMX20150912_120326_V06,20150912_070326
KDMX20150912_121310_V06,20150912_071310
KDMX20150912_122255_V06,20150912_072255
KDMX20150912_123239_V06,20150912_073239
KDMX20150912_124433_V06,20150912_074433
KDMX20150912_125417_V06,20150912_075417
KDMX20150912_130402_V06,20150912_080402
KDMX20150912_131346_V06,20150912_081346
KDMX20151004_114452_V06,20151004_064452
KDMX20151004_115435_V06,20151004_065435
KDMX20151004_120420_V06,20151004_070420
KDMX20151004_121405_V06,20151004_071405
KDMX20151004_122349_V06,20151004_072349
KDMX20151004_123335_V06,20151004_073335
KDMX20151004_124320_V06,20151004_074320
KDMX20151004_125305_V06,20151004_075305
KDMX20151004_130251_V06,20151004_080251
KDMX20151004_131235_V06,20151004_081235
KDMX20151004_132219_V06,20151004_082219
KDMX20151004_133204_V06,20151004_083204
KDMX20151004_134148_V06,20151004_084148
KDMX20151011_120118_V06,20151011_070118
KDMX20151011_121103_V06,20151011_071103
KDMX20151011_122046_V06,20151011_072046
KDMX20151011_123030_V06,20151011_073030
KDMX20151011_124014_V06,20151011_074014
KDMX20151011_124957_V06,20151011_074957
KDMX20151011_125942_V06,20151011_075942
KDMX20151011_130928_V06,20151011_080928
KDMX20151011_131911_V06,20151011_081911
KDMX20151011_132856_V06,20151011_082856
KDMX20151011_133840_V06,20151011_083840
KDMX20151011_134824_V06,20151011_084824
