filename,local_time
KEMX20131009_125514_V06,20131009_055514
KEMX20131009_130457_V06,20131009_060457
KEMX20131009_131439_V06,20131009_061439
KEMX20131009_132420_V06,20131009_062420
KEMX20131009_133403_V06,20131009_063403
KEMX20131009_134346_V06,20131009_064346
KEMX20131009_135329_V06,20131009_065329
KEMX20131009_140311_V06,20131009_070311
KEMX20131009_141254_V06,20131009_071254
KEMX20131009_142236_V06,20131009_072236
KEMX20131009_143218_V06,20131009_073218
KEMX20131009_144200_V06,20131009_074200
KEMX20131009_145143_V06,20131009_075143
KEMX20131019_130712_V06,20131019_060712
KEMX20131019_131655_V06,20131019_061655
KEMX20131019_132638_V06,20131019_062638
KEMX20131019_133620_V06,20131019_063620
KEMX20131019_134807_V06,20131019_064807
KEMX20131019_135750_V06,20131019_065750
KEMX20131019_140733_V06,20131019_070733
KEMX20131019_141716_V06,20131019_071716
KEMX20131019_142658_V06,20131019_072658
KEMX20131019_143641_V06,20131019_073641
KEMX20131019_144623_V06,20131019_074623
KEMX20131019_145605_V06,20131019_075605
