filename,local_time
KENX20210814_093259_V06,20210814_053259
KENX20210814_093638_V06,20210814_053638
KENX20210814_094029_V06,20210814_054029
KENX20210814_094420_V06,20210814_054420
KENX20210814_094811_V06,20210814_054811
KENX20210814_095149_V06,20210814_055149
KENX20210814_095527_V06,20210814_055527
KENX20210814_100236_V06,20210814_060236
KENX20210814_100640_V06,20210814_060640
KENX20210814_101018_V06,20210814_061018
KENX20210814_101356_V06,20210814_061356
KENX20210814_101712_V06,20210814_061712
KENX20210814_102050_V06,20210814_062050
KENX20210814_102440_V06,20210814_062440
KENX20210814_102831_V06,20210814_062831
KENX20210814_103222_V06,20210814_063222
KENX20210814_103614_V06,20210814_063614
KENX20210814_104005_V06,20210814_064005
KENX20210814_104356_V06,20210814_064356
KENX20210814_104747_V06,20210814_064747
KENX20210814_105137_V06,20210814_065137
KENX20210814_105528_V06,20210814_065528
KENX20210814_110303_V06,20210814_070303
KENX20210814_110647_V06,20210814_070647
KENX20210814_111038_V06,20210814_071038
KENX20210814_111408_V06,20210814_071408
KENX20210814_111746_V06,20210814_071746
KENX20210814_112204_V06,20210814_072204
KENX20210814_112537_V06,20210814_072537
KENX20210814_112858_V06,20210814_072858
KENX20210818_094149_V06,20210818_054149
KENX20210818_094704_V06,20210818_054704
KENX20210818_095150_V06,20210818_055150
KENX20210818_100123_V06,20210818_060123
KENX20210818_100624_V06,20210818_060624
KENX20210818_101116_V06,20210818_061116
KENX20210818_101624_V06,20210818_061624
KENX20210818_102133_V06,20210818_062133
KENX20210818_102641_V06,20210818_062641
KENX20210818_103141_V06,20210818_063141
KENX20210818_103657_V06,20210818_063657
KENX20210818_104205_V06,20210818_064205
KENX20210818_104713_V06,20210818_064713
KENX20210818_105222_V06,20210818_065222
KENX20210818_110238_V06,20210818_070238
KENX20210818_110745_V06,20210818_070745
KENX20210818_111253_V06,20210818_071253
KENX20210818_111815_V06,20210818_071815
KENX20210818_112337_V06,20210818_072337
KENX20210818_112914_V06,20210818_072914
KENX20210818_113435_V06,20210818_073435
KENX20211015_104212_V06,20211015_064212
KENX20211015_104639_V06,20211015_064639
KENX20211015_105106_V06,20211015_065106
KENX20211015_105532_V06,20211015_065532
KENX20211015_110438_V06,20211015_070438
KENX20211015_110911_V06,20211015_070911
KENX20211015_111343_V06,20211015_071343
KENX20211015_111815_V06,20211015_071815
KENX20211015_112247_V06,20211015_072247
KENX20211015_112718_V06,20211015_072718
KENX20211015_113149_V06,20211015_073149
KENX20211015_113622_V06,20211015_073622
KENX20211015_114054_V06,20211015_074054
KENX20211015_114532_V06,20211015_074532
KENX20211015_115010_V06,20211015_075010
KENX20211015_115447_V06,20211015_075447
KENX20211015_120419_V06,20211015_080419
KENX20211015_120858_V06,20211015_080858
KENX20211015_121351_V06,20211015_081351
KENX20211015_121845_V06,20211015_081845
KENX20211015_122338_V06,20211015_082338
KENX20211015_122831_V06,20211015_082831
KENX20211015_123337_V06,20211015_083337
KENX20211015_123816_V06,20211015_083816
