filename,local_time
KEWX20160822_113646_V06,20160822_063646
KEWX20160822_114126_V06,20160822_064126
KEWX20160822_114620_V06,20160822_064620
KEWX20160822_115100_V06,20160822_065100
KEWX20160822_115614_V06,20160822_065614
KEWX20160822_120127_V06,20160822_070127
KEWX20160822_120640_V06,20160822_070640
KEWX20160822_121152_V06,20160822_071152
KEWX20160822_121706_V06,20160822_071706
KEWX20160822_122200_V06,20160822_072200
KEWX20160822_122713_V06,20160822_072713
KEWX20160822_123225_V06,20160822_073225
KEWX20160822_123737_V06,20160822_073737
KEWX20160822_124231_V06,20160822_074231
KEWX20160822_124725_V06,20160822_074725
KEWX20160822_125237_V06,20160822_075237
KEWX20160822_125750_V06,20160822_075750
KEWX20160822_130302_V06,20160822_080302
KEWX20160822_130757_V06,20160822_080757
KEWX20160822_131251_V06,20160822_081251
KEWX20160822_131745_V06,20160822_081745
KEWX20160822_132239_V06,20160822_082239
KEWX20160822_132735_V06,20160822_082735
KEWX20160822_133229_V06,20160822_083229
