filename,local_time
KFCX20200808_100630_V06,20200808_060630
KFCX20200808_101602_V06,20200808_061602
KFCX20200808_102534_V06,20200808_062534
KFCX20200808_103505_V06,20200808_063505
KFCX20200808_104438_V06,20200808_064438
KFCX20200808_110344_V06,20200808_070344
KFCX20200808_110747_V06,20200808_070747
KFCX20200808_111205_V06,20200808_071205
KFCX20200808_111623_V06,20200808_071623
KFCX20200808_112040_V06,20200808_072040
KFCX20200808_112458_V06,20200808_072458
KFCX20200808_112916_V06,20200808_072916
KFCX20200808_113334_V06,20200808_073334
KFCX20200808_113752_V06,20200808_073752
KFCX20200808_114209_V06,20200808_074209
KFCX20200808_114627_V06,20200808_074627
KFCX20200808_115045_V06,20200808_075045
KFCX20200808_115503_V06,20200808_075503
