filename,local_time
KFTG20130721_112614_V06,20130721_052614
KFTG20130721_113553_V06,20130721_053553
KFTG20130721_114533_V06,20130721_054533
KFTG20130721_115513_V06,20130721_055513
KFTG20130721_120452_V06,20130721_060452
KFTG20130721_121432_V06,20130721_061432
KFTG20130721_122412_V06,20130721_062412
KFTG20130721_123351_V06,20130721_063351
KFTG20130721_124331_V06,20130721_064331
KFTG20130721_125311_V06,20130721_065311
KFTG20130721_130252_V06,20130721_070252
KFTG20130721_131231_V06,20130721_071231
KFTG20130728_112713_V06,20130728_052713
KFTG20130728_113153_V06,20130728_053153
KFTG20130728_113634_V06,20130728_053634
KFTG20130728_114114_V06,20130728_054114
KFTG20130728_114554_V06,20130728_054554
KFTG20130728_115034_V06,20130728_055034
KFTG20130728_115515_V06,20130728_055515
KFTG20130728_115955_V06,20130728_055955
KFTG20130728_120436_V06,20130728_060436
KFTG20130728_120916_V06,20130728_060916
KFTG20130728_121356_V06,20130728_061356
KFTG20130728_121837_V06,20130728_061837
KFTG20130728_122317_V06,20130728_062317
KFTG20130728_122757_V06,20130728_062757
KFTG20130728_123238_V06,20130728_063238
KFTG20130728_123718_V06,20130728_063718
KFTG20130728_124157_V06,20130728_064157
KFTG20130728_124638_V06,20130728_064638
KFTG20130728_125120_V06,20130728_065120
KFTG20130728_125600_V06,20130728_065600
KFTG20130728_130040_V06,20130728_070040
KFTG20130728_130521_V06,20130728_070521
KFTG20130728_131001_V06,20130728_071001
KFTG20130728_131442_V06,20130728_071442
KFTG20130728_131922_V06,20130728_071922
KFTG20130807_113430_V06,20130807_053430
KFTG20130807_113910_V06,20130807_053910
KFTG20130807_114350_V06,20130807_054350
KFTG20130807_114830_V06,20130807_054830
KFTG20130807_115310_V06,20130807_055310
KFTG20130807_115750_V06,20130807_055750
KFTG20130807_120231_V06,20130807_060231
KFTG20130807_120711_V06,20130807_060711
KFTG20130807_121151_V06,20130807_061151
KFTG20130807_121631_V06,20130807_061631
KFTG20130807_122112_V06,20130807_062112
KFTG20130807_122551_V06,20130807_062551
KFTG20130807_123031_V06,20130807_063031
KFTG20130807_123512_V06,20130807_063512
KFTG20130807_123952_V06,20130807_063952
KFTG20130807_124432_V06,20130807_064432
KFTG20130807_124913_V06,20130807_064913
KFTG20130807_125353_V06,20130807_065353
KFTG20130807_125833_V06,20130807_065833
KFTG20130807_130314_V06,20130807_070314
KFTG20130807_130754_V06,20130807_070754
KFTG20130807_131234_V06,20130807_071234
KFTG20130807_131715_V06,20130807_071715
KFTG20130807_132155_V06,20130807_072155
KFTG20130807_132636_V06,20130807_072636
KFTG20130807_133116_V06,20130807_073116
KFTG20130811_113712_V06,20130811_053712
KFTG20130811_114152_V06,20130811_054152
KFTG20130811_114632_V06,20130811_054632
KFTG20130811_115113_V06,20130811_055113
KFTG20130811_120051_V06,20130811_060051
KFTG20130811_121027_V06,20130811_061027
KFTG20130811_122005_V06,20130811_062005
KFTG20130811_122942_V06,20130811_062942
KFTG20130811_123920_V06,20130811_063920
KFTG20130811_124858_V06,20130811_064858
KFTG20130811_125836_V06,20130811_065836
KFTG20130811_130814_V06,20130811_070814
KFTG20130811_131753_V06,20130811_071753
KFTG20130811_132731_V06,20130811_072731
KFTG20130814_114225_V06,20130814_054225
KFTG20130814_114705_V06,20130814_054705
KFTG20130814_115147_V06,20130814_055147
KFTG20130814_115627_V06,20130814_055627
KFTG20130814_120107_V06,20130814_060107
KFTG20130814_120548_V06,20130814_060548
KFTG20130814_121028_V06,20130814_061028
KFTG20130814_121508_V06,20130814_061508
KFTG20130814_121949_V06,20130814_061949
KFTG20130814_122429_V06,20130814_062429
KFTG20130814_122909_V06,20130814_062909
KFTG20130814_123350_V06,20130814_063350
KFTG20130814_123830_V06,20130814_063830
KFTG20130814_124310_V06,20130814_064310
KFTG20130814_124751_V06,20130814_064751
KFTG20130814_125231_V06,20130814_065231
KFTG20130814_125711_V06,20130814_065711
KFTG20130814_130152_V06,20130814_070152
KFTG20130814_130633_V06,20130814_070633
KFTG20130814_131113_V06,20130814_071113
KFTG20130814_131553_V06,20130814_071553
KFTG20130814_132034_V06,20130814_072034
KFTG20130814_132514_V06,20130814_072514
KFTG20130814_132954_V06,20130814_072954
KFTG20130814_133435_V06,20130814_073435
KFTG20130814_133915_V06,20130814_073915
