filename,local_time
KGWX20160724_103102_V06,20160724_053102
KGWX20160724_103454_V06,20160724_053454
KGWX20160724_103846_V06,20160724_053846
KGWX20160724_104238_V06,20160724_054238
KGWX20160724_104631_V06,20160724_054631
KGWX20160724_105029_V06,20160724_055029
KGWX20160724_105422_V06,20160724_055422
KGWX20160724_105814_V06,20160724_055814
KGWX20160724_110208_V06,20160724_060208
KGWX20160724_110603_V06,20160724_060603
KGWX20160724_110957_V06,20160724_060957
KGWX20160724_111401_V06,20160724_061401
KGWX20160724_111813_V06,20160724_061813
KGWX20160724_112225_V06,20160724_062225
KGWX20160724_112637_V06,20160724_062637
KGWX20160724_113048_V06,20160724_063048
KGWX20160724_113501_V06,20160724_063501
KGWX20160724_113913_V06,20160724_063913
KGWX20160724_114325_V06,20160724_064325
KGWX20160724_114736_V06,20160724_064736
KGWX20160724_115148_V06,20160724_065148
KGWX20160724_115600_V06,20160724_065600
KGWX20160724_120011_V06,20160724_070011
KGWX20160724_120424_V06,20160724_070424
KGWX20160724_120835_V06,20160724_070835
KGWX20160724_121247_V06,20160724_071247
KGWX20160724_121701_V06,20160724_071701
KGWX20160724_122112_V06,20160724_072112
KGWX20160724_122523_V06,20160724_072523
KGWX20160724_122916_V06,20160724_072916
KGWX20160801_103939_V06,20160801_053939
KGWX20160801_104847_V06,20160801_054847
KGWX20160801_105756_V06,20160801_055756
KGWX20160801_110706_V06,20160801_060706
KGWX20160801_111613_V06,20160801_061613
KGWX20160801_112521_V06,20160801_062521
KGWX20160801_113431_V06,20160801_063431
KGWX20160801_114340_V06,20160801_064340
KGWX20160801_115247_V06,20160801_065247
KGWX20160801_120150_V06,20160801_070150
KGWX20160801_121055_V06,20160801_071055
KGWX20160801_122000_V06,20160801_072000
KGWX20160801_122903_V06,20160801_072903
