filename,local_time
KHTX20200831_104951_V06,20200831_054951
KHTX20200831_105419_V06,20200831_055419
KHTX20200831_110314_V06,20200831_060314
KHTX20200831_110742_V06,20200831_060742
KHTX20200831_111210_V06,20200831_061210
KHTX20200831_111637_V06,20200831_061637
KHTX20200831_112105_V06,20200831_062105
KHTX20200831_112537_V06,20200831_062537
KHTX20200831_113004_V06,20200831_063004
KHTX20200831_113431_V06,20200831_063431
KHTX20200831_113858_V06,20200831_063858
KHTX20200831_114330_V06,20200831_064330
KHTX20200831_114803_V06,20200831_064803
KHTX20200831_115235_V06,20200831_065235
KHTX20200831_120130_V06,20200831_070130
KHTX20200831_120551_V06,20200831_070551
KHTX20200831_121018_V06,20200831_071018
KHTX20200831_121441_V06,20200831_071441
KHTX20200831_121904_V06,20200831_071904
KHTX20200831_122326_V06,20200831_072326
KHTX20200831_122748_V06,20200831_072748
KHTX20200831_123211_V06,20200831_073211
KHTX20200831_123634_V06,20200831_073634
KHTX20200831_124057_V06,20200831_074057
KHTX20200831_124525_V06,20200831_074525
