filename,local_time
KJAX20181025_110817_V06,20181025_070817
KJAX20181025_111254_V06,20181025_071254
KJAX20181025_111732_V06,20181025_071732
KJAX20181025_112210_V06,20181025_072210
KJAX20181025_112646_V06,20181025_072646
KJAX20181025_113123_V06,20181025_073123
KJAX20181025_113558_V06,20181025_073558
KJAX20181025_114034_V06,20181025_074034
KJAX20181025_114511_V06,20181025_074511
KJAX20181025_114942_V06,20181025_074942
KJAX20181025_115412_V06,20181025_075412
KJAX20181025_120312_V06,20181025_080312
KJAX20181025_120742_V06,20181025_080742
KJAX20181025_121212_V06,20181025_081212
KJAX20181025_121642_V06,20181025_081642
KJAX20181025_122111_V06,20181025_082111
KJAX20181025_122536_V06,20181025_082536
KJAX20181025_123001_V06,20181025_083001
KJAX20181025_123426_V06,20181025_083426
KJAX20181025_123851_V06,20181025_083851
KJAX20181025_124317_V06,20181025_084317
KJAX20181025_124955_V06,20181025_084955
KJAX20181025_125421_V06,20181025_085421
KJAX20181025_130306_V06,20181025_090306
KJAX20181031_111705_V06,20181031_071705
KJAX20181031_112643_V06,20181031_072643
KJAX20181031_113621_V06,20181031_073621
KJAX20181031_114611_V06,20181031_074611
KJAX20181031_115037_V06,20181031_075037
KJAX20181031_115514_V06,20181031_075514
KJAX20181031_120428_V06,20181031_080428
KJAX20181031_120904_V06,20181031_080904
KJAX20181031_121340_V06,20181031_081340
KJAX20181031_121817_V06,20181031_081817
KJAX20181031_122253_V06,20181031_082253
KJAX20181031_122729_V06,20181031_082729
KJAX20181031_123206_V06,20181031_083206
KJAX20181031_123643_V06,20181031_083643
KJAX20181031_124145_V06,20181031_084145
KJAX20181031_130100_V06,20181031_090100
KJAX20181103_111338_V06,20181103_071338
KJAX20181103_112316_V06,20181103_072316
KJAX20181103_113253_V06,20181103_073253
KJAX20181103_114245_V06,20181103_074245
KJAX20181103_114710_V06,20181103_074710
KJAX20181103_115141_V06,20181103_075141
KJAX20181103_120047_V06,20181103_080047
KJAX20181103_120523_V06,20181103_080523
KJAX20181103_120959_V06,20181103_080959
KJAX20181103_121424_V06,20181103_081424
KJAX20181103_121900_V06,20181103_081900
KJAX20181103_122336_V06,20181103_082336
KJAX20181103_122813_V06,20181103_082813
KJAX20181103_123317_V06,20181103_083317
KJAX20181103_124254_V06,20181103_084254
KJAX20181103_130208_V06,20181103_090208
KJAX20181103_131146_V06,20181103_091146
KJAX20181120_112832_V06,20181120_062832
KJAX20181120_113324_V06,20181120_063324
KJAX20181120_113800_V06,20181120_063800
KJAX20181120_114237_V06,20181120_064237
KJAX20181120_114713_V06,20181120_064713
KJAX20181120_115204_V06,20181120_065204
KJAX20181120_120132_V06,20181120_070132
KJAX20181120_120624_V06,20181120_070624
KJAX20181120_121116_V06,20181120_071116
KJAX20181120_121622_V06,20181120_071622
KJAX20181120_122128_V06,20181120_072128
KJAX20181120_122650_V06,20181120_072650
KJAX20181120_123254_V06,20181120_073254
KJAX20181120_123830_V06,20181120_073830
KJAX20181120_124434_V06,20181120_074434
KJAX20181120_125037_V06,20181120_075037
KJAX20181120_130244_V06,20181120_080244
KJAX20181120_130835_V06,20181120_080835
KJAX20181120_131409_V06,20181120_081409
KJAX20181120_131915_V06,20181120_081915
KJAX20181120_132420_V06,20181120_082420
KJAX20181206_114223_V06,20181206_064223
KJAX20181206_120417_V06,20181206_070417
KJAX20181206_121413_V06,20181206_071413
KJAX20181206_121839_V06,20181206_071839
KJAX20181206_122306_V06,20181206_072306
KJAX20181206_122739_V06,20181206_072739
KJAX20181206_123206_V06,20181206_073206
KJAX20181206_123631_V06,20181206_073631
KJAX20181206_124057_V06,20181206_074057
KJAX20181206_124528_V06,20181206_074528
KJAX20181206_125000_V06,20181206_075000
KJAX20181206_125426_V06,20181206_075426
KJAX20181206_130320_V06,20181206_080320
KJAX20181206_130746_V06,20181206_080746
KJAX20181206_131217_V06,20181206_081217
KJAX20181206_131643_V06,20181206_081643
KJAX20181206_132114_V06,20181206_082114
KJAX20181206_132545_V06,20181206_082545
KJAX20181206_133023_V06,20181206_083023
KJAX20181206_133500_V06,20181206_083500
KJAX20181206_133931_V06,20181206_083931
