filename,local_time
KJKL20180713_100144_V06,20180713_060144
KJKL20180713_100849_V06,20180713_060849
KJKL20180713_101555_V06,20180713_061555
KJKL20180713_102256_V06,20180713_062256
KJKL20180713_103003_V06,20180713_063003
KJKL20180713_103710_V06,20180713_063710
KJKL20180713_104416_V06,20180713_064416
KJKL20180713_110020_V06,20180713_070020
KJKL20180713_110728_V06,20180713_070728
KJKL20180713_111434_V06,20180713_071434
KJKL20180713_112140_V06,20180713_072140
KJKL20180713_112846_V06,20180713_072846
KJKL20180713_113553_V06,20180713_073553
KJKL20180713_114241_V06,20180713_074241
KJKL20180713_114947_V06,20180713_074947
KJKL20180719_100330_V06,20180719_060330
KJKL20180719_101216_V06,20180719_061216
KJKL20180719_102101_V06,20180719_062101
KJKL20180719_102946_V06,20180719_062946
KJKL20180719_103833_V06,20180719_063833
KJKL20180719_104912_V06,20180719_064912
KJKL20180719_110642_V06,20180719_070642
KJKL20180719_111527_V06,20180719_071527
KJKL20180719_112412_V06,20180719_072412
KJKL20180719_113259_V06,20180719_073259
KJKL20180719_114144_V06,20180719_074144
KJKL20180719_115029_V06,20180719_075029
KJKL20180723_100137_V06,20180723_060137
KJKL20180723_100702_V06,20180723_060702
KJKL20180723_101241_V06,20180723_061241
KJKL20180723_101820_V06,20180723_061820
KJKL20180723_102350_V06,20180723_062350
KJKL20180723_102928_V06,20180723_062928
KJKL20180723_103458_V06,20180723_063458
KJKL20180723_104036_V06,20180723_064036
KJKL20180723_104615_V06,20180723_064615
KJKL20180723_105229_V06,20180723_065229
KJKL20180723_110403_V06,20180723_070403
KJKL20180723_111011_V06,20180723_071011
KJKL20180723_111647_V06,20180723_071647
KJKL20180723_112256_V06,20180723_072256
KJKL20180723_113116_V06,20180723_073116
KJKL20180723_113740_V06,20180723_073740
KJKL20180723_114433_V06,20180723_074433
KJKL20180723_115057_V06,20180723_075057
KJKL20180819_102355_V06,20180819_062355
KJKL20180819_102918_V06,20180819_062918
KJKL20180819_103441_V06,20180819_063441
KJKL20180819_104004_V06,20180819_064004
KJKL20180819_104541_V06,20180819_064541
KJKL20180819_105120_V06,20180819_065120
KJKL20180819_110236_V06,20180819_070236
KJKL20180819_110814_V06,20180819_070814
KJKL20180819_111352_V06,20180819_071352
KJKL20180819_111931_V06,20180819_071931
KJKL20180819_112509_V06,20180819_072509
KJKL20180819_113047_V06,20180819_073047
KJKL20180819_113625_V06,20180819_073625
KJKL20180819_114204_V06,20180819_074204
KJKL20180819_114741_V06,20180819_074741
KJKL20180819_115319_V06,20180819_075319
KJKL20180819_120435_V06,20180819_080435
KJKL20180819_121013_V06,20180819_081013
KJKL20180819_121551_V06,20180819_081551
KJKL20180819_122129_V06,20180819_082129
