filename,local_time
KLSX20140712_102251_V06,20140712_052251
KLSX20140712_102829_V06,20140712_052829
KLSX20140712_103409_V06,20140712_053409
KLSX20140712_103949_V06,20140712_053949
KLSX20140712_104529_V06,20140712_054529
KLSX20140712_105108_V06,20140712_055108
KLSX20140712_105645_V06,20140712_055645
KLSX20140712_110223_V06,20140712_060223
KLSX20140712_110803_V06,20140712_060803
KLSX20140712_111342_V06,20140712_061342
KLSX20140712_111925_V06,20140712_061925
KLSX20140712_112504_V06,20140712_062504
KLSX20140712_113044_V06,20140712_063044
KLSX20140712_113623_V06,20140712_063623
KLSX20140712_114202_V06,20140712_064202
KLSX20140712_114742_V06,20140712_064742
KLSX20140712_115321_V06,20140712_065321
KLSX20140712_115902_V06,20140712_065902
KLSX20140712_120446_V06,20140712_070446
KLSX20140712_121028_V06,20140712_071028
KLSX20140712_121608_V06,20140712_071608
KLSX20141011_114616_V06,20141011_064616
KLSX20141011_115531_V06,20141011_065531
KLSX20141011_120448_V06,20141011_070448
KLSX20141011_121405_V06,20141011_071405
KLSX20141011_122323_V06,20141011_072323
KLSX20141011_123243_V06,20141011_073243
KLSX20141011_123554_V06,20141011_073554
KLSX20141011_123905_V06,20141011_073905
KLSX20141011_124216_V06,20141011_074216
KLSX20141011_124526_V06,20141011_074526
KLSX20141011_124836_V06,20141011_074836
KLSX20141011_125146_V06,20141011_075146
KLSX20141011_125455_V06,20141011_075455
KLSX20141011_125804_V06,20141011_075804
KLSX20141011_130114_V06,20141011_080114
KLSX20141011_130423_V06,20141011_080423
KLSX20141011_130732_V06,20141011_080732
KLSX20141011_131147_V06,20141011_081147
KLSX20141011_131456_V06,20141011_081456
KLSX20141011_131806_V06,20141011_081806
KLSX20141011_132114_V06,20141011_082114
KLSX20141011_132423_V06,20141011_082423
KLSX20141011_132732_V06,20141011_082732
KLSX20141011_133041_V06,20141011_083041
KLSX20141011_133350_V06,20141011_083350
KLSX20141011_133659_V06,20141011_083659
