filename,local_time
KLWX20130709_092716_V06,20130709_052716
KLWX20130709_093213_V06,20130709_053213
KLWX20130709_093736_V06,20130709_053736
KLWX20130709_094233_V06,20130709_054233
KLWX20130709_094730_V06,20130709_054730
KLWX20130709_095227_V06,20130709_055227
KLWX20130709_095725_V06,20130709_055725
KLWX20130709_100222_V06,20130709_060222
KLWX20130709_100719_V06,20130709_060719
KLWX20130709_101216_V06,20130709_061216
KLWX20130709_101713_V06,20130709_061713
KLWX20130709_102210_V06,20130709_062210
KLWX20130709_102707_V06,20130709_062707
KLWX20130709_103258_V06,20130709_063258
KLWX20130709_103756_V06,20130709_063756
KLWX20130709_104346_V06,20130709_064346
KLWX20130709_104938_V06,20130709_064938
KLWX20130709_105529_V06,20130709_065529
KLWX20130709_110121_V06,20130709_070121
KLWX20130709_110712_V06,20130709_070712
KLWX20130709_111303_V06,20130709_071303
KLWX20130709_111854_V06,20130709_071854
KLWX20130719_093532_V06,20130719_053532
KLWX20130719_094519_V06,20130719_054519
KLWX20130719_095503_V06,20130719_055503
KLWX20130719_100448_V06,20130719_060448
KLWX20130719_101435_V06,20130719_061435
KLWX20130719_102421_V06,20130719_062421
KLWX20130719_103407_V06,20130719_063407
KLWX20130719_104353_V06,20130719_064353
KLWX20130719_105340_V06,20130719_065340
KLWX20130719_110326_V06,20130719_070326
KLWX20130719_111312_V06,20130719_071312
KLWX20130719_112259_V06,20130719_072259
KLWX20130805_095314_V06,20130805_055314
KLWX20130805_100301_V06,20130805_060301
KLWX20130805_101247_V06,20130805_061247
KLWX20130805_102232_V06,20130805_062232
KLWX20130805_103219_V06,20130805_063219
KLWX20130805_104205_V06,20130805_064205
KLWX20130805_105152_V06,20130805_065152
KLWX20130805_110138_V06,20130805_070138
KLWX20130805_111123_V06,20130805_071123
KLWX20130805_112109_V06,20130805_072109
KLWX20130805_113056_V06,20130805_073056
KLWX20130805_114041_V06,20130805_074041
KLWX20130811_095427_V06,20130811_055427
KLWX20130811_100017_V06,20130811_060017
KLWX20130811_100607_V06,20130811_060607
KLWX20130811_101158_V06,20130811_061158
KLWX20130811_101748_V06,20130811_061748
KLWX20130811_102341_V06,20130811_062341
KLWX20130811_102931_V06,20130811_062931
KLWX20130811_103522_V06,20130811_063522
KLWX20130811_104112_V06,20130811_064112
KLWX20130811_104703_V06,20130811_064703
KLWX20130811_105254_V06,20130811_065254
KLWX20130811_105844_V06,20130811_065844
KLWX20130811_110435_V06,20130811_070435
KLWX20130811_111027_V06,20130811_071027
KLWX20130811_111618_V06,20130811_071618
KLWX20130811_112209_V06,20130811_072209
KLWX20130811_112759_V06,20130811_072759
KLWX20130811_113350_V06,20130811_073350
KLWX20130811_113941_V06,20130811_073941
KLWX20130811_114531_V06,20130811_074531
KLWX20130827_112737_V06,20130827_072737
KLWX20130827_113330_V06,20130827_073330
KLWX20130827_114910_V06,20130827_074910
KLWX20130827_115502_V06,20130827_075502
KLWX20130827_120054_V06,20130827_080054
KLWX20130904_101244_V06,20130904_061244
KLWX20130904_102230_V06,20130904_062230
KLWX20130904_103217_V06,20130904_063217
KLWX20130904_104202_V06,20130904_064202
KLWX20130904_105148_V06,20130904_065148
KLWX20130904_110132_V06,20130904_070132
KLWX20130904_111119_V06,20130904_071119
KLWX20130904_112105_V06,20130904_072105
KLWX20130904_113050_V06,20130904_073050
KLWX20130904_114035_V06,20130904_074035
KLWX20130904_115021_V06,20130904_075021
KLWX20130904_120005_V06,20130904_080005
KLWX20130904_120951_V06,20130904_080951
KLWX20130921_103357_V06,20130921_063357
KLWX20130921_104343_V06,20130921_064343
KLWX20130921_105328_V06,20130921_065328
KLWX20130921_110315_V06,20130921_070315
KLWX20130921_111301_V06,20130921_071301
KLWX20130921_112248_V06,20130921_072248
KLWX20130921_113233_V06,20130921_073233
KLWX20130921_113824_V06,20130921_073824
KLWX20130921_114415_V06,20130921_074415
KLWX20130921_115008_V06,20130921_075008
KLWX20130921_115559_V06,20130921_075559
KLWX20130921_120151_V06,20130921_080151
KLWX20130921_120741_V06,20130921_080741
KLWX20130921_121331_V06,20130921_081331
KLWX20130921_121924_V06,20130921_081924
KLWX20130921_122423_V06,20130921_082423
KLWX20130928_103755_V06,20130928_063755
KLWX20130928_104741_V06,20130928_064741
KLWX20130928_105727_V06,20130928_065727
KLWX20130928_110712_V06,20130928_070712
KLWX20130928_111700_V06,20130928_071700
KLWX20130928_112648_V06,20130928_072648
KLWX20130928_113635_V06,20130928_073635
KLWX20130928_114623_V06,20130928_074623
KLWX20130928_115610_V06,20130928_075610
KLWX20130928_120557_V06,20130928_080557
KLWX20130928_121544_V06,20130928_081544
KLWX20130928_122532_V06,20130928_082532
KLWX20131019_110252_V06,20131019_070252
KLWX20131019_111240_V06,20131019_071240
KLWX20131019_112228_V06,20131019_072228
KLWX20131019_113216_V06,20131019_073216
KLWX20131019_114205_V06,20131019_074205
KLWX20131019_115153_V06,20131019_075153
KLWX20131019_120140_V06,20131019_080140
KLWX20131019_121129_V06,20131019_081129
KLWX20131019_122117_V06,20131019_082117
KLWX20131019_123105_V06,20131019_083105
KLWX20131019_124053_V06,20131019_084053
KLWX20131019_125041_V06,20131019_085041
