filename,local_time
KMAX20180725_123054_V06,20180725_053054
KMAX20180725_123936_V06,20180725_053936
KMAX20180725_124819_V06,20180725_054819
KMAX20180725_130542_V06,20180725_060542
KMAX20180725_131424_V06,20180725_061424
KMAX20180725_132307_V06,20180725_062307
KMAX20180725_133148_V06,20180725_063148
KMAX20180725_134031_V06,20180725_064031
KMAX20180725_134912_V06,20180725_064912
KMAX20180725_140636_V06,20180725_070636
KMAX20180725_141518_V06,20180725_071518
KMAX20180725_142359_V06,20180725_072359
KMAX20180917_133015_V06,20180917_063015
KMAX20180917_133856_V06,20180917_063856
KMAX20180917_134739_V06,20180917_064739
KMAX20180917_140502_V06,20180917_070502
KMAX20180917_141344_V06,20180917_071344
KMAX20180917_142227_V06,20180917_072227
KMAX20180917_143109_V06,20180917_073109
KMAX20180917_144947_V06,20180917_074947
KMAX20180917_150657_V06,20180917_080657
KMAX20180917_151534_V06,20180917_081534
