filename,local_time
KMLB20190818_102540_V06,20190818_062540
KMLB20190818_102957_V06,20190818_062957
KMLB20190818_103414_V06,20190818_063414
KMLB20190818_103831_V06,20190818_063831
KMLB20190818_104248_V06,20190818_064248
KMLB20190818_104705_V06,20190818_064705
KMLB20190818_105123_V06,20190818_065123
KMLB20190818_105541_V06,20190818_065541
KMLB20190818_110416_V06,20190818_070416
KMLB20190818_110843_V06,20190818_070843
KMLB20190818_111321_V06,20190818_071321
KMLB20190818_111743_V06,20190818_071743
KMLB20190818_112200_V06,20190818_072200
KMLB20190818_112617_V06,20190818_072617
KMLB20190818_113035_V06,20190818_073035
KMLB20190818_113454_V06,20190818_073454
KMLB20190818_113912_V06,20190818_073912
KMLB20190818_114330_V06,20190818_074330
KMLB20190818_114747_V06,20190818_074747
KMLB20190818_115205_V06,20190818_075205
KMLB20190818_120040_V06,20190818_080040
KMLB20190818_120457_V06,20190818_080457
KMLB20190818_120915_V06,20190818_080915
KMLB20190818_121332_V06,20190818_081332
KMLB20190818_121750_V06,20190818_081750
KMLB20190818_122207_V06,20190818_082207
KMLB20190905_103708_V06,20190905_063708
KMLB20190905_104147_V06,20190905_064147
KMLB20190905_104624_V06,20190905_064624
KMLB20190905_105102_V06,20190905_065102
KMLB20190905_110017_V06,20190905_070017
KMLB20190905_110455_V06,20190905_070455
KMLB20190905_110934_V06,20190905_070934
KMLB20190905_111412_V06,20190905_071412
KMLB20190905_111850_V06,20190905_071850
KMLB20190905_112328_V06,20190905_072328
KMLB20190905_112806_V06,20190905_072806
KMLB20190905_113244_V06,20190905_073244
KMLB20190905_113722_V06,20190905_073722
KMLB20190905_114159_V06,20190905_074159
KMLB20190905_114638_V06,20190905_074638
KMLB20190905_115116_V06,20190905_075116
KMLB20190905_120033_V06,20190905_080033
KMLB20190905_120728_V06,20190905_080728
KMLB20190905_121430_V06,20190905_081430
KMLB20190905_122133_V06,20190905_082133
KMLB20190905_122836_V06,20190905_082836
KMLB20191022_110348_V06,20191022_070348
KMLB20191022_110833_V06,20191022_070833
KMLB20191022_111325_V06,20191022_071325
KMLB20191022_111801_V06,20191022_071801
KMLB20191022_112252_V06,20191022_072252
KMLB20191022_112729_V06,20191022_072729
KMLB20191022_113214_V06,20191022_073214
KMLB20191022_113706_V06,20191022_073706
KMLB20191022_114143_V06,20191022_074143
KMLB20191022_114620_V06,20191022_074620
KMLB20191022_115059_V06,20191022_075059
KMLB20191022_120013_V06,20191022_080013
KMLB20191022_120449_V06,20191022_080449
KMLB20191022_120927_V06,20191022_080927
KMLB20191022_121406_V06,20191022_081406
KMLB20191022_121844_V06,20191022_081844
KMLB20191022_122301_V06,20191022_082301
KMLB20191022_122737_V06,20191022_082737
KMLB20191022_123215_V06,20191022_083215
KMLB20191022_123652_V06,20191022_083652
KMLB20191022_124110_V06,20191022_084110
KMLB20191022_124548_V06,20191022_084548
KMLB20191022_125025_V06,20191022_085025
KMLB20191022_125503_V06,20191022_085503
KMLB20191120_112420_V06,20191120_062420
KMLB20191120_113121_V06,20191120_063121
KMLB20191120_113823_V06,20191120_063823
KMLB20191120_114525_V06,20191120_064525
KMLB20191120_115227_V06,20191120_065227
KMLB20191120_120630_V06,20191120_070630
KMLB20191120_121332_V06,20191120_071332
KMLB20191120_122033_V06,20191120_072033
KMLB20191120_122735_V06,20191120_072735
KMLB20191120_123437_V06,20191120_073437
KMLB20191125_112959_V06,20191125_062959
KMLB20191125_113701_V06,20191125_063701
KMLB20191125_114404_V06,20191125_064404
KMLB20191125_115107_V06,20191125_065107
KMLB20191125_120514_V06,20191125_070514
KMLB20191125_121217_V06,20191125_071217
KMLB20191125_121919_V06,20191125_071919
KMLB20191125_122622_V06,20191125_072622
KMLB20191125_123326_V06,20191125_073326
KMLB20191125_124030_V06,20191125_074030
KMLB20191125_124733_V06,20191125_074733
KMLB20191125_130139_V06,20191125_080139
KMLB20191125_130843_V06,20191125_080843
KMLB20191125_131546_V06,20191125_081546
KMLB20191127_112604_V06,20191127_062604
KMLB20191127_113306_V06,20191127_063306
KMLB20191127_114007_V06,20191127_064007
KMLB20191127_114709_V06,20191127_064709
KMLB20191127_120309_V06,20191127_070309
KMLB20191127_121011_V06,20191127_071011
KMLB20191127_121713_V06,20191127_071713
KMLB20191127_122415_V06,20191127_072415
KMLB20191127_123118_V06,20191127_073118
KMLB20191127_123820_V06,20191127_073820
KMLB20191127_124523_V06,20191127_074523
KMLB20191127_125224_V06,20191127_075224
KMLB20191127_130629_V06,20191127_080629
KMLB20191127_131330_V06,20191127_081330
KMLB20191127_132032_V06,20191127_082032
KMLB20191215_114046_V06,20191215_064046
KMLB20191215_114532_V06,20191215_064532
KMLB20191215_115018_V06,20191215_065018
KMLB20191215_120212_V06,20191215_070212
KMLB20191215_120927_V06,20191215_070927
KMLB20191215_121642_V06,20191215_071642
KMLB20191215_122356_V06,20191215_072356
KMLB20191215_123110_V06,20191215_073110
KMLB20191215_123825_V06,20191215_073825
KMLB20191215_124540_V06,20191215_074540
KMLB20191215_130009_V06,20191215_080009
KMLB20191215_130724_V06,20191215_080724
KMLB20191215_131438_V06,20191215_081438
KMLB20191215_132153_V06,20191215_082153
KMLB20191215_132909_V06,20191215_082909
KMLB20191215_133623_V06,20191215_083623
KMLB20191218_113912_V06,20191218_063912
KMLB20191218_114443_V06,20191218_064443
KMLB20191218_115015_V06,20191218_065015
KMLB20191218_120057_V06,20191218_070057
KMLB20191218_120553_V06,20191218_070553
KMLB20191218_121047_V06,20191218_071047
KMLB20191218_121528_V06,20191218_071528
KMLB20191225_114347_V06,20191225_064347
KMLB20191225_114842_V06,20191225_064842
KMLB20191225_115353_V06,20191225_065353
KMLB20191225_120341_V06,20191225_070341
KMLB20191225_120836_V06,20191225_070836
KMLB20191225_121347_V06,20191225_071347
KMLB20191225_121841_V06,20191225_071841
KMLB20191225_122335_V06,20191225_072335
KMLB20191225_122828_V06,20191225_072828
KMLB20191225_123323_V06,20191225_073323
KMLB20191225_123817_V06,20191225_073817
KMLB20191225_124311_V06,20191225_074311
KMLB20191225_124804_V06,20191225_074804
KMLB20191225_125259_V06,20191225_075259
