filename,local_time
KMPX20130829_110730_V06,20130829_060730
KMPX20130829_111209_V06,20130829_061209
KMPX20130829_111647_V06,20130829_061647
KMPX20130829_112126_V06,20130829_062126
KMPX20130829_112603_V06,20130829_062603
KMPX20130829_113040_V06,20130829_063040
KMPX20130829_113516_V06,20130829_063516
KMPX20130829_113954_V06,20130829_063954
KMPX20130829_114431_V06,20130829_064431
KMPX20130829_114909_V06,20130829_064909
KMPX20130829_115346_V06,20130829_065346
KMPX20130829_115823_V06,20130829_065823
KMPX20130829_120301_V06,20130829_070301
KMPX20130829_120738_V06,20130829_070738
KMPX20130829_121215_V06,20130829_071215
KMPX20130829_121652_V06,20130829_071652
KMPX20130829_122129_V06,20130829_072129
KMPX20130829_122607_V06,20130829_072607
KMPX20130829_123044_V06,20130829_073044
KMPX20130829_123524_V06,20130829_073524
KMPX20130829_124001_V06,20130829_074001
KMPX20130829_124438_V06,20130829_074438
KMPX20130829_124914_V06,20130829_074914
KMPX20130829_125351_V06,20130829_075351
KMPX20130829_125830_V06,20130829_075830
KMPX20130829_130306_V06,20130829_080306
