filename,local_time
KMRX20190913_104433_V06,20190913_064433
KMRX20190913_104912_V06,20190913_064912
KMRX20190913_105352_V06,20190913_065352
KMRX20190913_110309_V06,20190913_070309
KMRX20190913_110749_V06,20190913_070749
KMRX20190913_111228_V06,20190913_071228
KMRX20190913_111707_V06,20190913_071707
KMRX20190913_112146_V06,20190913_072146
KMRX20190913_112626_V06,20190913_072626
KMRX20190913_113106_V06,20190913_073106
KMRX20190913_113546_V06,20190913_073546
KMRX20190913_114024_V06,20190913_074024
KMRX20190913_114701_V06,20190913_074701
KMRX20190913_115139_V06,20190913_075139
KMRX20190913_120057_V06,20190913_080057
KMRX20190913_120536_V06,20190913_080536
KMRX20190913_121016_V06,20190913_081016
KMRX20190913_121455_V06,20190913_081455
KMRX20190913_121934_V06,20190913_081934
KMRX20190913_122414_V06,20190913_082414
KMRX20190913_122853_V06,20190913_082853
KMRX20190913_123333_V06,20190913_083333
KMRX20190913_123812_V06,20190913_083812
KMRX20190913_124252_V06,20190913_084252
