filename,local_time
KMXX20170803_103007_V06,20170803_053007
KMXX20170803_103556_V06,20170803_053556
KMXX20170803_104145_V06,20170803_054145
KMXX20170803_104735_V06,20170803_054735
KMXX20170803_105324_V06,20170803_055324
KMXX20170803_110503_V06,20170803_060503
KMXX20170803_111052_V06,20170803_061052
KMXX20170803_111642_V06,20170803_061642
KMXX20170803_112231_V06,20170803_062231
KMXX20170803_112821_V06,20170803_062821
KMXX20170803_113411_V06,20170803_063411
KMXX20170803_114002_V06,20170803_064002
KMXX20170803_114551_V06,20170803_064551
KMXX20170803_115140_V06,20170803_065140
KMXX20170803_120320_V06,20170803_070320
KMXX20170803_120910_V06,20170803_070910
KMXX20170803_121459_V06,20170803_071459
KMXX20170803_122048_V06,20170803_072048
KMXX20170803_122638_V06,20170803_072638
KMXX20170806_103402_V06,20170806_053402
KMXX20170806_104346_V06,20170806_054346
KMXX20170806_110316_V06,20170806_060316
KMXX20170806_111300_V06,20170806_061300
KMXX20170806_112246_V06,20170806_062246
KMXX20170806_112734_V06,20170806_062734
KMXX20170806_113212_V06,20170806_063212
KMXX20170806_113650_V06,20170806_063650
KMXX20170806_114129_V06,20170806_064129
KMXX20170806_115113_V06,20170806_065113
KMXX20170806_120040_V06,20170806_070040
KMXX20170806_120519_V06,20170806_070519
KMXX20170806_121000_V06,20170806_071000
KMXX20170806_121441_V06,20170806_071441
KMXX20170806_121920_V06,20170806_071920
KMXX20170806_122402_V06,20170806_072402
KMXX20170806_122840_V06,20170806_072840
KMXX20170811_103933_V06,20170811_053933
KMXX20170811_110057_V06,20170811_060057
KMXX20170811_111041_V06,20170811_061041
KMXX20170811_112026_V06,20170811_062026
KMXX20170811_113011_V06,20170811_063011
KMXX20170811_113954_V06,20170811_063954
KMXX20170811_114938_V06,20170811_064938
KMXX20170811_120909_V06,20170811_070909
KMXX20170811_121853_V06,20170811_071853
KMXX20170811_122837_V06,20170811_072837
