filename,local_time
KOTX20200808_121019_V06,20200808_051019
KOTX20200808_121725_V06,20200808_051725
KOTX20200808_122432_V06,20200808_052432
KOTX20200808_123138_V06,20200808_053138
KOTX20200808_123843_V06,20200808_053843
KOTX20200808_124549_V06,20200808_054549
KOTX20200808_125255_V06,20200808_055255
KOTX20200808_130706_V06,20200808_060706
KOTX20200808_131412_V06,20200808_061412
KOTX20200808_132116_V06,20200808_062116
KOTX20200808_132817_V06,20200808_062817
KOTX20200808_133523_V06,20200808_063523
KOTX20200808_134230_V06,20200808_064230
KOTX20200808_134936_V06,20200808_064936
KOTX20200808_140343_V06,20200808_070343
KOTX20200822_122832_V06,20200822_052832
KOTX20200822_123538_V06,20200822_053538
KOTX20200822_124243_V06,20200822_054243
KOTX20200822_124949_V06,20200822_054949
KOTX20200822_130400_V06,20200822_060400
KOTX20200822_131106_V06,20200822_061106
KOTX20200822_131812_V06,20200822_061812
KOTX20200822_132518_V06,20200822_062518
KOTX20200822_133225_V06,20200822_063225
KOTX20200822_133932_V06,20200822_063932
KOTX20200822_134638_V06,20200822_064638
KOTX20200822_140050_V06,20200822_070050
KOTX20200822_140756_V06,20200822_070756
KOTX20200822_141503_V06,20200822_071503
KOTX20200822_142209_V06,20200822_072209
