filename,local_time
KPOE20211031_120204_V06,20211031_070204
KPOE20211031_121054_V06,20211031_071054
KPOE20211031_121943_V06,20211031_071943
KPOE20211031_122832_V06,20211031_072832
KPOE20211031_123721_V06,20211031_073721
KPOE20211031_124610_V06,20211031_074610
KPOE20211031_130349_V06,20211031_080349
KPOE20211031_131238_V06,20211031_081238
KPOE20211031_132126_V06,20211031_082126
KPOE20211031_133016_V06,20211031_083016
KPOE20211031_133905_V06,20211031_083905
KPOE20211031_134755_V06,20211031_084755
