filename,local_time
KRTX20180907_132000_V06,20180907_062000
KRTX20180907_132940_V06,20180907_062940
KRTX20180907_133921_V06,20180907_063921
KRTX20180907_134901_V06,20180907_064901
KRTX20180907_140822_V06,20180907_070822
KRTX20180907_141958_V06,20180907_071958
KRTX20180907_142938_V06,20180907_072938
KRTX20180907_143919_V06,20180907_073919
KRTX20180907_144900_V06,20180907_074900
KRTX20180907_150820_V06,20180907_080820
KRTX20180913_132208_V06,20180913_062208
KRTX20180913_132652_V06,20180913_062652
KRTX20180913_133134_V06,20180913_063134
KRTX20180913_133616_V06,20180913_063616
KRTX20180913_134059_V06,20180913_064059
KRTX20180913_134541_V06,20180913_064541
KRTX20180913_135023_V06,20180913_065023
KRTX20180913_135505_V06,20180913_065505
KRTX20180913_140428_V06,20180913_070428
KRTX20180913_141103_V06,20180913_071103
KRTX20180913_141546_V06,20180913_071546
KRTX20180913_142028_V06,20180913_072028
KRTX20180913_142510_V06,20180913_072510
KRTX20180913_142952_V06,20180913_072952
KRTX20180913_143434_V06,20180913_073434
KRTX20180913_143917_V06,20180913_073917
KRTX20180913_144359_V06,20180913_074359
KRTX20180913_144842_V06,20180913_074842
KRTX20180913_145325_V06,20180913_075325
KRTX20180913_150249_V06,20180913_080249
KRTX20180913_150732_V06,20180913_080732
KRTX20180913_151214_V06,20180913_081214
KRTX20180913_151656_V06,20180913_081656
KRTX20180917_132301_V06,20180917_062301
KRTX20180917_133008_V06,20180917_063008
KRTX20180917_133715_V06,20180917_063715
KRTX20180917_134424_V06,20180917_064424
KRTX20180917_135130_V06,20180917_065130
KRTX20180917_140545_V06,20180917_070545
KRTX20180917_141251_V06,20180917_071251
KRTX20180917_142000_V06,20180917_072000
KRTX20180917_142707_V06,20180917_072707
KRTX20180917_143414_V06,20180917_073414
KRTX20180917_144553_V06,20180917_074553
KRTX20180917_150512_V06,20180917_080512
KRTX20180917_151452_V06,20180917_081452
