filename,local_time
KSRX20180726_110406_V06,20180726_060406
KSRX20180726_111223_V06,20180726_061223
KSRX20180726_112040_V06,20180726_062040
KSRX20180726_112914_V06,20180726_062914
KSRX20180726_113741_V06,20180726_063741
KSRX20180726_114603_V06,20180726_064603
KSRX20180726_120326_V06,20180726_070326
KSRX20180726_121208_V06,20180726_071208
KSRX20180726_122050_V06,20180726_072050
KSRX20180726_122932_V06,20180726_072932
KSRX20180726_123759_V06,20180726_073759
KSRX20180726_124615_V06,20180726_074615
