filename,local_time
KVWX20190804_102758_V06,20190804_052758
KVWX20190804_103227_V06,20190804_053227
KVWX20190804_103709_V06,20190804_053709
KVWX20190804_104130_V06,20190804_054130
KVWX20190804_104611_V06,20190804_054611
KVWX20190804_105052_V06,20190804_055052
KVWX20190804_110012_V06,20190804_060012
KVWX20190804_110452_V06,20190804_060452
KVWX20190804_110933_V06,20190804_060933
KVWX20190804_111414_V06,20190804_061414
KVWX20190804_111855_V06,20190804_061855
KVWX20190804_112535_V06,20190804_062535
KVWX20190804_113017_V06,20190804_063017
KVWX20190804_113459_V06,20190804_063459
KVWX20190804_113940_V06,20190804_063940
KVWX20190804_114400_V06,20190804_064400
KVWX20190804_114841_V06,20190804_064841
KVWX20190804_115321_V06,20190804_065321
KVWX20190804_120243_V06,20190804_070243
KVWX20190804_120723_V06,20190804_070723
KVWX20190804_121203_V06,20190804_071203
KVWX20190804_121646_V06,20190804_071646
KVWX20190804_122106_V06,20190804_072106
KVWX20190810_103548_V06,20190810_053548
KVWX20190810_104528_V06,20190810_054528
KVWX20190810_110447_V06,20190810_060447
KVWX20190810_111427_V06,20190810_061427
KVWX20190810_112408_V06,20190810_062408
KVWX20190810_113349_V06,20190810_063349
KVWX20190810_114330_V06,20190810_064330
KVWX20190810_120249_V06,20190810_070249
KVWX20190810_121229_V06,20190810_071229
KVWX20190810_122209_V06,20190810_072209
KVWX20190927_111822_V06,20190927_061822
KVWX20190927_112802_V06,20190927_062802
KVWX20190927_113741_V06,20190927_063741
KVWX20190927_114211_V06,20190927_064211
KVWX20190927_114706_V06,20190927_064706
KVWX20190927_115125_V06,20190927_065125
KVWX20190927_115544_V06,20190927_065544
KVWX20190927_120426_V06,20190927_070426
KVWX20190927_120847_V06,20190927_070847
KVWX20190927_121308_V06,20190927_071308
KVWX20190927_121728_V06,20190927_071728
KVWX20190927_122208_V06,20190927_072208
KVWX20190927_122647_V06,20190927_072647
KVWX20190927_123111_V06,20190927_073111
KVWX20190927_123545_V06,20190927_073545
KVWX20190927_124006_V06,20190927_074006
KVWX20190927_124426_V06,20190927_074426
KVWX20190927_124845_V06,20190927_074845
KVWX20190927_125306_V06,20190927_075306
KVWX20190927_130147_V06,20190927_080147
KVWX20190927_130607_V06,20190927_080607
KVWX20190927_131026_V06,20190927_081026
KVWX20190929_111817_V06,20190929_061817
KVWX20190929_112242_V06,20190929_062242
KVWX20190929_112700_V06,20190929_062700
KVWX20190929_113120_V06,20190929_063120
KVWX20190929_113540_V06,20190929_063540
KVWX20190929_114000_V06,20190929_064000
KVWX20190929_114420_V06,20190929_064420
KVWX20190929_114838_V06,20190929_064838
KVWX20190929_115258_V06,20190929_065258
KVWX20190929_120136_V06,20190929_070136
KVWX20190929_120556_V06,20190929_070556
KVWX20190929_121016_V06,20190929_071016
KVWX20190929_121434_V06,20190929_071434
KVWX20190929_121853_V06,20190929_071853
KVWX20190929_122312_V06,20190929_072312
KVWX20190929_122731_V06,20190929_072731
KVWX20190929_123151_V06,20190929_073151
KVWX20190929_123611_V06,20190929_073611
KVWX20190929_124029_V06,20190929_074029
KVWX20190929_124448_V06,20190929_074448
KVWX20190929_124907_V06,20190929_074907
KVWX20190929_125327_V06,20190929_075327
KVWX20190929_130205_V06,20190929_080205
KVWX20190929_130624_V06,20190929_080624
KVWX20190929_131047_V06,20190929_081047
KVWX20191018_113527_V06,20191018_063527
KVWX20191018_114506_V06,20191018_064506
KVWX20191018_120426_V06,20191018_070426
KVWX20191018_121406_V06,20191018_071406
KVWX20191018_121836_V06,20191018_071836
KVWX20191018_122316_V06,20191018_072316
KVWX20191018_122757_V06,20191018_072757
KVWX20191018_123239_V06,20191018_073239
KVWX20191018_124220_V06,20191018_074220
KVWX20191018_130142_V06,20191018_080142
KVWX20191018_131122_V06,20191018_081122
KVWX20191018_132104_V06,20191018_082104
KVWX20191018_133045_V06,20191018_083045
