track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KABR20190714_103129_V06,-27,0.310,352.88,179.979492,40.770462,-98.07,45.995246,20385.231018,20190714_053129
1,KABR20190714_103451_V06,-24,0.278,352.74,180.412955,44.800834,-98.07,45.993299,22400.416824,20190714_053451
1,KABR20190714_103812_V06,-20,0.268,353.26,179.321614,49.134492,-98.07,45.998198,24567.246221,20190714_053812
1,KABR20190714_104130_V06,-17,0.167,353.56,180.259545,48.277898,-98.07,45.993974,24138.948997,20190714_054130
1,KABR20190714_104448_V06,-14,0.644,353.35,184.841762,45.196297,-98.07,45.973365,22598.148674,20190714_054448
1,KABR20190714_104810_V06,-10,0.265,349.63,194.394836,30.867310,-98.09,45.930461,15433.654785,20190714_054810
1,KABR20190714_105132_V06,-7,0.328,349.62,195.535168,34.740492,-98.09,45.925332,17370.246212,20190714_055132
1,KABR20190714_105450_V06,-4,0.054,348.66,193.416993,38.193217,-98.10,45.934877,19096.608312,20190714_055450
14,KABR20190714_110759_V06,9,0.056,381.86,352.355804,8.457291,-97.89,45.219095,4228.645325,20190714_060759
14,KABR20190714_111116_V06,13,0.055,381.47,352.588206,14.331088,-97.89,45.218060,7165.543806,20190714_061116
29,KABR20190714_120813_V06,70,0.094,382.51,350.535217,7.842190,-97.89,45.227266,3921.094894,20190714_070813
29,KABR20190714_121131_V06,73,0.164,382.39,350.500134,12.190556,-97.89,45.227428,6095.278110,20190714_071131
2,KABR20190714_103129_V06,-27,0.069,320.16,119.196991,29.693604,-98.28,46.269095,14846.801758,20190714_053129
3,KABR20190714_103129_V06,-27,0.058,239.77,349.755798,10.444183,-98.80,45.231339,5222.091675,20190714_053129
4,KABR20190714_104130_V06,-17,0.397,340.84,353.181671,9.096901,-98.15,45.216274,4548.450470,20190714_054130
6,KABR20190714_104130_V06,-17,0.061,94.52,358.671448,2.986851,-99.72,45.184368,1493.425369,20190714_054130
7,KABR20190714_104448_V06,-14,0.059,244.12,362.307465,11.354111,-98.77,45.174959,5677.055359,20190714_054448
9,KABR20190714_104810_V06,-10,0.070,373.44,215.243195,7.402878,-97.94,45.836148,3701.438904,20190714_054810
10,KABR20190714_104810_V06,-10,0.055,463.75,439.497009,35.724724,-97.38,44.823499,17862.361908,20190714_054810
11,KABR20190714_105132_V06,-7,0.067,343.00,350.832153,11.818436,-98.14,45.226813,5909.217834,20190714_055132
12,KABR20190714_105450_V06,-4,0.066,317.30,288.134369,13.753387,-98.30,45.509157,6876.693726,20190714_055450
23,KABR20190714_112741_V06,29,0.498,205.85,169.745453,33.030991,-99.02,46.040182,16515.495300,20190714_062741
27,KABR20190714_114119_V06,43,0.057,217.04,183.182648,24.948547,-98.95,45.980098,12474.273682,20190714_064119
32,KABR20190714_122505_V06,87,0.106,35.19,513.036194,38.039948,-100.08,44.485074,19019.973755,20190714_072505
