track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KABX20150904_121726_V06,-24,0.149,223.90,442.901306,28.571159,-107.24,34.504947,14285.579681,20150904_061726
3,KABX20150904_122709_V06,-14,0.405,227.08,436.161115,35.839154,-107.22,34.535385,17919.577228,20150904_062709
3,KABX20150904_123654_V06,-5,0.067,245.37,426.166116,36.744568,-107.12,34.580721,18372.284069,20150904_063654
3,KABX20150904_124854_V06,7,0.182,241.68,416.878507,43.565483,-107.14,34.622530,21782.741580,20150904_064854
15,KABX20150904_125839_V06,17,0.171,186.60,439.044983,24.203796,-107.44,34.521461,12101.898193,20150904_065839
15,KABX20150904_130822_V06,27,0.914,192.84,427.548011,28.865266,-107.41,34.573448,14432.633161,20150904_070822
15,KABX20150904_131808_V06,37,0.893,191.54,413.464757,27.636531,-107.41,34.636888,13818.265639,20150904_071808
1,KABX20150904_121726_V06,-24,0.499,49.16,436.927551,40.717575,-108.19,34.524863,20358.787537,20150904_061726
1,KABX20150904_122709_V06,-14,0.629,52.01,436.515206,54.452178,-108.17,34.526896,27226.089203,20150904_062709
9,KABX20150904_124854_V06,7,0.323,358.32,130.253082,37.283371,-106.50,35.914259,18641.685486,20150904_064854
9,KABX20150904_125839_V06,17,0.301,353.62,131.924076,50.289967,-106.53,35.906795,25144.983446,20150904_065839
9,KABX20150904_130822_V06,27,-1.000,349.18,133.500486,63.460340,-106.55,35.899749,31730.170201,20150904_070822
9,KABX20150904_131808_V06,37,0.135,345.01,149.753143,36.408585,-106.57,35.826560,18204.292297,20150904_071808
9,KABX20150904_132752_V06,46,-1.000,345.01,149.753143,50.718585,-106.57,35.826560,25359.292297,20150904_072752
9,KABX20150904_133737_V06,56,0.051,346.10,155.520050,29.613174,-106.57,35.800560,14806.587219,20150904_073737
11,KABX20150904_124854_V06,7,0.081,526.05,153.440063,52.910477,-105.57,35.803767,26455.238342,20150904_064854
11,KABX20150904_125839_V06,17,0.473,521.67,155.285189,59.075990,-105.60,35.795700,29537.995089,20150904_065839
12,KABX20150904_124854_V06,7,0.054,160.25,564.514404,16.894030,-107.58,33.955119,8447.014809,20150904_064854
12,KABX20150904_125839_V06,17,0.115,151.24,549.204949,23.527740,-107.63,34.023810,11763.869895,20150904_065839
18,KABX20150904_130822_V06,27,0.459,238.77,536.611206,21.620319,-107.16,34.082810,10810.159683,20150904_070822
18,KABX20150904_131808_V06,37,0.085,235.27,535.235657,31.593804,-107.17,34.088957,15796.902245,20150904_071808
2,KABX20150904_121726_V06,-24,0.162,245.44,34.840515,29.232765,-107.13,36.344245,14616.382599,20150904_061726
5,KABX20150904_121726_V06,-24,0.123,261.21,447.620392,14.551254,-107.03,34.484203,7275.627136,20150904_061726
6,KABX20150904_122709_V06,-14,0.063,216.15,326.959290,21.188393,-107.28,35.027347,10594.196320,20150904_062709
7,KABX20150904_123654_V06,-5,0.149,101.05,562.341492,35.319870,-107.90,33.962481,17659.934998,20150904_063654
13,KABX20150904_125839_V06,17,0.247,280.51,375.522858,15.329971,-106.93,34.809297,7664.985657,20150904_065839
14,KABX20150904_125839_V06,17,0.174,260.09,376.436707,14.911446,-107.04,34.805028,7455.722809,20150904_065839
19,KABX20150904_130822_V06,27,0.107,385.51,326.560059,7.707993,-106.35,35.029111,3853.996277,20150904_070822
22,KABX20150904_134721_V06,66,0.134,37.80,420.270569,49.107376,-108.25,34.599212,24553.688049,20150904_074721
23,KABX20150904_134721_V06,66,0.109,365.53,254.087524,14.243423,-106.46,35.356099,7121.711731,20150904_074721
