track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KBGM20190713_091743_V06,-22,0.355,148.03,405.173370,12.606300,-76.90,41.722625,6303.150177,20190713_051743
1,KBGM20190713_092617_V06,-13,0.274,149.18,403.391052,9.726280,-76.89,41.730703,4863.140106,20190713_052617
5,KBGM20190713_100924_V06,30,0.170,148.23,404.832611,12.194626,-76.90,41.724168,6097.312927,20190713_060924
8,KBGM20190810_095606_V06,-9,0.365,218.79,378.068848,3.200226,-76.47,41.847247,1600.112915,20190810_055606
8,KBGM20190810_100303_V06,-2,0.937,227.05,380.812626,9.592189,-76.42,41.835097,4796.094413,20190810_060303
8,KBGM20190810_100642_V06,1,0.865,230.97,382.950301,15.159791,-76.40,41.825562,7579.895325,20190810_060642
8,KBGM20190810_101022_V06,5,0.859,237.70,386.916366,19.242589,-76.36,41.807849,9621.294391,20190810_061022
8,KBGM20190810_101403_V06,9,0.858,240.99,390.789127,23.110797,-76.34,41.790478,11555.398602,20190810_061403
8,KBGM20190810_101742_V06,12,0.699,245.94,392.987780,25.712827,-76.31,41.780669,12856.413270,20190810_061742
8,KBGM20190810_102123_V06,16,0.220,249.64,396.166907,30.522098,-76.29,41.766419,15261.049090,20190810_062123
8,KBGM20190810_102503_V06,20,0.069,254.67,414.611145,22.429749,-76.26,41.683464,11214.874268,20190810_062503
28,KBGM20190810_103222_V06,27,0.345,208.07,153.375458,23.059082,-76.55,42.858324,11529.541016,20190810_063222
28,KBGM20190810_103601_V06,31,0.576,207.74,154.441649,27.475105,-76.55,42.853516,13737.552399,20190810_063601
28,KBGM20190810_103941_V06,34,0.315,209.27,157.038165,27.910426,-76.54,42.841875,13955.212901,20190810_063941
28,KBGM20190810_104321_V06,38,-1.000,210.60,159.652223,29.868805,-76.53,42.830148,14934.402516,20190810_064321
28,KBGM20190810_104701_V06,42,0.132,211.66,159.626914,31.232793,-76.53,42.830293,15616.396525,20190810_064701
28,KBGM20190810_105039_V06,45,-1.000,212.56,160.646583,32.489691,-76.52,42.825729,16244.845316,20190810_065039
