track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KBRO20140712_115837_V06,12,0.051,203.54,267.747314,2.235664,-97.90,26.060319,1117.832184,20140712_065837
2,KBRO20140722_113755_V06,-13,0.081,253.50,246.440674,14.027065,-97.65,26.157092,7013.532639,20140722_063755
2,KBRO20140722_114740_V06,-3,0.144,248.41,235.242065,27.099838,-97.68,26.207588,13549.918921,20140722_064740
1,KBRO20140722_112811_V06,-22,0.079,247.03,224.508728,20.361462,-97.68,26.256015,10180.730820,20140722_062811
8,KBRO20140802_120134_V06,5,0.504,308.23,46.396118,21.695740,-97.38,27.060022,10847.869873,20140802_070134
8,KBRO20140802_120444_V06,8,0.052,308.45,46.505358,25.766016,-97.38,27.059529,12883.007836,20140802_070444
8,KBRO20140802_120754_V06,11,0.062,304.03,47.465530,29.962094,-97.40,27.055201,14981.047156,20140802_070754
8,KBRO20140802_121104_V06,15,0.099,297.98,46.934967,33.067554,-97.43,27.057596,16533.777177,20140802_071104
8,KBRO20140802_121415_V06,18,0.252,302.72,46.553733,31.872808,-97.40,27.059316,15936.403875,20140802_071415
8,KBRO20140802_121725_V06,21,0.059,306.23,48.356341,30.411341,-97.39,27.051179,15205.670744,20140802_071725
3,KBRO20140802_113406_V06,-22,0.065,252.36,245.317413,5.956646,-97.66,26.162152,2978.322983,20140802_063406
3,KBRO20140802_113717_V06,-19,-1.000,252.36,245.317413,10.726646,-97.66,26.162152,5363.322983,20140802_063717
3,KBRO20140802_114027_V06,-16,0.129,251.06,247.498272,15.253963,-97.66,26.152299,7626.981732,20140802_064027
3,KBRO20140802_114338_V06,-13,0.077,253.69,245.894545,17.705702,-97.65,26.159558,8852.850847,20140802_064338
3,KBRO20140802_114648_V06,-10,-1.000,254.81,245.618004,21.079648,-97.64,26.160815,10539.823850,20140802_064648
3,KBRO20140802_115202_V06,-4,0.061,249.03,238.644153,21.434298,-97.67,26.192240,10717.149006,20140802_065202
3,KBRO20140802_115512_V06,-1,0.065,246.96,223.000763,23.418247,-97.68,26.262819,11709.123611,20140802_065512
2,KBRO20140802_113406_V06,-22,0.086,315.76,368.958252,22.268623,-97.34,25.604311,11134.311676,20140802_063406
10,KBRO20140802_122345_V06,27,0.061,238.79,264.830933,20.124565,-97.72,26.073960,10062.282562,20140802_072345
11,KBRO20140802_124246_V06,46,0.124,27.04,418.805847,48.513783,-98.77,25.373018,24256.891251,20140802_074246
1,KBRO20140806_114202_V06,-16,0.200,252.32,236.369354,10.430290,-97.66,26.202534,5215.145111,20140806_064202
1,KBRO20140806_114656_V06,-12,0.466,253.06,234.397104,16.190559,-97.65,26.211441,8095.279702,20140806_064656
1,KBRO20140806_115150_V06,-7,0.389,252.12,225.941623,23.254312,-97.66,26.249593,11627.155800,20140806_065150
1,KBRO20140806_115645_V06,-2,0.230,254.71,216.795724,26.129607,-97.65,26.290888,13064.803430,20140806_065645
6,KBRO20140806_121127_V06,13,0.113,318.23,33.009216,21.568283,-97.33,27.120406,10784.141541,20140806_071127
6,KBRO20140806_121620_V06,18,0.169,317.49,33.454080,29.334186,-97.33,27.118401,14667.092801,20140806_071620
10,KBRO20140806_130726_V06,69,0.162,204.28,252.627716,5.419258,-97.90,26.128566,2709.629059,20140806_080726
10,KBRO20140806_131220_V06,74,0.264,204.41,252.360585,10.964038,-97.90,26.129774,5482.018878,20140806_081220
7,KBRO20140806_121620_V06,18,0.113,34.73,343.892120,64.278320,-98.74,25.711444,32139.160156,20140806_071620
8,KBRO20140806_123308_V06,35,0.163,29.57,321.524994,47.402008,-98.77,25.812144,23701.004028,20140806_073308
9,KBRO20140806_125738_V06,59,0.141,28.72,326.108307,46.434944,-98.77,25.791421,23217.472076,20140806_075738
6,KBRO20140813_114759_V06,-14,0.635,252.82,242.466522,9.610069,-97.65,26.175022,4805.034637,20140813_064759
6,KBRO20140813_115143_V06,-10,0.605,252.14,242.764602,15.981305,-97.66,26.173671,7990.652573,20140813_065143
6,KBRO20140813_115533_V06,-6,0.699,250.73,242.092367,21.854312,-97.67,26.176693,10927.155920,20140813_065533
6,KBRO20140813_115908_V06,-2,0.206,251.04,246.746230,30.938985,-97.66,26.155693,15469.492666,20140813_065908
6,KBRO20140813_120244_V06,1,0.141,258.12,247.421451,35.235581,-97.63,26.152701,17617.790465,20140813_070244
6,KBRO20140813_120633_V06,5,0.084,252.43,248.922999,41.170393,-97.66,26.145881,20585.196358,20140813_070633
6,KBRO20140813_121022_V06,9,0.094,247.43,241.987213,27.941399,-97.68,26.177139,13970.699310,20140813_071022
15,KBRO20140813_115533_V06,-6,0.083,297.29,355.362274,17.891815,-97.43,25.665695,8945.907593,20140813_065533
15,KBRO20140813_115908_V06,-2,0.479,296.92,357.088255,22.949371,-97.43,25.657905,11474.685308,20140813_065908
15,KBRO20140813_120244_V06,1,-1.000,296.72,358.029700,27.008946,-97.43,25.653656,13504.473153,20140813_070244
15,KBRO20140813_120633_V06,5,0.071,289.90,363.186101,27.355544,-97.47,25.630376,13677.772035,20140813_070633
9,KBRO20140813_114759_V06,-14,0.157,290.07,441.632965,10.792831,-97.47,25.276309,5396.415710,20140813_064759
9,KBRO20140813_115143_V06,-10,0.581,291.07,441.052834,14.841874,-97.46,25.278929,7420.937197,20140813_065143
9,KBRO20140813_115533_V06,-6,-1.000,291.79,440.630921,19.521178,-97.46,25.280834,9760.589186,20140813_065533
9,KBRO20140813_115908_V06,-2,0.050,287.92,436.291504,12.611122,-97.48,25.300414,6305.561066,20140813_065908
9,KBRO20140813_120244_V06,1,0.195,287.53,436.507763,16.672186,-97.48,25.299437,8336.093248,20140813_070244
19,KBRO20140813_120244_V06,1,0.084,145.66,260.910004,16.729675,-98.19,26.089924,8364.837646,20140813_070244
20,KBRO20140813_120244_V06,1,0.076,294.33,359.963776,16.644886,-97.45,25.644925,8322.443008,20140813_070244
25,KBRO20140813_122122_V06,20,0.183,297.94,414.432373,19.054764,-97.43,25.399088,9527.381897,20140813_072122
25,KBRO20140813_122459_V06,23,0.269,298.25,415.654541,16.602020,-97.43,25.393572,8301.010132,20140813_072459
28,KBRO20140813_123520_V06,34,0.056,301.02,431.161316,5.533340,-97.41,25.323582,2766.670227,20140813_073520
29,KBRO20140813_124815_V06,47,0.069,308.83,77.311707,29.060890,-97.37,26.920515,14530.445099,20140813_074815
5,KBRO20140817_115531_V06,-8,0.079,138.62,200.930603,15.211988,-98.23,26.360406,7605.994225,20140817_065531
5,KBRO20140817_120025_V06,-3,0.116,138.16,197.445482,22.212890,-98.23,26.376121,11106.445056,20140817_070025
5,KBRO20140817_120520_V06,2,-1.000,137.79,194.634900,29.397488,-98.23,26.388794,14698.744113,20140817_070520
5,KBRO20140817_121014_V06,7,-1.000,137.43,191.824318,36.582086,-98.23,26.401466,18291.043171,20140817_071014
5,KBRO20140817_121508_V06,12,0.445,130.51,203.473512,44.836037,-98.27,26.348699,22418.018647,20140817_071508
5,KBRO20140817_122003_V06,17,-1.000,127.54,206.425405,52.446791,-98.28,26.335289,26223.395643,20140817_072003
5,KBRO20140817_122702_V06,24,0.100,123.62,183.852998,56.800628,-98.30,26.437032,28400.314098,20140817_072702
1,KBRO20140817_114547_V06,-18,0.343,290.69,362.426758,27.377007,-97.46,25.633804,13688.503265,20140817_064547
2,KBRO20140817_114547_V06,-18,0.221,241.40,222.843689,22.748798,-97.71,26.263475,11374.399185,20140817_064547
6,KBRO20140817_120520_V06,2,0.053,114.99,191.660187,46.588120,-98.35,26.401531,23294.059753,20140817_070520
7,KBRO20140817_122003_V06,17,0.312,136.65,208.676544,38.972458,-98.24,26.325396,19486.228943,20140817_072003
10,KBRO20140824_115445_V06,-12,0.165,138.89,223.705292,10.946404,-98.22,26.257638,5473.201752,20140824_065445
10,KBRO20140824_115938_V06,-7,0.535,137.78,224.123840,20.780782,-98.23,26.255718,10390.390764,20140824_065938
10,KBRO20140824_120432_V06,-2,0.759,141.48,218.965219,26.738510,-98.21,26.279100,13369.255140,20140824_070432
10,KBRO20140824_120927_V06,3,0.529,147.40,217.786974,36.013555,-98.18,26.284577,18006.777282,20140824_070927
10,KBRO20140824_121421_V06,8,0.873,145.41,213.961520,39.655831,-98.19,26.301787,19827.915588,20140824_071421
10,KBRO20140824_121915_V06,13,0.849,143.62,209.307093,46.382234,-98.20,26.322743,23191.116862,20140824_071915
10,KBRO20140824_122410_V06,18,0.735,139.98,204.458048,52.361421,-98.22,26.344526,26180.710347,20140824_072410
10,KBRO20140824_122904_V06,23,0.505,140.31,202.639643,56.428239,-98.22,26.352741,28214.119405,20140824_072904
6,KBRO20140824_114457_V06,-22,0.144,325.27,347.114502,21.051437,-97.29,25.702866,10525.718689,20140824_064457
6,KBRO20140824_114950_V06,-17,0.443,326.09,346.829860,25.926514,-97.29,25.704147,12963.256810,20140824_064950
6,KBRO20140824_115445_V06,-12,0.228,323.19,340.738777,28.279805,-97.30,25.731650,14139.902387,20140824_065445
6,KBRO20140824_115938_V06,-7,0.070,317.91,342.310640,28.267772,-97.33,25.724575,14133.886106,20140824_065938
6,KBRO20140824_120432_V06,-2,-1.000,313.64,341.795596,29.227490,-97.35,25.726911,14613.744828,20140824_070432
6,KBRO20140824_120927_V06,3,0.109,314.10,347.538308,28.282617,-97.35,25.700991,14141.308443,20140824_070927
6,KBRO20140824_121421_V06,8,0.051,312.23,356.932269,31.065778,-97.36,25.658597,15532.889233,20140824_071421
22,KBRO20140824_120927_V06,3,0.059,309.04,49.184570,12.337723,-97.37,27.047438,6168.861389,20140824_070927
22,KBRO20140824_121421_V06,8,0.669,307.46,46.627464,20.013473,-97.38,27.058979,10006.736387,20140824_071421
22,KBRO20140824_121915_V06,13,0.489,305.27,43.419082,22.587602,-97.39,27.073459,11293.800768,20140824_071915
22,KBRO20140824_122410_V06,18,0.670,306.47,43.709369,20.956140,-97.39,27.072148,10478.069977,20140824_072410
22,KBRO20140824_122904_V06,23,0.191,301.44,45.534141,26.573691,-97.41,27.063917,13286.845530,20140824_072904
9,KBRO20140824_115445_V06,-12,0.178,270.83,387.805725,2.943939,-97.56,25.519194,1471.969604,20140824_065445
9,KBRO20140824_115938_V06,-7,0.172,270.84,386.501642,10.187875,-97.56,25.525080,5093.937576,20140824_065938
9,KBRO20140824_120432_V06,-2,0.052,283.94,380.287837,18.504256,-97.50,25.553176,9252.127981,20140824_070432
1,KBRO20140824_114004_V06,-26,0.341,128.29,221.200500,32.083778,-98.28,26.268636,16041.889191,20140824_064004
1,KBRO20140824_114457_V06,-22,0.160,128.52,220.715226,37.738590,-98.28,26.270833,18869.295120,20140824_064457
3,KBRO20140824_114004_V06,-26,0.085,242.03,238.163727,16.119354,-97.71,26.194342,8059.677124,20140824_064004
3,KBRO20140824_114457_V06,-22,-1.000,242.03,238.163727,22.479354,-97.71,26.194342,11239.677124,20140824_064457
3,KBRO20140824_114950_V06,-17,0.221,242.48,243.579688,25.810697,-97.71,26.169905,12905.348568,20140824_064950
5,KBRO20140824_114457_V06,-22,0.234,232.56,235.354645,31.639278,-97.76,26.206917,15819.639206,20140824_064457
19,KBRO20140824_120432_V06,-2,0.319,254.19,217.667450,23.114326,-97.65,26.286950,11557.163239,20140824_070432
25,KBRO20140824_122904_V06,23,0.088,370.79,293.246124,5.956406,-97.07,25.945611,2978.202820,20140824_072904
25,KBRO20140824_123358_V06,27,0.096,373.45,289.672028,5.330032,-97.05,25.961708,2665.016174,20140824_073358
1,KBRO20140830_120817_V06,-1,0.187,254.22,237.845428,12.030121,-97.65,26.195888,6015.060425,20140830_070817
1,KBRO20140830_121404_V06,5,0.148,254.66,236.240049,21.138090,-97.65,26.203137,10569.045210,20140830_071404
4,KBRO20140830_123921_V06,30,0.191,241.31,266.338654,18.877991,-97.71,26.067181,9438.995361,20140830_073921
4,KBRO20140830_124406_V06,35,0.115,241.47,265.469009,25.662112,-97.71,26.071108,12831.056100,20140830_074406
4,KBRO20140830_124850_V06,39,0.078,240.97,261.742950,20.003952,-97.71,26.087918,10001.976013,20140830_074850
3,KBRO20140830_123447_V06,25,0.058,238.37,248.532532,31.218800,-97.73,26.147510,15609.399796,20140830_073447
