track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KBYX20170902_104315_V06,-25,0.077,330.96,307.201172,15.416336,-81.55,24.564356,7708.168030,20170902_064315
1,KBYX20170902_104838_V06,-20,-1.000,330.96,307.201172,23.366336,-81.55,24.564356,11683.168030,20170902_064838
1,KBYX20170902_105403_V06,-14,0.066,329.23,310.462952,17.415726,-81.56,24.549641,8707.862854,20170902_065403
2,KBYX20170904_111644_V06,7,0.066,347.99,290.411713,27.797226,-81.47,24.640035,13898.612976,20170904_071644
2,KBYX20170904_112214_V06,13,0.092,348.12,289.677106,33.697173,-81.47,24.643350,16848.586504,20170904_072214
2,KBYX20170904_112745_V06,18,0.097,348.95,290.875519,24.036530,-81.46,24.637934,12018.264771,20170904_072745
1,KBYX20170904_111113_V06,2,0.054,192.03,292.616577,27.336693,-82.24,24.629324,13668.346405,20170904_071113
3,KBYX20170904_112214_V06,13,0.073,438.95,173.766693,29.874130,-81.01,25.165152,14937.065125,20170904_072214
4,KBYX20170904_112745_V06,18,0.426,280.51,307.668335,6.201584,-81.80,24.562294,3100.791931,20170904_072745
7,KBYX20170904_112745_V06,18,0.051,194.42,305.519714,18.748283,-82.22,24.571122,9374.141693,20170904_072745
11,KBYX20170904_120606_V06,57,0.075,244.41,285.474487,13.626572,-81.98,24.662257,6813.285828,20170904_080606
15,KBYX20170904_121709_V06,68,0.322,270.39,353.309540,5.817307,-81.85,24.356227,2908.653259,20170904_081709
