track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KDAX20210808_141855_V06,63,0.230,351.70,86.808655,57.391159,-121.38,39.460918,28695.579529,20210808_071855
1,KDAX20210808_142550_V06,70,0.353,352.94,87.780234,61.507076,-121.37,39.456524,30753.538006,20210808_072550
1,KDAX20210808_143244_V06,77,0.148,342.83,89.765365,57.869819,-121.43,39.447722,28934.909668,20210808_073244
3,KDAX20210808_142550_V06,70,0.170,275.46,384.199890,13.365334,-121.82,38.121756,6682.666779,20210808_072550
3,KDAX20210808_143244_V06,77,0.121,272.26,386.878091,23.971809,-121.83,38.109668,11985.904648,20210808_073244
2,KDAX20210808_141855_V06,63,0.152,414.16,194.271942,17.954529,-121.02,38.975471,8977.264404,20210808_071855
1,KDAX20210811_124748_V06,-30,0.612,346.22,398.149567,26.031075,-121.41,38.058705,13015.537262,20210811_054748
2,KDAX20210811_130135_V06,-16,0.097,393.91,329.846405,28.506561,-121.14,38.365439,14253.280640,20210811_060135
3,KDAX20210811_130829_V06,-9,0.053,402.32,379.068909,27.681046,-121.09,38.143494,13840.522766,20210811_060829
4,KDAX20210811_133604_V06,19,0.081,314.37,421.048462,21.780617,-121.59,37.955822,10890.308380,20210811_063604
5,KDAX20210811_141036_V06,53,0.099,380.06,45.233032,13.460724,-121.21,39.647613,6730.361938,20210811_071036
6,KDAX20210811_141729_V06,60,0.059,287.33,402.867767,31.889526,-121.75,38.037726,15944.763184,20210811_071729
3,KDAX20210929_134724_V06,-14,0.353,332.10,394.146057,7.608093,-121.49,38.076893,3804.046631,20210929_064724
3,KDAX20210929_140126_V06,0,-1.000,332.10,394.146057,29.868093,-121.49,38.076893,14934.046631,20210929_070126
3,KDAX20210929_140826_V06,7,0.193,334.25,418.719726,43.388951,-121.48,37.966178,21694.475659,20210929_070826
17,KDAX20210929_151133_V06,70,0.054,275.83,385.337555,14.921219,-121.81,38.116633,7460.609436,20210929_081133
17,KDAX20210929_151834_V06,77,0.300,280.61,378.335443,26.824510,-121.79,38.148204,13412.255127,20210929_081834
2,KDAX20210929_134023_V06,-21,0.127,266.65,393.709534,23.198284,-121.87,38.078848,11599.142075,20210929_064023
2,KDAX20210929_134724_V06,-14,0.132,262.20,408.921417,5.478867,-121.89,38.010280,2739.433289,20210929_064724
10,KDAX20210929_140826_V06,7,0.075,312.36,184.851959,18.006439,-121.61,39.019722,9003.219604,20210929_070826
12,KDAX20210929_142228_V06,21,0.085,263.81,392.929199,22.861481,-121.88,38.082336,11430.740356,20210929_072228
12,KDAX20210929_142929_V06,28,0.127,265.40,408.913513,5.582901,-121.87,38.010348,2791.450500,20210929_072929
16,KDAX20210929_144330_V06,42,0.064,273.89,384.381042,11.968887,-121.83,38.120928,5984.443665,20210929_074330
7,KDAX20211005_140655_V06,0,0.350,138.30,412.751282,26.878687,-122.60,37.989598,13439.343452,20211005_070655
7,KDAX20211005_141631_V06,10,0.129,128.53,423.951416,47.471475,-122.65,37.938698,23735.737539,20211005_071631
7,KDAX20211005_142607_V06,20,0.508,127.91,430.312525,52.297745,-122.66,37.910016,26148.872689,20211005_072607
4,KDAX20211005_134744_V06,-19,0.427,393.99,476.701385,5.286839,-121.14,37.703928,2643.419266,20211005_064744
4,KDAX20211005_140655_V06,0,0.215,389.06,477.236705,22.552217,-121.17,37.701641,11276.108631,20211005_070655
9,KDAX20211005_140655_V06,0,0.145,423.23,543.390930,9.798326,-120.98,37.402629,4899.163246,20211005_070655
9,KDAX20211005_141631_V06,10,0.218,430.66,553.027553,19.630383,-120.94,37.358958,9815.191488,20211005_071631
15,KDAX20211005_141631_V06,10,0.083,351.16,441.626282,23.093781,-121.39,37.862791,11546.890259,20211005_071631
15,KDAX20211005_142607_V06,20,0.113,341.97,437.495619,32.743835,-121.44,37.881517,16371.917536,20211005_072607
16,KDAX20211005_141631_V06,10,0.074,80.05,321.042145,28.485962,-122.94,38.399559,14242.980957,20211005_071631
16,KDAX20211005_142607_V06,20,0.092,81.76,319.133943,35.132200,-122.93,38.408257,17566.100079,20211005_072607
1,KDAX20211005_133808_V06,-28,0.099,277.72,370.198090,22.955864,-121.80,38.184842,11477.931976,20211005_063808
2,KDAX20211005_133808_V06,-28,0.094,303.69,47.533020,19.706299,-121.66,39.638174,9853.149414,20211005_063808
3,KDAX20211005_133808_V06,-28,0.054,425.16,239.650024,29.207687,-120.96,38.770726,14603.843689,20211005_063808
6,KDAX20211005_134744_V06,-19,0.064,257.72,431.884460,6.709316,-121.92,37.906790,3354.658127,20211005_064744
11,KDAX20211005_140655_V06,0,0.103,310.68,338.784882,14.262192,-121.62,38.326394,7131.095886,20211005_070655
14,KDAX20211005_141631_V06,10,0.106,185.36,528.810364,27.491375,-122.32,37.468593,13745.687485,20211005_071631
17,KDAX20211005_141631_V06,10,0.073,299.18,158.574677,15.841904,-121.68,39.138092,7920.951843,20211005_071631
18,KDAX20211005_142607_V06,20,0.097,307.67,39.495239,13.469482,-121.63,39.674365,6734.741211,20211005_072607
19,KDAX20211005_142607_V06,20,0.079,309.46,200.106873,2.926437,-121.62,38.951025,1463.218689,20211005_072607
20,KDAX20211005_142607_V06,20,0.069,307.10,404.609680,14.111847,-121.64,38.029895,7055.923462,20211005_072607
23,KDAX20211005_144518_V06,39,0.050,411.85,189.417969,22.912262,-121.03,38.997406,11456.130981,20211005_074518
7,KDAX20211118_143714_V06,-15,0.314,316.15,445.592896,4.491013,-121.58,37.845249,2245.506287,20211118_063714
7,KDAX20211118_144404_V06,-8,0.929,315.74,444.713415,11.010001,-121.59,37.849212,5505.000511,20211118_064404
7,KDAX20211118_145055_V06,-2,0.819,312.00,447.364249,18.990207,-121.61,37.837285,9495.103328,20211118_065055
7,KDAX20211118_150441_V06,12,0.196,299.16,448.735251,40.948791,-121.68,37.831129,20474.395315,20211118_070441
2,KDAX20211118_142332_V06,-29,0.119,271.68,229.475281,7.551254,-121.84,38.818650,3775.627136,20211118_062332
2,KDAX20211118_143023_V06,-22,0.050,271.70,230.772038,14.647627,-121.84,38.812809,7323.813459,20211118_063023
2,KDAX20211118_143714_V06,-15,0.061,262.93,234.758598,16.831402,-121.89,38.794773,8415.700999,20211118_063714
12,KDAX20211118_144404_V06,-8,0.051,386.56,264.454865,4.684921,-121.18,38.660158,2342.460632,20211118_064404
15,KDAX20211118_145055_V06,-2,0.086,327.20,348.864197,14.532570,-121.52,38.280905,7266.284943,20211118_065055
17,KDAX20211118_150441_V06,12,0.138,453.77,206.514221,16.541885,-120.79,38.918833,8270.942688,20211118_070441
18,KDAX20211118_150441_V06,12,0.133,422.61,112.149811,9.789062,-120.97,39.345029,4894.531250,20211118_070441
