track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
8,KDMX20160903_113536_V06,-8,0.056,286.85,352.291931,13.147179,-93.80,41.495673,6573.589325,20160903_063536
8,KDMX20160903_113954_V06,-4,0.117,285.58,351.780755,19.906644,-93.81,41.497969,9953.321814,20160903_063954
17,KDMX20160903_124945_V06,66,0.090,423.18,263.754303,11.092896,-92.98,41.891883,5546.447754,20160903_074945
17,KDMX20160903_125923_V06,76,0.171,423.06,262.823075,19.298125,-92.98,41.896080,9649.062496,20160903_075923
1,KDMX20160903_111505_V06,-28,0.130,423.38,263.801117,9.589447,-92.98,41.891665,4794.723511,20160903_061505
2,KDMX20160903_111836_V06,-25,0.051,195.33,221.669525,1.845215,-94.36,42.081988,922.607422,20160903_061836
3,KDMX20160903_112255_V06,-21,0.175,223.23,174.219269,8.148605,-94.19,42.296377,4074.302673,20160903_062255
6,KDMX20160903_113536_V06,-8,0.094,421.86,264.077087,6.233231,-92.99,41.890482,3116.615295,20160903_063536
10,KDMX20160903_113954_V06,-4,0.079,368.76,331.306335,7.587936,-93.31,41.589434,3793.968201,20160903_063954
11,KDMX20160903_113954_V06,-4,0.054,222.49,172.197693,6.732704,-94.19,42.305458,3366.352081,20160903_063954
11,KDMX20160903_114932_V06,6,-1.000,222.49,172.197693,22.632704,-94.19,42.305458,11316.352081,20160903_064932
11,KDMX20160903_115304_V06,10,0.212,226.71,178.998932,11.608192,-94.17,42.274946,5804.096222,20160903_065304
13,KDMX20160903_120142_V06,18,0.118,309.91,118.635071,6.478897,-93.66,42.547495,3239.448547,20160903_070142
14,KDMX20160903_120142_V06,18,0.066,421.03,262.109680,9.672516,-92.99,41.899370,4836.257935,20160903_070142
14,KDMX20160903_121119_V06,28,-1.000,421.03,262.109680,25.572516,-92.99,41.899370,12786.257935,20160903_071119
14,KDMX20160903_122054_V06,37,0.197,421.30,261.388336,9.833130,-92.99,41.902606,4916.564941,20160903_072054
15,KDMX20160903_121119_V06,28,0.063,188.70,259.349365,33.971870,-94.39,41.912151,16985.935211,20160903_071119
16,KDMX20160911_115213_V06,1,0.050,334.52,359.575439,18.207054,-93.52,41.462724,9103.527069,20160911_065213
16,KDMX20160911_120156_V06,10,0.122,332.45,356.321609,26.546146,-93.53,41.477394,13273.073220,20160911_070156
24,KDMX20160911_121139_V06,20,0.074,450.62,205.215424,5.441833,-92.81,42.154191,2720.916748,20160911_071139
