track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KEMX20200729_120903_V06,-27,0.088,278.65,191.242767,9.419800,-110.74,32.383946,4709.899902,20200729_050903
4,KEMX20200729_121835_V06,-18,0.462,274.16,192.326819,17.458312,-110.77,32.379035,8729.156225,20200729_051835
4,KEMX20200729_122807_V06,-8,0.162,263.17,179.461154,25.793077,-110.83,32.436967,12896.538398,20200729_052807
4,KEMX20200729_123740_V06,1,0.116,271.25,196.927917,16.214478,-110.78,32.358272,8107.238770,20200729_053740
4,KEMX20200729_124712_V06,11,0.181,269.92,194.736548,22.705577,-110.79,32.368143,11352.788490,20200729_054712
2,KEMX20200729_120903_V06,-27,0.160,409.89,269.316132,19.222366,-110.05,32.030637,9611.183167,20200729_050903
2,KEMX20200729_121835_V06,-18,0.218,412.51,269.615617,25.342622,-110.03,32.029222,12671.310784,20200729_051835
2,KEMX20200729_122807_V06,-8,-1.000,415.23,269.925430,32.770472,-110.02,32.027757,16385.235906,20200729_052807
2,KEMX20200729_123740_V06,1,0.063,415.94,269.154572,20.432358,-110.02,32.031215,10216.178894,20200729_053740
5,KEMX20200729_120903_V06,-27,0.075,421.65,440.572723,2.888107,-109.99,31.258105,1444.053650,20200729_050903
7,KEMX20200729_121835_V06,-18,0.137,335.19,385.166687,8.484413,-110.45,31.509432,4242.206573,20200729_051835
10,KEMX20200729_121835_V06,-18,0.056,429.22,129.057312,11.775101,-109.94,32.662511,5887.550354,20200729_051835
10,KEMX20200729_122807_V06,-8,-1.000,429.22,129.057312,27.675101,-109.94,32.662511,13837.550354,20200729_052807
10,KEMX20200729_123740_V06,1,0.214,428.04,132.281555,14.383789,-109.95,32.648008,7191.894531,20200729_053740
11,KEMX20200729_122807_V06,-8,0.061,322.59,312.807465,15.731277,-110.51,31.835803,7865.638733,20200729_052807
11,KEMX20200729_123740_V06,1,0.189,323.36,315.617279,13.515015,-110.51,31.823129,6757.507324,20200729_053740
8,KEMX20201011_131813_V06,-5,0.776,436.20,178.273590,13.120270,-109.91,32.440411,6560.134888,20201011_061813
8,KEMX20201011_132747_V06,4,0.107,436.04,174.115350,20.465067,-109.91,32.459164,10232.533616,20201011_062747
8,KEMX20201011_133721_V06,14,0.720,451.61,159.829394,35.996875,-109.82,32.523075,17998.437709,20201011_063721
8,KEMX20201011_134655_V06,23,0.051,448.80,155.882558,39.309941,-109.84,32.540963,19654.970468,20201011_064655
18,KEMX20201011_134655_V06,23,0.124,336.66,380.213348,4.804810,-110.44,31.531757,2402.404785,20201011_064655
18,KEMX20201011_140605_V06,43,0.075,337.98,380.014348,10.801577,-110.43,31.532643,5400.788499,20201011_070605
18,KEMX20201011_141539_V06,52,0.051,333.08,383.818344,12.261771,-110.46,31.515528,6130.885483,20201011_071539
18,KEMX20201011_142513_V06,62,0.057,335.85,384.643127,10.053734,-110.44,31.511787,5026.866913,20201011_072513
18,KEMX20201011_143447_V06,71,0.056,335.81,384.517885,17.470804,-110.44,31.512353,8735.402009,20201011_073447
20,KEMX20201011_141539_V06,52,0.157,270.17,192.444305,15.686935,-110.79,32.378480,7843.467712,20201011_071539
20,KEMX20201011_142513_V06,62,0.262,269.65,194.697225,22.971898,-110.79,32.368319,11485.948798,20201011_072513
20,KEMX20201011_143447_V06,71,0.205,266.01,174.230471,29.079717,-110.81,32.460573,14539.858477,20201011_073447
10,KEMX20201011_132747_V06,4,0.187,270.04,193.227783,16.153595,-110.79,32.374947,8076.797485,20201011_062747
10,KEMX20201011_133721_V06,14,0.236,269.76,192.731376,22.387688,-110.79,32.377183,11193.843779,20201011_063721
11,KEMX20201011_132747_V06,4,0.156,335.95,384.063049,8.938843,-110.44,31.514403,4469.421387,20201011_062747
11,KEMX20201011_133721_V06,14,0.084,335.85,384.312839,16.504365,-110.44,31.513277,8252.182256,20201011_063721
13,KEMX20201011_132747_V06,4,0.078,318.07,259.561493,5.530777,-110.53,32.075916,2765.388489,20201011_062747
13,KEMX20201011_133721_V06,14,0.095,318.13,259.506117,12.889467,-110.53,32.076165,6444.733406,20201011_063721
13,KEMX20201011_134655_V06,23,0.144,318.09,258.287964,5.963394,-110.53,32.081658,2981.697083,20201011_064655
21,KEMX20201011_141539_V06,52,0.078,318.29,259.236206,5.581070,-110.53,32.077382,2790.534973,20201011_071539
21,KEMX20201011_142513_V06,62,0.094,318.43,258.532290,14.502014,-110.53,32.080555,7251.006858,20201011_072513
1,KEMX20201011_130839_V06,-15,0.144,395.50,277.828644,5.486618,-110.12,31.992580,2743.309021,20201011_060839
3,KEMX20201011_130839_V06,-15,0.094,269.50,196.193909,16.723301,-110.79,32.361570,8361.650467,20201011_060839
4,KEMX20201011_130839_V06,-15,0.080,427.22,148.498474,29.089493,-109.95,32.574917,14544.746399,20201011_060839
4,KEMX20201011_131813_V06,-5,-1.000,427.22,148.498474,44.989493,-109.95,32.574917,22494.746399,20201011_061813
4,KEMX20201011_132747_V06,4,0.106,430.03,131.617096,14.796844,-109.94,32.650947,7398.422241,20201011_062747
6,KEMX20201011_130839_V06,-15,0.063,329.80,383.874146,13.823990,-110.47,31.515298,6911.994934,20201011_060839
19,KEMX20201011_134655_V06,23,0.055,392.13,281.357849,4.268448,-110.14,31.976736,2134.223938,20201011_064655
24,KEMX20201011_142513_V06,62,0.065,305.14,242.588196,12.880371,-110.60,32.152482,6440.185547,20201011_072513
25,KEMX20201011_142513_V06,62,0.063,324.49,315.467834,14.507736,-110.50,31.823797,7253.868103,20201011_072513
28,KEMX20201011_143447_V06,71,0.068,428.70,133.918640,16.656815,-109.94,32.640608,8328.407288,20201011_073447
15,KEMX20201013_134408_V06,20,0.140,271.07,196.454346,16.970722,-110.78,32.360406,8485.361099,20201013_064408
15,KEMX20201013_140314_V06,39,0.097,271.87,197.124254,23.383137,-110.78,32.357390,11691.568345,20201013_070314
15,KEMX20201013_141246_V06,48,0.053,271.33,203.138075,25.260285,-110.78,32.330272,12630.142257,20201013_071246
15,KEMX20201013_142220_V06,58,-1.000,270.94,208.569959,27.640820,-110.78,32.305777,13820.409782,20201013_072220
15,KEMX20201013_143152_V06,67,0.126,273.80,192.260071,13.093567,-110.77,32.379334,6546.783447,20201013_073152
15,KEMX20201013_144126_V06,77,0.329,273.21,192.358023,19.816287,-110.77,32.378889,9908.143668,20201013_074126
1,KEMX20201013_130557_V06,-19,0.135,272.00,191.702118,14.404114,-110.78,32.381839,7202.056885,20201013_060557
1,KEMX20201013_131530_V06,-9,0.076,272.40,194.550762,23.068018,-110.78,32.368997,11534.008987,20201013_061530
1,KEMX20201013_132502_V06,1,0.053,274.53,191.283966,13.619949,-110.77,32.383739,6809.974670,20201013_062502
1,KEMX20201013_133435_V06,10,0.053,272.14,193.120496,22.399010,-110.78,32.375444,11199.505070,20201013_063435
6,KEMX20201013_132502_V06,1,0.142,333.09,385.981018,12.354218,-110.46,31.505775,6177.108765,20201013_062502
6,KEMX20201013_133435_V06,10,0.052,328.67,388.510494,22.454874,-110.48,31.494398,11227.437108,20201013_063435
9,KEMX20201013_132502_V06,1,0.081,360.92,405.493469,2.421638,-110.31,31.417499,1210.819244,20201013_062502
9,KEMX20201013_133435_V06,10,0.055,361.27,405.577130,10.729738,-110.31,31.417117,5364.868995,20201013_063435
14,KEMX20201013_133435_V06,10,0.072,452.23,279.830933,6.715149,-109.82,31.982004,3357.574463,20201013_063435
14,KEMX20201013_134408_V06,20,0.175,444.29,284.670129,22.153819,-109.87,31.960444,11076.909611,20201013_064408
2,KEMX20201013_130557_V06,-19,0.072,332.39,384.868134,12.097549,-110.46,31.510799,6048.774719,20201013_060557
8,KEMX20201013_132502_V06,1,0.092,426.97,249.238800,29.147034,-109.96,32.120717,14573.516846,20201013_062502
16,KEMX20201013_140314_V06,39,0.095,319.72,259.768524,5.428604,-110.53,32.074975,2714.302063,20201013_070314
17,KEMX20201013_140314_V06,39,0.054,391.68,278.709656,5.758804,-110.15,31.988686,2879.402161,20201013_070314
18,KEMX20201013_141246_V06,48,0.353,336.05,384.709900,8.197136,-110.44,31.511485,4098.567963,20201013_071246
18,KEMX20201013_142220_V06,58,-1.000,336.05,384.709900,24.097136,-110.44,31.511485,12048.567963,20201013_072220
18,KEMX20201013_143152_V06,67,0.158,332.21,384.881409,11.846115,-110.46,31.510740,5923.057556,20201013_073152
21,KEMX20201013_141246_V06,48,0.065,361.63,405.804810,2.025726,-110.31,31.416086,1012.863159,20201013_071246
26,KEMX20201013_143152_V06,67,0.061,419.06,282.014008,5.979156,-110.00,31.973151,2989.578247,20201013_073152
