track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KEPZ20171007_130316_V06,-1,0.835,156.80,491.353149,12.954803,-107.45,31.007940,6477.401733,20171007_070316
1,KEPZ20171007_131326_V06,9,0.907,155.60,500.285389,25.994244,-107.45,30.967622,12997.122085,20171007_071326
1,KEPZ20171007_132336_V06,19,0.088,154.44,512.039929,48.903968,-107.46,30.914577,24451.984199,20171007_072336
10,KEPZ20171007_135407_V06,50,0.082,446.22,50.015564,35.343597,-105.92,32.997786,17671.798706,20171007_075407
10,KEPZ20171007_140418_V06,60,0.155,448.09,51.135133,40.982934,-105.91,32.992677,20491.467164,20171007_080418
10,KEPZ20171007_141428_V06,70,-1.000,449.85,52.191330,47.203063,-105.90,32.987857,23601.531747,20171007_081428
10,KEPZ20171007_142437_V06,80,0.085,464.78,84.446764,46.096501,-105.82,32.841916,23048.250336,20171007_082437
14,KEPZ20171007_141428_V06,70,0.114,30.52,431.981628,46.740765,-108.11,31.270023,23370.382309,20171007_081428
14,KEPZ20171007_142437_V06,80,0.164,32.86,428.250095,53.602399,-108.10,31.286984,26801.199291,20171007_082437
14,KEPZ20171007_143447_V06,90,0.122,32.85,422.772765,50.647222,-108.10,31.311680,25323.610765,20171007_083447
15,KEPZ20171007_141428_V06,70,0.064,367.49,493.276184,8.570244,-106.34,31.000989,4285.121918,20171007_081428
15,KEPZ20171007_142437_V06,80,0.132,369.29,497.377046,19.742136,-106.33,30.982469,9871.068193,20171007_082437
15,KEPZ20171007_143447_V06,90,0.066,354.60,513.938088,26.580429,-106.41,30.907978,13290.214720,20171007_083447
2,KEPZ20171007_130316_V06,-1,0.675,193.92,129.960175,9.721199,-107.26,32.638501,4860.599518,20171007_070316
2,KEPZ20171007_131326_V06,9,0.142,195.24,136.138591,21.854388,-107.26,32.610677,10927.194015,20171007_071326
6,KEPZ20171007_131326_V06,9,0.059,368.41,501.703735,12.790833,-106.34,30.962970,6395.416260,20171007_071326
6,KEPZ20171007_132336_V06,19,0.059,370.11,501.554386,22.257167,-106.33,30.963618,11128.583253,20171007_072336
7,KEPZ20171007_132336_V06,19,0.797,18.09,471.629608,21.361076,-108.17,31.090511,10680.538177,20171007_072336
11,KEPZ20171007_140418_V06,60,0.104,275.16,188.224121,16.980728,-106.83,32.376990,8490.364075,20171007_080418
13,KEPZ20171007_140418_V06,60,0.060,44.95,433.252991,58.786934,-108.04,31.265111,29393.466949,20171007_080418
16,KEPZ20171007_142437_V06,80,0.224,540.82,129.545532,51.401260,-105.41,32.635159,25700.630188,20171007_082437
17,KEPZ20171007_142437_V06,80,0.108,282.76,170.551788,2.898422,-106.79,32.456707,1449.211121,20171007_082437
