track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KEWX20170811_113633_V06,-21,0.070,223.67,383.331909,24.525154,-98.42,29.327131,12262.577057,20170811_063633
5,KEWX20170811_114548_V06,-12,0.546,228.48,378.899455,29.545820,-98.40,29.347197,14772.909854,20170811_064548
5,KEWX20170811_115502_V06,-2,0.406,233.33,348.575911,39.682201,-98.37,29.484049,19841.100366,20170811_065502
5,KEWX20170811_120416_V06,7,0.923,242.16,352.947218,43.957046,-98.33,29.464441,21978.523084,20170811_070416
5,KEWX20170811_121330_V06,16,0.774,242.99,355.330711,50.094409,-98.32,29.453699,25047.204567,20170811_071330
5,KEWX20170811_122243_V06,25,0.469,246.77,354.796356,57.478794,-98.30,29.456151,28739.397246,20170811_072243
5,KEWX20170811_123157_V06,34,0.106,247.05,309.736908,9.054379,-98.30,29.659407,4527.189255,20170811_073157
5,KEWX20170811_124110_V06,44,0.075,246.48,309.686616,16.096509,-98.30,29.659628,8048.254604,20170811_074110
5,KEWX20170811_125023_V06,53,0.057,246.40,322.704065,19.796749,-98.30,29.600909,9898.374329,20170811_075023
5,KEWX20170811_125937_V06,62,0.104,245.64,328.594249,22.511761,-98.31,29.574332,11255.880351,20170811_075937
16,KEWX20170811_114548_V06,-12,0.053,392.38,120.021790,14.296692,-97.55,30.514514,7148.345947,20170811_064548
16,KEWX20170811_115502_V06,-2,0.186,394.39,138.320140,29.373745,-97.54,30.431948,14686.872503,20170811_065502
16,KEWX20170811_120416_V06,7,0.868,398.99,114.880456,27.473867,-97.51,30.537572,13736.933574,20170811_070416
16,KEWX20170811_121330_V06,16,0.141,401.06,103.927009,37.527997,-97.50,30.586930,18763.998351,20170811_071330
16,KEWX20170811_122243_V06,25,0.212,407.90,106.202934,43.761126,-97.47,30.576519,21880.563007,20170811_072243
3,KEWX20170811_113633_V06,-21,0.185,343.77,191.884155,16.172455,-97.80,30.191075,8086.227417,20170811_063633
3,KEWX20170811_114548_V06,-12,0.731,344.22,209.134017,21.573359,-97.80,30.113268,10786.679737,20170811_064548
3,KEWX20170811_115502_V06,-2,0.182,353.04,213.777495,22.006189,-97.75,30.092237,11003.094719,20170811_065502
3,KEWX20170811_120416_V06,7,0.073,369.07,213.712433,18.502579,-97.67,30.092332,9251.289368,20170811_070416
18,KEWX20170811_115502_V06,-2,0.341,542.22,488.752319,14.369518,-96.79,28.846337,7184.759140,20170811_065502
18,KEWX20170811_120416_V06,7,0.425,528.94,473.549715,32.680710,-96.85,28.915532,16340.354802,20170811_070416
18,KEWX20170811_121330_V06,16,0.175,514.22,464.396435,38.814137,-96.93,28.957468,19407.068483,20170811_071330
4,KEWX20170811_113633_V06,-21,0.166,400.89,363.145203,24.457535,-97.51,29.417755,12228.767395,20170811_063633
4,KEWX20170811_114548_V06,-12,0.237,401.82,367.649102,34.162883,-97.50,29.397419,17081.441521,20170811_064548
11,KEWX20170811_114548_V06,-12,0.179,351.50,383.525269,7.455070,-97.76,29.326576,3727.535248,20170811_064548
23,KEWX20170811_121330_V06,16,0.054,319.40,254.683289,15.192566,-97.93,29.907979,7596.282959,20170811_071330
28,KEWX20170811_123157_V06,34,0.077,276.22,383.954163,27.406662,-98.15,29.324850,13703.330994,20170811_073157
