track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
9,KFDR20170929_123407_V06,5,0.092,146.41,422.746216,37.338654,-99.81,33.806115,18669.326782,20170929_073407
9,KFDR20170929_123815_V06,9,0.057,146.04,423.245615,42.283368,-99.81,33.803850,21141.684068,20170929_073815
9,KFDR20170929_124216_V06,13,-1.000,145.78,423.608814,47.614070,-99.81,33.802204,23807.034821,20170929_074216
9,KFDR20170929_124623_V06,17,0.106,142.53,426.813538,35.929092,-99.83,33.787637,17964.546204,20170929_074623
11,KFDR20170929_125438_V06,25,0.065,161.69,430.245178,19.477036,-99.72,33.772845,9738.517761,20170929_075438
11,KFDR20170929_130252_V06,33,0.158,155.75,431.559663,29.661698,-99.75,33.766719,14830.848987,20170929_080252
1,KFDR20170929_121423_V06,-15,0.085,147.12,416.659363,20.821497,-99.80,33.833577,10410.748482,20170929_071423
3,KFDR20170929_121811_V06,-11,0.057,33.47,440.552826,26.196463,-100.41,33.720198,13098.231316,20170929_071811
3,KFDR20170929_122200_V06,-7,-1.000,33.47,440.552826,32.556463,-100.41,33.720198,16278.231316,20170929_072200
3,KFDR20170929_122607_V06,-3,0.088,30.06,434.336884,25.462469,-100.43,33.747996,12731.234550,20170929_072607
12,KFDR20170929_130700_V06,38,0.083,378.62,213.296722,16.007401,-98.55,34.752261,8003.700256,20170929_080700
13,KFDR20170929_134731_V06,78,0.129,158.75,431.733032,22.480698,-99.74,33.766040,11240.348816,20170929_084731
14,KFDR20170929_134731_V06,78,0.068,57.59,375.225922,50.911858,-100.29,34.016096,25455.928802,20170929_084731
9,KFDR20171001_121121_V06,-19,0.127,430.16,361.674683,14.416908,-98.27,34.082189,7208.454132,20171001_071121
9,KFDR20171001_121616_V06,-14,0.239,428.82,363.013230,22.705554,-98.28,34.076197,11352.777155,20171001_071616
24,KFDR20171001_131100_V06,41,0.099,488.71,194.152496,7.939087,-97.94,34.834959,3969.543457,20171001_081100
24,KFDR20171001_131556_V06,45,0.051,488.79,194.372615,13.077835,-97.94,34.833963,6538.917278,20171001_081556
1,KFDR20171001_120129_V06,-29,0.298,309.54,323.307373,7.755463,-98.92,34.257153,3877.731323,20171001_070129
4,KFDR20171001_120129_V06,-29,0.137,388.51,196.244751,2.462662,-98.49,34.828913,1231.330872,20171001_070129
4,KFDR20171001_120625_V06,-24,-1.000,388.51,196.244751,10.412662,-98.49,34.828913,5206.330872,20171001_070625
4,KFDR20171001_121121_V06,-19,0.137,388.68,196.183014,2.344772,-98.49,34.829188,1172.386169,20171001_071121
6,KFDR20171001_121121_V06,-19,0.530,273.01,411.803864,46.858059,-99.12,33.858169,23429.029465,20171001_071121
7,KFDR20171001_121121_V06,-19,0.144,401.03,244.282227,2.726669,-98.43,34.612119,1363.334656,20171001_071121
14,KFDR20171001_121616_V06,-14,0.115,485.34,195.730377,4.863098,-97.96,34.828001,2431.549072,20171001_071616
16,KFDR20171001_122113_V06,-9,0.055,378.39,398.354553,16.074463,-98.55,33.918147,8037.231445,20171001_072113
17,KFDR20171001_122635_V06,-4,0.072,196.26,402.625793,7.687950,-99.54,33.898341,3843.975067,20171001_072635
18,KFDR20171001_123132_V06,1,0.120,128.10,305.388519,7.785604,-99.91,34.334368,3892.802238,20171001_073132
20,KFDR20171001_123628_V06,6,0.088,311.02,367.157135,25.205765,-98.92,34.059495,12602.882385,20171001_073628
21,KFDR20171001_124123_V06,11,0.052,388.20,196.182892,2.289764,-98.49,34.829199,1144.882202,20171001_074123
22,KFDR20171001_125115_V06,21,0.082,401.68,530.962402,37.944805,-98.43,33.319872,18972.402573,20171001_075115
23,KFDR20171001_131100_V06,41,0.109,144.03,48.830261,9.464325,-99.84,35.491231,4732.162476,20171001_081100
