track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KFWS20180718_111206_V06,-22,0.424,444.97,226.283295,25.516830,-96.53,32.902751,12758.415222,20180718_061206
2,KFWS20180718_111854_V06,-16,0.840,446.51,222.717644,31.621959,-96.52,32.918775,15810.979525,20180718_061854
2,KFWS20180718_112547_V06,-9,0.964,448.32,219.699006,35.158910,-96.51,32.932323,17579.455228,20180718_062547
2,KFWS20180718_113240_V06,-2,0.869,449.44,220.534155,44.681631,-96.50,32.928520,22340.815678,20180718_063240
2,KFWS20180718_113928_V06,5,0.161,449.43,217.685588,50.184244,-96.50,32.941362,25092.121913,20180718_063928
2,KFWS20180718_114618_V06,12,-1.000,449.55,215.189488,56.065033,-96.50,32.952611,28032.516643,20180718_064618
2,KFWS20180718_120035_V06,26,0.090,455.53,198.077983,63.427351,-96.47,33.029545,31713.675458,20180718_070035
2,KFWS20180718_120743_V06,33,-1.000,457.67,191.319749,67.761002,-96.46,33.059935,33880.501102,20180718_070743
2,KFWS20180718_121450_V06,40,0.051,464.97,196.269410,71.086893,-96.42,33.037353,35543.446637,20180718_071450
2,KFWS20180718_122157_V06,47,-1.000,469.81,195.657722,74.891479,-96.39,33.039926,37445.739468,20180718_072157
2,KFWS20180718_122905_V06,55,0.057,415.74,226.347839,23.371460,-96.68,32.903325,11685.729980,20180718_072905
2,KFWS20180718_123612_V06,62,-1.000,415.74,226.347839,34.501460,-96.68,32.903325,17250.729980,20180718_073612
2,KFWS20180718_124319_V06,69,0.119,418.15,231.574524,21.024719,-96.67,32.879698,10512.359619,20180718_074319
5,KFWS20180718_112547_V06,-9,0.880,383.14,402.032288,10.133766,-96.86,32.111958,5066.883087,20180718_062547
5,KFWS20180718_113240_V06,-2,0.932,390.26,398.369617,17.326036,-96.82,32.128335,8663.017945,20180718_063240
5,KFWS20180718_113928_V06,5,0.836,398.87,394.236270,21.297590,-96.78,32.146790,10648.794849,20180718_063928
5,KFWS20180718_114618_V06,12,0.432,406.65,383.854031,30.096897,-96.74,32.193423,15048.448545,20180718_064618
5,KFWS20180718_120035_V06,26,0.135,394.31,360.214779,57.933275,-96.80,32.300286,28966.637296,20180718_070035
9,KFWS20180718_112547_V06,-9,0.079,327.11,333.723389,22.329655,-97.16,32.420647,11164.827347,20180718_062547
9,KFWS20180718_113240_V06,-2,0.642,325.52,343.661099,30.699946,-97.17,32.375849,15349.972979,20180718_063240
9,KFWS20180718_113928_V06,5,0.197,328.18,359.428917,35.402252,-97.15,32.304738,17701.125775,20180718_063928
9,KFWS20180718_114618_V06,12,0.104,327.62,361.161845,44.525127,-97.16,32.296928,22262.563515,20180718_064618
6,KFWS20180718_112547_V06,-9,0.501,412.00,320.466766,9.890518,-96.71,32.479089,4945.259094,20180718_062547
6,KFWS20180718_113240_V06,-2,0.063,412.34,329.343547,17.038475,-96.71,32.439058,8519.237599,20180718_063240
19,KFWS20180718_113928_V06,5,0.227,522.97,385.913147,24.833778,-96.12,32.179848,12416.889191,20180718_063928
19,KFWS20180718_114618_V06,12,0.400,525.38,388.110659,31.966825,-96.11,32.169820,15983.412648,20180718_064618
1,KFWS20180718_110459_V06,-30,0.150,461.29,224.800537,36.865845,-96.44,32.908868,18432.922363,20180718_060459
10,KFWS20180718_112547_V06,-9,0.070,366.05,337.214355,28.839005,-96.95,32.404499,14419.502258,20180718_062547
14,KFWS20180718_113240_V06,-2,0.343,301.72,180.847778,12.831314,-97.29,33.109977,6415.657043,20180718_063240
18,KFWS20180718_113928_V06,5,0.356,459.12,383.157471,19.400978,-96.46,32.195003,9700.489044,20180718_063928
21,KFWS20180718_113928_V06,5,0.161,401.84,357.391785,13.086845,-96.76,32.312849,6543.422699,20180718_063928
23,KFWS20180718_113928_V06,5,0.079,416.24,432.487579,8.050369,-96.69,31.973900,4025.184631,20180718_063928
25,KFWS20180718_113928_V06,5,0.057,476.46,299.201324,29.405823,-96.36,32.572869,14702.911377,20180718_063928
26,KFWS20180718_114618_V06,12,0.070,476.75,225.082520,35.495819,-96.36,32.907003,17747.909546,20180718_064618
27,KFWS20180718_120743_V06,33,0.091,481.32,163.536102,41.233162,-96.33,33.184269,20616.580963,20180718_070743
29,KFWS20180718_121450_V06,40,0.136,399.14,430.184998,35.841782,-96.78,31.984693,17920.890808,20180718_071450
30,KFWS20180718_121450_V06,40,0.093,23.27,125.378479,24.463755,-98.79,33.351270,12231.877327,20180718_071450
33,KFWS20180718_123612_V06,62,0.360,383.91,401.664032,10.164345,-96.86,32.113604,5082.172394,20180718_073612
34,KFWS20180718_123612_V06,62,0.102,34.96,432.925446,43.473110,-98.70,31.965603,21736.555099,20180718_073612
1,KFWS20180801_111640_V06,-27,0.935,412.82,244.828064,27.515793,-96.70,32.820086,13757.896423,20180801_061640
1,KFWS20180801_112348_V06,-20,0.966,413.40,247.832557,31.038032,-96.70,32.806525,15519.015890,20180801_062348
1,KFWS20180801_113057_V06,-13,-1.000,413.91,250.509287,35.390208,-96.69,32.794444,17695.104142,20180801_063057
1,KFWS20180801_113805_V06,-5,0.798,414.76,249.766487,32.217894,-96.69,32.797771,16108.947089,20180801_063805
1,KFWS20180801_114512_V06,2,0.361,419.70,252.521593,35.016092,-96.66,32.785219,17508.046070,20180801_064512
1,KFWS20180801_115219_V06,9,0.752,425.17,251.193632,37.101637,-96.63,32.791054,18550.818689,20180801_065219
3,KFWS20180801_112348_V06,-20,0.218,275.69,243.756409,4.712402,-97.43,32.826293,2356.201172,20180801_062348
3,KFWS20180801_113057_V06,-13,0.552,272.23,244.781553,11.636595,-97.45,32.821651,5818.297391,20180801_063057
3,KFWS20180801_113805_V06,-5,0.070,267.66,248.136861,14.066471,-97.48,32.806492,7033.235696,20180801_063805
3,KFWS20180801_114512_V06,2,0.163,257.85,257.016400,22.227854,-97.53,32.766376,11113.927068,20180801_064512
10,KFWS20180801_114512_V06,2,0.327,363.28,420.149811,12.914230,-96.97,32.030591,6457.115173,20180801_064512
10,KFWS20180801_115219_V06,9,0.886,359.56,422.341375,17.967018,-96.99,32.020760,8983.508776,20180801_065219
4,KFWS20180801_112348_V06,-20,0.160,304.43,377.737244,20.604546,-97.28,32.222275,10302.272797,20180801_062348
6,KFWS20180801_113057_V06,-13,0.914,416.69,241.353516,26.245560,-96.68,32.835649,13122.779846,20180801_063057
7,KFWS20180801_113057_V06,-13,0.088,443.63,292.090576,13.868729,-96.54,32.606113,6934.364319,20180801_063057
