track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KGWX20150806_103952_V06,-29,0.153,278.06,476.943268,5.650578,-88.45,33.098949,2825.288773,20150806_053952
1,KGWX20150806_104513_V06,-23,0.608,278.85,478.639647,12.641927,-88.44,33.091306,6320.963261,20150806_054513
1,KGWX20150806_105032_V06,-18,0.273,283.78,480.252672,16.888808,-88.42,33.084055,8444.403887,20150806_055032
1,KGWX20150806_105545_V06,-13,0.245,290.04,478.491692,21.096337,-88.38,33.092013,10548.168411,20150806_055545
1,KGWX20150806_110049_V06,-8,-1.000,295.59,477.770477,25.439646,-88.35,33.095274,12719.822898,20150806_060049
1,KGWX20150806_110607_V06,-2,-1.000,302.26,476.905019,30.651617,-88.32,33.099177,15325.808283,20150806_060607
1,KGWX20150806_111124_V06,3,0.124,305.50,476.042580,38.526957,-88.30,33.103063,19263.478588,20150806_061124
12,KGWX20150806_110607_V06,-2,0.251,275.71,337.275543,10.943283,-88.46,33.728570,5471.641541,20150806_060607
12,KGWX20150806_111124_V06,3,0.105,277.27,336.883282,19.292600,-88.45,33.730347,9646.299871,20150806_061124
24,KGWX20150806_120234_V06,54,0.276,209.82,414.836487,32.440971,-88.81,33.378042,16220.485687,20150806_070234
24,KGWX20150806_120734_V06,59,0.062,211.27,415.727151,38.768908,-88.81,33.374057,19384.454041,20150806_070734
5,KGWX20150806_103952_V06,-29,0.067,223.22,290.809326,2.073769,-88.74,33.937399,1036.884308,20150806_053952
8,KGWX20150806_110049_V06,-8,0.132,229.88,383.779816,20.616501,-88.71,33.518423,10308.250427,20150806_060049
9,KGWX20150806_110049_V06,-8,0.115,233.72,344.569885,12.130531,-88.69,33.695239,6065.265656,20150806_060049
11,KGWX20150806_110049_V06,-8,0.081,244.95,398.215820,5.433891,-88.62,33.453567,2716.945648,20150806_060049
16,KGWX20150806_111641_V06,8,0.074,272.84,412.138519,2.913162,-88.47,33.391072,1456.581116,20150806_061641
20,KGWX20150806_113211_V06,24,0.111,187.53,446.601379,17.934631,-88.93,33.234315,8967.315674,20150806_063211
22,KGWX20150806_115235_V06,44,0.691,285.30,447.424347,23.534378,-88.41,33.232059,11767.189026,20150806_065235
22,KGWX20150806_115733_V06,49,-1.000,285.30,447.424347,31.484378,-88.41,33.232059,15742.189026,20150806_065733
22,KGWX20150806_120234_V06,54,0.061,286.82,449.229065,26.831108,-88.40,33.223928,13415.554047,20150806_070234
23,KGWX20150806_115235_V06,44,0.171,182.50,443.563477,17.579926,-88.96,33.247874,8789.962769,20150806_065235
32,KGWX20150806_122241_V06,74,0.053,221.57,416.736206,41.157028,-88.75,33.369710,20578.514099,20150806_072241
