track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KGYX20200830_094757_V06,-15,0.065,291.87,162.338531,1.773880,-70.31,44.510827,886.940002,20200830_054757
1,KGYX20200830_095224_V06,-10,-1.000,291.87,162.338531,9.723880,-70.31,44.510827,4861.940002,20200830_055224
1,KGYX20200830_100129_V06,-1,0.075,292.06,161.920441,1.814240,-70.31,44.512709,907.119751,20200830_060129
3,KGYX20200830_101038_V06,8,0.262,302.42,368.800049,6.395714,-70.24,43.581778,3197.856903,20200830_061038
6,KGYX20200830_101516_V06,13,0.086,292.11,162.915405,1.690552,-70.31,44.508232,845.275879,20200830_061516
12,KGYX20200830_112544_V06,83,0.058,291.62,162.901459,2.073853,-70.31,44.508293,1036.926270,20200830_072544
1,KGYX20200907_101048_V06,-1,0.067,296.71,369.512024,7.968529,-70.28,43.578573,3984.264374,20200907_061048
1,KGYX20200907_101526_V06,4,0.287,295.76,368.704970,15.866605,-70.28,43.582203,7933.302536,20200907_061526
1,KGYX20200907_101952_V06,8,0.654,295.99,366.775261,19.583947,-70.28,43.590888,9791.973287,20200907_061952
1,KGYX20200907_102418_V06,13,0.751,301.77,365.305259,19.355627,-70.25,43.597506,9677.813312,20200907_062418
1,KGYX20200907_102855_V06,17,0.623,303.67,362.300612,21.967654,-70.23,43.611026,10983.826974,20200907_062855
1,KGYX20200907_103321_V06,22,0.353,307.10,357.589801,24.796801,-70.21,43.632219,12398.400412,20200907_063321
1,KGYX20200907_103752_V06,26,-1.000,309.75,354.116139,27.031936,-70.20,43.647844,13515.968244,20200907_063752
1,KGYX20200907_104229_V06,31,0.121,314.83,356.701935,23.108974,-70.17,43.636186,11554.487228,20200907_064229
1,KGYX20200907_104700_V06,36,0.105,317.62,359.400818,17.692989,-70.15,43.624025,8846.494675,20200907_064700
1,KGYX20200907_105131_V06,40,0.092,315.73,363.143738,14.125359,-70.16,43.607192,7062.679291,20200907_065131
3,KGYX20200910_101135_V06,-4,0.847,285.45,378.021912,6.479164,-70.35,43.540242,3239.582062,20200910_061135
3,KGYX20200910_101552_V06,0,0.948,286.68,376.728062,10.528065,-70.34,43.546070,5264.032560,20200910_061552
3,KGYX20200910_102009_V06,5,0.950,290.92,373.740030,12.742734,-70.31,43.559533,6371.367236,20200910_062009
3,KGYX20200910_102426_V06,9,0.850,292.70,372.557138,16.347155,-70.30,43.564862,8173.577423,20200910_062426
3,KGYX20200910_102842_V06,13,0.684,295.06,370.398107,20.449319,-70.29,43.574583,10224.659738,20200910_062842
3,KGYX20200910_103259_V06,17,0.655,291.46,363.654423,29.608747,-70.31,43.604923,14804.373253,20200910_063259
3,KGYX20200910_103716_V06,22,0.286,288.31,359.455521,38.515387,-70.33,43.623808,19257.693739,20200910_063716
3,KGYX20200910_104133_V06,26,0.177,285.67,358.895390,41.944180,-70.35,43.626318,20972.090162,20200910_064133
3,KGYX20200910_104550_V06,30,0.077,283.15,358.621666,45.232720,-70.36,43.627536,22616.360000,20200910_064550
4,KGYX20200910_102009_V06,5,0.070,257.87,146.104492,38.395519,-70.52,44.583578,19197.759628,20200910_062009
4,KGYX20200910_102426_V06,9,0.071,257.61,145.291024,43.621015,-70.52,44.587235,21810.507620,20200910_062426
6,KGYX20200910_104133_V06,26,0.071,250.54,146.411957,38.775059,-70.57,44.582079,19387.529373,20200910_064133
6,KGYX20200910_104550_V06,30,0.109,250.57,146.481746,43.740713,-70.57,44.581766,21870.356278,20200910_064550
8,KGYX20200910_110719_V06,52,0.058,269.25,122.985718,19.302917,-70.45,44.687743,9651.458740,20200910_070719
