track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
11,KIND20140928_114100_V06,3,0.221,139.84,383.500732,3.412094,-87.21,39.327732,1706.047058,20140928_074100
11,KIND20140928_115044_V06,12,0.339,140.49,382.727936,12.090868,-87.21,39.331242,6045.434184,20140928_075044
11,KIND20140928_115421_V06,16,0.517,139.43,380.604750,13.422904,-87.21,39.340754,6711.451961,20140928_075421
11,KIND20140928_115843_V06,20,0.484,141.50,379.331105,13.111744,-87.20,39.346585,6555.871786,20140928_075843
11,KIND20140928_120306_V06,25,0.055,142.50,377.777381,14.195938,-87.19,39.353628,7097.968858,20140928_080306
11,KIND20140928_120730_V06,29,0.294,143.04,385.651446,18.538941,-87.19,39.318194,9269.470472,20140928_080730
11,KIND20140928_121714_V06,39,0.419,151.32,391.597139,21.210755,-87.14,39.291786,10605.377260,20140928_081714
11,KIND20140928_122659_V06,48,0.377,158.59,388.063529,20.772141,-87.10,39.308005,10386.070332,20140928_082659
3,KIND20140928_113116_V06,-7,0.150,369.97,389.804199,5.211143,-85.87,39.302358,2605.571747,20140928_073116
3,KIND20140928_114100_V06,3,0.059,359.61,376.354560,16.010684,-85.93,39.363124,8005.341840,20140928_074100
3,KIND20140928_115044_V06,12,0.065,330.74,381.223671,20.348988,-86.10,39.341574,10174.494011,20140928_075044
16,KIND20140928_115044_V06,12,0.349,119.69,480.393677,14.264275,-87.32,38.890393,7132.137299,20140928_075044
16,KIND20140928_115421_V06,16,0.077,120.46,479.950259,19.186902,-87.31,38.892430,9593.450983,20140928_075421
16,KIND20140928_115843_V06,20,-1.000,121.03,479.627774,24.501540,-87.31,38.893912,12250.770027,20140928_075843
16,KIND20140928_120306_V06,25,0.098,117.76,486.212496,29.504852,-87.33,38.864088,14752.425866,20140928_080306
38,KIND20140928_124628_V06,68,0.098,222.75,400.970093,6.382195,-86.73,39.251916,3191.097260,20140928_084628
38,KIND20140928_125613_V06,78,0.132,240.28,410.853559,14.613812,-86.63,39.207752,7306.906009,20140928_085613
38,KIND20140928_130557_V06,87,0.058,258.02,407.631126,14.655012,-86.52,39.222526,7327.506046,20140928_090557
21,KIND20140928_115421_V06,16,0.086,38.47,234.574585,43.528164,-87.81,39.992050,21764.081955,20140928_075421
21,KIND20140928_115843_V06,20,0.089,38.26,235.045640,49.135523,-87.81,39.989913,24567.761540,20140928_075843
28,KIND20140928_120730_V06,29,0.065,243.99,411.996490,6.340340,-86.60,39.202667,3170.169830,20140928_080730
28,KIND20140928_121714_V06,39,0.053,246.79,412.428686,15.774495,-86.59,39.200765,7887.247356,20140928_081714
6,KIND20140928_113116_V06,-7,0.110,393.26,223.639282,9.095428,-85.73,40.050084,4547.714233,20140928_073116
10,KIND20140928_113116_V06,-7,0.050,250.38,327.961731,25.957779,-86.57,39.581218,12978.889465,20140928_073116
10,KIND20140928_114100_V06,3,0.065,242.00,338.429413,17.829010,-86.62,39.533947,8914.505005,20140928_074100
10,KIND20140928_115044_V06,12,0.142,244.12,336.900360,8.129471,-86.61,39.540868,4064.735413,20140928_075044
12,KIND20140928_114100_V06,3,0.211,384.21,277.223541,26.564758,-85.79,39.809029,13282.379150,20140928_074100
30,KIND20140928_121714_V06,39,0.203,412.28,231.918152,23.639725,-85.62,40.012229,11819.862366,20140928_081714
32,KIND20140928_121714_V06,39,0.064,376.71,336.228119,11.128174,-85.83,39.543492,5564.086914,20140928_081714
36,KIND20140928_122659_V06,48,0.052,22.15,250.670410,24.250647,-87.91,39.918290,12125.323296,20140928_082659
39,KIND20140928_124628_V06,68,0.082,20.83,198.777893,18.023510,-87.92,40.151800,9011.754990,20140928_084628
