track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KINX20130819_111447_V06,-29,0.556,215.71,304.247620,12.591240,-96.03,36.154944,6295.619965,20130819_061447
1,KINX20130819_112428_V06,-19,0.365,219.04,305.123493,22.163828,-96.01,36.151068,11081.913912,20130819_062428
1,KINX20130819_113407_V06,-9,0.139,219.10,305.141427,21.761718,-96.01,36.150989,10880.859068,20130819_063407
7,KINX20130819_112428_V06,-19,0.347,290.42,371.796814,4.533844,-95.62,35.851460,2266.921997,20130819_062428
7,KINX20130819_113407_V06,-9,0.254,294.25,365.429229,18.939337,-95.60,35.880162,9469.668614,20130819_063407
7,KINX20130819_114348_V06,0,0.093,288.71,356.702478,28.283060,-95.63,35.919475,14141.530193,20130819_064348
15,KINX20130819_114348_V06,0,0.438,560.40,293.000702,29.602112,-94.12,36.197787,14801.055908,20130819_064348
15,KINX20130819_115329_V06,10,0.057,562.03,293.369276,40.782233,-94.11,36.196017,20391.116561,20130819_065329
19,KINX20130819_121250_V06,29,0.080,288.89,422.412628,8.913834,-95.63,35.623363,4456.916809,20130819_071250
19,KINX20130819_122231_V06,39,0.139,288.22,422.586151,16.652087,-95.63,35.622579,8326.043506,20130819_072231
6,KINX20130819_112428_V06,-19,0.405,488.85,377.519348,10.528343,-94.52,35.821117,5264.171600,20130819_062428
9,KINX20130819_112428_V06,-19,0.224,354.62,422.148987,4.664185,-95.26,35.624186,2332.092285,20130819_062428
9,KINX20130819_113407_V06,-9,-1.000,354.62,422.148987,20.564185,-95.26,35.624186,10282.092285,20130819_063407
9,KINX20130819_114348_V06,0,0.077,351.75,416.659027,7.883301,-95.28,35.648965,3941.650391,20130819_064348
13,KINX20130819_114348_V06,0,0.716,497.03,472.497253,22.371010,-94.48,35.392742,11185.504913,20130819_064348
18,KINX20130819_120310_V06,20,0.414,35.90,159.532959,33.386703,-97.04,36.798801,16693.351746,20130819_070310
22,KINX20130819_125131_V06,68,0.078,412.42,53.228455,38.018532,-94.93,37.285190,19009.265900,20130819_075131
12,KINX20130822_113130_V06,-15,0.077,353.68,418.638062,5.106354,-95.27,35.640021,2553.176880,20130822_063130
12,KINX20130822_113716_V06,-9,0.110,354.39,416.826458,11.667668,-95.26,35.648175,5833.834231,20130822_063716
12,KINX20130822_114303_V06,-3,0.140,351.04,418.941332,16.772690,-95.28,35.638690,8386.344949,20130822_064303
12,KINX20130822_114849_V06,2,0.053,349.53,423.071653,20.375366,-95.29,35.620096,10187.682880,20130822_064849
12,KINX20130822_115435_V06,8,0.059,344.99,409.323356,19.589585,-95.32,35.682106,9794.792655,20130822_065435
7,KINX20130822_113130_V06,-15,0.552,290.78,371.898621,5.074272,-95.62,35.851002,2537.136078,20130822_063130
7,KINX20130822_113716_V06,-9,0.147,290.44,372.535253,12.019098,-95.62,35.848133,6009.548874,20130822_063716
7,KINX20130822_114303_V06,-3,0.107,294.98,368.507410,13.395607,-95.59,35.866292,6697.803422,20130822_064303
7,KINX20130822_114849_V06,2,0.305,301.78,367.511063,13.319875,-95.55,35.870785,6659.937305,20130822_064849
32,KINX20130822_122326_V06,37,0.061,10.67,406.796997,15.705089,-97.16,35.683058,7852.544308,20130822_072326
32,KINX20130822_122912_V06,43,0.052,12.21,410.737162,24.761507,-97.15,35.665419,12380.753361,20130822_072912
32,KINX20130822_123458_V06,48,-1.000,13.31,413.551565,32.366091,-97.15,35.652819,16183.045542,20130822_073458
32,KINX20130822_124045_V06,54,-1.000,14.63,416.928849,41.491592,-97.14,35.637699,20745.796159,20130822_074045
32,KINX20130822_125023_V06,64,0.219,28.24,446.463322,40.765172,-97.06,35.505596,20382.586242,20130822_075023
32,KINX20130822_130003_V06,74,0.109,44.20,462.995237,53.559774,-96.97,35.432178,26779.886784,20130822_080003
5,KINX20130822_112544_V06,-21,0.737,223.68,300.742188,10.002510,-95.99,36.170904,5001.255035,20130822_062544
5,KINX20130822_113130_V06,-15,0.604,224.06,297.652050,17.670566,-95.99,36.184836,8835.282790,20130822_063130
5,KINX20130822_113716_V06,-9,0.341,224.61,290.608474,19.162966,-95.98,36.216585,9581.483139,20130822_063716
21,KINX20130822_114303_V06,-3,0.207,43.02,161.463287,13.401861,-97.00,36.790590,6700.930595,20130822_064303
21,KINX20130822_114849_V06,2,0.852,41.35,160.424585,15.827393,-97.01,36.795157,7913.696269,20130822_064849
21,KINX20130822_115435_V06,8,0.523,44.49,157.357660,16.503921,-97.00,36.809184,8251.960278,20130822_065435
9,KINX20130822_113130_V06,-15,0.238,406.78,320.326752,8.019119,-94.97,36.081938,4009.559631,20130822_063130
9,KINX20130822_113716_V06,-9,0.279,406.37,325.035743,15.512898,-94.97,36.060731,7756.448858,20130822_063716
