track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KJKL20210815_103832_V06,-11,0.084,120.64,274.975433,5.495689,-84.33,37.699186,2747.844696,20210815_063832
4,KJKL20210815_104208_V06,-7,0.082,120.25,275.675884,11.094392,-84.33,37.696011,5547.196151,20210815_064208
4,KJKL20210815_104544_V06,-4,0.677,119.94,274.253614,12.779919,-84.33,37.702403,6389.959707,20210815_064544
4,KJKL20210815_104921_V06,0,0.817,119.87,270.132442,15.476994,-84.33,37.720963,7738.497183,20210815_064921
4,KJKL20210815_105241_V06,3,0.809,120.20,267.297934,19.768650,-84.33,37.733747,9884.325068,20210815_065241
4,KJKL20210815_105600_V06,7,0.876,121.22,266.979091,23.564323,-84.33,37.735233,11782.161405,20210815_065600
4,KJKL20210815_110239_V06,13,0.738,128.35,269.086325,35.639495,-84.29,37.726082,17819.747308,20210815_070239
4,KJKL20210815_110558_V06,16,0.615,126.79,267.123005,39.072844,-84.30,37.734852,19536.421975,20210815_070558
4,KJKL20210815_110917_V06,20,0.546,119.39,266.241816,39.455016,-84.34,37.738465,19727.507753,20210815_070917
4,KJKL20210815_111236_V06,23,0.596,113.49,263.757569,38.338407,-84.37,37.749360,19169.203733,20210815_071236
4,KJKL20210815_111559_V06,26,0.521,113.96,262.022729,40.926117,-84.37,37.757198,20463.058433,20210815_071559
4,KJKL20210815_111924_V06,30,0.632,117.94,263.095239,47.343170,-84.35,37.752567,23671.584826,20210815_071924
4,KJKL20210815_112247_V06,33,0.227,115.26,260.742159,49.183049,-84.36,37.763032,24591.524398,20210815_072247
5,KJKL20210815_104544_V06,-4,0.181,131.48,209.231262,12.327927,-84.27,37.995837,6163.963318,20210815_064544
5,KJKL20210815_104921_V06,0,0.336,131.56,208.995191,17.908104,-84.27,37.996904,8954.051952,20210815_064921
5,KJKL20210815_105241_V06,3,0.447,132.47,207.984862,19.689480,-84.27,38.001497,9844.739988,20210815_065241
5,KJKL20210815_105600_V06,7,0.590,137.63,212.143205,26.395716,-84.24,37.982999,13197.858029,20210815_065600
5,KJKL20210815_110239_V06,13,0.543,137.53,211.294945,33.787931,-84.24,37.986816,16893.965613,20210815_070239
5,KJKL20210815_110558_V06,16,0.481,137.06,211.318875,37.554050,-84.24,37.986687,18777.025052,20210815_070558
5,KJKL20210815_110917_V06,20,0.390,135.21,215.326601,42.653452,-84.25,37.968552,21326.725794,20210815_070917
5,KJKL20210815_111236_V06,23,0.290,133.60,221.210875,49.019863,-84.26,37.941974,24509.931361,20210815_071236
5,KJKL20210815_111559_V06,26,0.078,134.97,213.739188,49.896291,-84.25,37.975691,24948.145316,20210815_071559
2,KJKL20210815_102425_V06,-25,0.064,209.50,233.675293,4.712746,-83.83,37.888494,2356.372833,20210815_062425
3,KJKL20210815_102757_V06,-22,0.085,283.14,364.234406,27.147587,-83.41,37.301411,13573.793411,20210815_062757
9,KJKL20210815_110558_V06,16,0.080,170.74,145.820862,41.375389,-84.05,38.283059,20687.694550,20210815_070558
11,KJKL20210815_114627_V06,57,0.075,32.70,390.025513,50.862503,-84.82,37.175636,25431.251526,20210815_074627
12,KJKL20210815_120016_V06,71,0.112,37.97,378.010986,51.577328,-84.79,37.230130,25788.663864,20210815_080016
12,KJKL20210815_120352_V06,74,-1.000,37.97,378.010986,56.347328,-84.79,37.230130,28173.663864,20210815_080352
12,KJKL20210815_120728_V06,78,0.095,34.73,375.367310,50.492447,-84.81,37.241808,25246.223450,20210815_080728
