track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KLBB20170720_113058_V06,-21,0.300,214.05,58.958618,14.391220,-102.28,34.739779,7195.610046,20170720_063058
1,KLBB20170720_114042_V06,-11,0.188,210.60,59.891320,25.778040,-102.30,34.735503,12889.019844,20170720_064042
9,KLBB20170720_120959_V06,18,0.055,251.23,58.474915,10.523380,-102.08,34.742561,5261.690140,20170720_070959
9,KLBB20170720_121944_V06,28,0.238,231.23,58.617143,17.843466,-102.19,34.741637,8921.733237,20170720_071944
14,KLBB20170720_122930_V06,38,0.052,256.30,52.082886,7.159527,-102.05,34.771427,3579.763412,20170720_072930
14,KLBB20170720_123915_V06,48,0.105,255.84,52.793999,14.512422,-102.05,34.768217,7256.211218,20170720_073915
16,KLBB20170720_123915_V06,48,0.080,454.23,251.572723,27.880264,-100.98,33.869664,13940.132141,20170720_073915
16,KLBB20170720_124900_V06,58,-1.000,454.23,251.572723,43.780264,-100.98,33.869664,21890.132141,20170720_074900
16,KLBB20170720_130832_V06,77,0.076,454.22,228.855668,46.653104,-100.98,33.972061,23326.551939,20170720_080832
19,KLBB20170720_130832_V06,77,0.413,414.79,179.905457,38.976364,-101.19,34.193956,19488.182068,20170720_080832
19,KLBB20170720_131817_V06,87,0.613,417.11,174.058229,47.799265,-101.18,34.220248,23899.632674,20170720_081817
3,KLBB20170720_113058_V06,-21,0.058,137.99,367.331451,35.603333,-102.68,33.347573,17801.666260,20170720_063058
5,KLBB20170720_114042_V06,-11,0.067,413.80,183.473785,35.284866,-101.20,34.177899,17642.433167,20170720_064042
6,KLBB20170720_114042_V06,-11,0.054,283.47,323.377960,14.425323,-101.90,33.548751,7212.661743,20170720_064042
8,KLBB20170720_120014_V06,9,0.058,342.28,355.897156,9.639114,-101.59,33.401977,4819.557190,20170720_070014
11,KLBB20170720_122930_V06,38,0.162,283.07,329.149414,15.426392,-101.90,33.522732,7713.195801,20170720_072930
15,KLBB20170720_123915_V06,48,0.082,178.79,88.774780,7.726700,-102.47,34.604520,3863.349915,20170720_073915
20,KLBB20170720_130832_V06,77,0.082,409.17,131.099640,26.289612,-101.22,34.414088,13144.805908,20170720_080832
