track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KLIX20181019_114822_V06,-16,0.194,228.01,294.937775,8.903587,-90.20,30.358966,4451.793671,20181019_064822
1,KLIX20181019_120748_V06,3,0.053,202.26,304.092412,17.440674,-90.33,30.317225,8720.337161,20181019_070748
1,KLIX20181019_121730_V06,13,-1.000,188.93,308.831870,22.120365,-90.40,30.295562,11060.182565,20181019_071730
1,KLIX20181019_122713_V06,23,-1.000,175.60,313.571328,26.800056,-90.47,30.273862,13400.027969,20181019_072713
1,KLIX20181019_123654_V06,32,0.204,182.02,325.530943,26.819479,-90.44,30.220082,13409.739707,20181019_073654
1,KLIX20181019_124637_V06,42,0.090,173.84,352.931436,27.699458,-90.48,30.096293,13849.729158,20181019_074637
3,KLIX20181019_120748_V06,3,0.178,335.44,331.239441,18.085831,-89.64,30.195641,9042.915344,20181019_070748
3,KLIX20181019_121730_V06,13,0.099,335.93,331.214906,27.016453,-89.64,30.195748,13508.226636,20181019_071730
10,KLIX20181019_131548_V06,71,0.065,32.94,433.350769,54.587807,-91.21,29.727910,27293.903351,20181019_081548
5,KLIX20181030_120037_V06,-12,0.157,106.63,379.721497,6.079144,-90.83,29.973257,3039.571762,20181030_070037
5,KLIX20181030_120617_V06,-6,0.540,107.43,378.405690,14.175829,-90.82,29.979223,7087.914522,20181030_070617
5,KLIX20181030_121156_V06,-1,0.798,110.04,377.305794,17.200457,-90.81,29.984287,8600.228703,20181030_071156
5,KLIX20181030_121735_V06,5,-1.000,112.64,376.027478,21.841374,-90.80,29.990153,10920.686926,20181030_071735
5,KLIX20181030_122315_V06,11,0.056,90.35,378.763066,22.671734,-90.91,29.976906,11335.867163,20181030_072315
5,KLIX20181030_122854_V06,16,0.871,73.03,368.935929,29.805752,-91.00,30.020451,14902.876107,20181030_072854
5,KLIX20181030_123434_V06,22,0.790,71.34,368.902665,33.812745,-91.01,30.020522,16906.372714,20181030_073434
5,KLIX20181030_124014_V06,28,0.787,72.71,369.921568,33.227227,-91.00,30.015991,16613.613332,20181030_074014
5,KLIX20181030_124553_V06,33,0.295,73.86,364.791025,39.848989,-91.00,30.039184,19924.494338,20181030_074553
5,KLIX20181030_125133_V06,39,0.208,70.16,377.702490,39.735323,-91.02,29.980779,19867.661739,20181030_075133
5,KLIX20181030_130252_V06,50,0.393,66.47,390.197845,33.992805,-91.03,29.924249,16996.402740,20181030_080252
5,KLIX20181030_130830_V06,56,0.153,70.78,393.371918,29.119293,-91.01,29.910139,14559.646606,20181030_080830
9,KLIX20181030_120617_V06,-6,0.618,172.47,369.713867,14.700722,-90.49,30.020564,7350.360870,20181030_070617
9,KLIX20181030_121156_V06,-1,0.801,169.93,373.004472,24.289211,-90.50,30.005655,12144.605695,20181030_071156
9,KLIX20181030_121735_V06,5,0.855,171.16,373.408423,30.701554,-90.49,30.003865,15350.776974,20181030_071735
9,KLIX20181030_122315_V06,11,0.888,172.65,371.175576,34.590919,-90.49,30.013975,17295.459256,20181030_072315
9,KLIX20181030_122854_V06,16,0.926,172.97,369.621427,40.043246,-90.48,30.020993,20021.622939,20181030_072854
9,KLIX20181030_123434_V06,22,0.792,176.91,363.740627,43.863049,-90.46,30.047619,21931.524399,20181030_073434
9,KLIX20181030_124014_V06,28,0.535,177.84,360.585102,49.209736,-90.46,30.061875,24604.868025,20181030_074014
9,KLIX20181030_124553_V06,33,0.604,174.34,362.162386,51.147237,-90.48,30.054672,25573.618514,20181030_074553
9,KLIX20181030_125133_V06,39,0.552,170.64,364.520159,55.647110,-90.50,30.043941,27823.555158,20181030_075133
10,KLIX20181030_120617_V06,-6,0.452,170.50,455.797058,6.063118,-90.49,29.632236,3031.558990,20181030_070617
10,KLIX20181030_121156_V06,-1,0.394,170.67,455.704518,12.386233,-90.49,29.632658,6193.116458,20181030_071156
10,KLIX20181030_121735_V06,5,0.830,168.97,453.283610,14.915184,-90.50,29.643533,7457.591839,20181030_071735
10,KLIX20181030_122315_V06,11,0.916,168.41,452.324744,18.763201,-90.50,29.647843,9381.600400,20181030_072315
10,KLIX20181030_122854_V06,16,0.906,168.76,449.542238,24.160358,-90.50,29.660403,12080.179024,20181030_072854
10,KLIX20181030_123434_V06,22,0.947,168.05,448.999282,27.618445,-90.51,29.662833,13809.222500,20181030_073434
10,KLIX20181030_124014_V06,28,0.928,171.05,449.211312,30.337466,-90.49,29.661957,15168.732921,20181030_074014
10,KLIX20181030_124553_V06,33,0.935,169.95,446.705644,30.555703,-90.50,29.673229,15277.851339,20181030_074553
10,KLIX20181030_125133_V06,39,0.052,167.28,442.410937,35.476502,-90.51,29.692529,17738.251064,20181030_075133
11,KLIX20181030_120617_V06,-6,0.363,18.07,259.623444,12.448089,-91.29,30.510531,6224.044323,20181030_070617
11,KLIX20181030_121156_V06,-1,0.844,19.87,260.543578,21.250042,-91.28,30.506487,10625.021194,20181030_071156
11,KLIX20181030_121735_V06,5,0.869,24.00,257.115623,28.292842,-91.26,30.522183,14146.420825,20181030_071735
11,KLIX20181030_122315_V06,11,0.638,27.16,252.133491,28.949251,-91.25,30.544830,14474.625282,20181030_072315
11,KLIX20181030_122854_V06,16,0.358,29.76,264.222698,39.914756,-91.23,30.490460,19957.377868,20181030_072854
11,KLIX20181030_123434_V06,22,0.057,34.45,258.840424,40.359810,-91.21,30.514992,20179.905178,20181030_073434
6,KLIX20181030_120037_V06,-12,0.116,344.29,326.425232,8.336060,-89.60,30.217282,4168.029785,20181030_070037
6,KLIX20181030_120617_V06,-6,0.383,345.89,325.856539,15.809088,-89.59,30.219832,7904.544098,20181030_070617
6,KLIX20181030_121156_V06,-1,0.767,350.50,323.566071,20.163776,-89.56,30.230117,10081.887769,20181030_071156
6,KLIX20181030_121735_V06,5,0.211,352.30,324.336243,25.500214,-89.55,30.226624,12750.107093,20181030_071735
8,KLIX20181030_120617_V06,-6,0.870,67.38,375.097626,8.065479,-91.03,29.992395,4032.739639,20181030_070617
8,KLIX20181030_121156_V06,-1,0.891,68.48,374.785080,14.426104,-91.03,29.993857,7213.052000,20181030_071156
8,KLIX20181030_121735_V06,5,0.856,68.00,369.513087,19.090778,-91.03,30.017611,9545.388895,20181030_071735
8,KLIX20181030_122315_V06,11,0.630,70.36,365.561370,24.845429,-91.02,30.035545,12422.714300,20181030_072315
12,KLIX20181030_120617_V06,-6,0.324,108.60,471.386292,11.574995,-90.81,29.559897,5787.497520,20181030_070617
12,KLIX20181030_121156_V06,-1,0.151,109.66,469.636523,17.159694,-90.81,29.567831,8579.847064,20181030_071156
12,KLIX20181030_121735_V06,5,0.112,108.59,459.697898,21.056464,-90.81,29.612617,10528.232147,20181030_071735
12,KLIX20181030_122315_V06,11,-1.000,107.90,451.225624,25.549754,-90.82,29.650803,12774.876888,20181030_072315
12,KLIX20181030_122854_V06,16,-1.000,107.32,444.165397,29.294162,-90.82,29.682625,14647.080839,20181030_072854
12,KLIX20181030_123434_V06,22,-1.000,106.62,435.693124,33.787451,-90.82,29.720810,16893.725581,20181030_073434
12,KLIX20181030_124014_V06,28,-1.000,105.93,427.220850,38.280741,-90.83,29.758996,19140.370322,20181030_074014
12,KLIX20181030_124553_V06,33,0.067,110.16,439.562817,37.574298,-90.81,29.703495,18787.149169,20181030_074553
