track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KLTX20130812_104518_V06,12,0.854,32.55,436.345520,31.977331,-79.87,33.366133,15988.665581,20130812_064518
4,KLTX20130812_104827_V06,15,0.935,35.12,438.643573,36.858124,-79.85,33.355935,18429.062014,20130812_064827
4,KLTX20130812_105136_V06,18,0.936,38.96,439.638767,39.361106,-79.83,33.351686,19680.553060,20130812_065136
4,KLTX20130812_105445_V06,21,0.909,43.94,439.813063,43.248650,-79.80,33.351203,21624.324762,20130812_065445
4,KLTX20130812_105754_V06,24,0.945,45.82,440.191213,45.804518,-79.79,33.349612,22902.259174,20130812_065754
4,KLTX20130812_110117_V06,28,0.850,47.43,440.902166,49.873610,-79.79,33.346503,24936.805064,20130812_070117
4,KLTX20130812_110426_V06,31,0.526,47.62,444.441441,54.143359,-79.78,33.330561,27071.679358,20130812_070426
4,KLTX20130812_110735_V06,34,0.707,50.24,440.476792,53.909287,-79.77,33.348586,26954.643735,20130812_070735
4,KLTX20130812_111044_V06,37,0.146,50.07,441.131893,57.585635,-79.77,33.345623,28792.817617,20130812_071044
4,KLTX20130812_111354_V06,40,0.182,50.13,437.566816,58.753016,-79.77,33.361696,29376.507832,20130812_071354
4,KLTX20130812_111702_V06,44,0.126,44.36,442.844469,56.953499,-79.80,33.337565,28476.749575,20130812_071702
7,KLTX20130812_104827_V06,15,0.205,378.82,342.323914,7.419052,-78.00,33.797649,3709.526062,20130812_064827
7,KLTX20130812_105136_V06,18,0.644,379.27,343.879468,12.320375,-78.00,33.790628,6160.187626,20130812_065136
7,KLTX20130812_105445_V06,21,0.437,379.72,349.163841,14.308982,-78.00,33.766799,7154.490810,20130812_065445
7,KLTX20130812_105754_V06,24,0.140,380.33,352.860238,15.352989,-78.00,33.750125,7676.494707,20130812_065754
2,KLTX20130812_103859_V06,5,0.135,28.64,454.837799,38.852127,-79.89,33.282533,19426.063538,20130812_063859
2,KLTX20130812_104208_V06,9,0.521,29.77,453.780900,42.758957,-79.88,33.287370,21379.478428,20130812_064208
12,KLTX20130812_111354_V06,40,0.081,402.82,312.204529,27.038605,-77.87,33.932899,13519.302368,20130812_071354
14,KLTX20130812_111354_V06,40,0.055,287.32,365.521179,15.587891,-78.50,33.693796,7793.945312,20130812_071354
15,KLTX20130812_113249_V06,59,0.058,35.44,439.750122,47.896694,-79.85,33.350967,23948.347092,20130812_073249
8,KLTX20131026_111929_V06,-9,0.056,150.00,436.017517,8.824135,-79.24,33.373374,4412.067413,20131026_071929
8,KLTX20131026_112518_V06,-3,0.233,149.10,438.110214,17.735235,-79.24,33.363908,8867.617738,20131026_072518
10,KLTX20131026_112518_V06,-3,0.178,52.88,256.117401,7.667665,-79.77,34.179679,3833.832741,20131026_072518
10,KLTX20131026_113107_V06,3,0.081,52.90,257.193577,14.998722,-79.77,34.174830,7499.361115,20131026_073107
2,KLTX20131026_110201_V06,-26,0.052,130.16,339.447174,4.605982,-79.35,33.807933,2302.990913,20131026_070201
3,KLTX20131026_111340_V06,-15,0.320,384.42,262.683197,4.830887,-77.97,34.156528,2415.443420,20131026_071340
6,KLTX20131026_111929_V06,-9,0.076,190.25,164.101562,2.135674,-79.03,34.600273,1067.836761,20131026_071929
7,KLTX20131026_111929_V06,-9,0.060,381.43,340.063568,8.620010,-77.99,33.807788,4310.005188,20131026_071929
9,KLTX20131026_112518_V06,-3,0.440,413.27,116.654205,9.269455,-77.81,34.814023,4634.727478,20131026_072518
11,KLTX20131026_112518_V06,-3,0.175,304.10,170.768677,2.715988,-78.41,34.571672,1357.994080,20131026_072518
12,KLTX20131026_112518_V06,-3,0.168,95.21,270.592377,8.451992,-79.54,34.116724,4225.996017,20131026_072518
19,KLTX20131026_114833_V06,20,0.094,378.73,201.755798,17.254074,-78.00,34.431262,8627.037048,20131026_074833
20,KLTX20131026_120012_V06,32,0.064,107.00,282.039124,4.806950,-79.47,34.065691,2403.474808,20131026_080012
