track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KLVX20200805_103113_V06,-19,0.161,204.94,526.528931,18.326988,-86.48,36.953536,9163.494110,20200805_063113
5,KLVX20200805_104052_V06,-10,0.907,202.82,528.528803,24.654296,-86.49,36.944471,12327.147761,20200805_064052
5,KLVX20200805_110013_V06,10,0.789,213.53,524.329533,46.254044,-86.43,36.963656,23127.022117,20200805_070013
5,KLVX20200805_110953_V06,19,0.268,214.28,517.859697,56.454152,-86.43,36.992822,28227.076164,20200805_070953
1,KLVX20200805_102133_V06,-29,0.859,356.80,216.746368,5.148941,-85.62,38.349850,2574.470520,20200805_062133
1,KLVX20200805_103113_V06,-19,0.975,355.13,216.734230,15.574494,-85.63,38.349931,7787.246755,20200805_063113
1,KLVX20200805_104052_V06,-10,0.933,357.40,217.782569,28.244367,-85.62,38.345173,14122.183738,20200805_064052
10,KLVX20200805_104052_V06,-10,0.128,297.85,419.065094,30.979767,-85.96,37.438906,15489.883423,20200805_064052
10,KLVX20200805_110013_V06,10,0.545,294.52,422.628728,39.884160,-85.97,37.422848,19942.079801,20200805_070013
10,KLVX20200805_110953_V06,19,0.126,296.24,424.519730,40.233847,-85.97,37.414331,20116.923566,20200805_070953
15,KLVX20200805_110013_V06,10,0.503,20.46,438.994781,27.936232,-87.52,37.338505,13968.115807,20200805_070013
15,KLVX20200805_110953_V06,19,0.344,26.96,440.011166,40.852300,-87.48,37.334415,20426.149794,20200805_070953
15,KLVX20200805_111934_V06,29,0.111,34.92,443.471455,54.411209,-87.44,37.319411,27205.604502,20200805_071934
4,KLVX20200805_103113_V06,-19,0.180,228.69,163.457520,9.878342,-86.35,38.589617,4939.170837,20200805_063113
4,KLVX20200805_104052_V06,-10,0.335,223.55,166.505390,26.128380,-86.38,38.575783,13064.190021,20200805_064052
3,KLVX20200805_103113_V06,-19,0.306,436.37,239.106232,5.081787,-85.16,38.247005,2540.893555,20200805_063113
11,KLVX20200805_104052_V06,-10,0.068,257.59,237.972717,6.582180,-86.19,38.254437,3291.090012,20200805_064052
12,KLVX20200805_104052_V06,-10,0.062,284.07,85.551208,5.077377,-86.04,38.941185,2538.688660,20200805_064052
24,KLVX20200805_110953_V06,19,0.083,198.20,311.384155,6.263557,-86.52,37.922573,3131.778717,20200805_070953
4,KLVX20200810_104844_V06,-7,0.811,218.24,536.802246,23.352798,-86.40,36.907568,11676.399231,20200810_064844
4,KLVX20200810_110258_V06,7,0.948,235.67,540.346814,38.824906,-86.30,36.891941,19412.452756,20200810_070258
4,KLVX20200810_111006_V06,15,0.919,239.78,542.306308,44.566465,-86.28,36.883182,22283.232710,20200810_071006
4,KLVX20200810_111714_V06,22,0.929,249.29,544.192801,53.013475,-86.23,36.874824,26506.737447,20200810_071714
4,KLVX20200810_112420_V06,29,0.087,251.62,542.083056,60.132847,-86.22,36.884361,30066.423714,20200810_072420
1,KLVX20200810_104204_V06,-13,0.230,248.73,158.100159,13.811687,-86.24,38.614090,6905.843735,20200810_064204
5,KLVX20200810_104844_V06,-7,0.424,129.36,104.370117,22.529051,-86.93,38.852378,11264.525414,20200810_064844
7,KLVX20200810_110258_V06,7,0.484,543.99,66.063171,40.818336,-84.54,39.020615,20409.168243,20200810_070258
9,KLVX20200810_110258_V06,7,0.109,300.46,330.989166,8.227386,-85.94,37.835682,4113.693237,20200810_070258
