track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KLWX20160725_095343_V06,-12,0.331,235.12,402.479614,2.870010,-77.86,38.514110,1435.005188,20160725_055343
3,KLWX20160725_095700_V06,-8,0.054,235.06,402.194832,8.083927,-77.86,38.515391,4041.963618,20160725_055700
3,KLWX20160725_100017_V06,-5,0.710,236.11,405.150695,10.993884,-77.85,38.502097,5496.942001,20160725_060017
3,KLWX20160725_100335_V06,-2,0.516,239.13,404.158117,11.193402,-77.84,38.506621,5596.701171,20160725_060335
3,KLWX20160725_100652_V06,1,0.235,243.06,403.725269,12.771880,-77.81,38.508636,6385.939988,20160725_060652
1,KLWX20160725_095026_V06,-15,0.289,186.85,261.009644,15.490196,-78.14,39.150053,7745.098114,20160725_055026
1,KLWX20160725_095343_V06,-12,0.900,187.72,260.778681,17.435258,-78.14,39.151121,8717.629065,20160725_055343
1,KLWX20160725_095700_V06,-8,0.881,192.03,261.937381,19.839667,-78.11,39.146039,9919.833540,20160725_055700
1,KLWX20160725_100017_V06,-5,0.465,194.64,262.294945,23.463154,-78.10,39.144508,11731.577135,20160725_060017
5,KLWX20160725_095343_V06,-12,0.109,541.40,217.476105,23.866913,-76.09,39.339570,11933.456421,20160725_055343
5,KLWX20160725_095700_V06,-8,0.082,542.73,217.418715,30.315301,-76.08,39.339735,15157.650736,20160725_055700
5,KLWX20160725_100017_V06,-5,0.503,545.22,216.799757,30.852983,-76.07,39.342348,15426.491573,20160725_060017
5,KLWX20160725_100335_V06,-2,-1.000,547.11,216.381886,32.855411,-76.05,39.344096,16427.705513,20160725_060335
5,KLWX20160725_100652_V06,1,0.064,543.80,217.940063,26.784653,-76.07,39.337313,13392.326355,20160725_060652
16,KLWX20160725_105611_V06,51,0.057,299.82,190.998352,6.665817,-77.49,39.467191,3332.908630,20160725_065611
16,KLWX20160725_105928_V06,54,-1.000,299.82,190.998352,11.435817,-77.49,39.467191,5717.908630,20160725_065928
16,KLWX20160725_110245_V06,57,0.089,298.89,195.723633,4.803345,-77.49,39.445911,2401.672363,20160725_070245
2,KLWX20160805_095926_V06,-15,0.898,526.24,207.272888,26.832512,-76.17,39.386533,13416.255951,20160805_055926
2,KLWX20160805_100930_V06,-5,0.668,528.04,206.017214,37.676131,-76.16,39.392069,18838.065340,20160805_060930
2,KLWX20160805_101934_V06,5,0.426,535.46,205.993059,50.176964,-76.12,39.391683,25088.481766,20160805_061934
5,KLWX20160805_100930_V06,-5,0.505,363.06,405.105438,15.659859,-77.13,38.502315,7829.929352,20160805_060930
5,KLWX20160805_101934_V06,5,0.077,358.16,405.463952,32.808363,-77.15,38.500784,16404.181594,20160805_061934
4,KLWX20160805_100930_V06,-5,0.880,185.28,248.626251,15.843529,-78.15,39.205771,7921.764374,20160805_060930
17,KLWX20160805_113508_V06,81,0.053,307.34,380.254272,12.969505,-77.45,38.614804,6484.752655,20160805_073508
1,KLWX20160810_100918_V06,-10,0.080,308.05,338.211182,6.461834,-77.44,38.804169,3230.916977,20160810_060918
2,KLWX20160813_101131_V06,-11,0.558,540.07,209.449615,24.869553,-76.09,39.375803,12434.776306,20160813_061131
2,KLWX20160813_102133_V06,-1,0.868,546.68,210.762443,37.609784,-76.06,39.369429,18804.891975,20160813_062133
2,KLWX20160813_103136_V06,9,0.704,550.69,212.741988,45.157015,-76.03,39.360229,22578.507463,20160813_063136
1,KLWX20160813_101131_V06,-11,0.829,188.54,258.280548,12.947586,-78.13,39.162398,6473.793030,20160813_061131
1,KLWX20160813_102133_V06,-1,0.291,191.13,256.740832,25.350758,-78.12,39.169414,12675.379215,20160813_062133
1,KLWX20160813_103136_V06,9,0.175,184.62,246.728333,16.476746,-78.16,39.214296,8238.372803,20160813_063136
7,KLWX20160813_104138_V06,19,0.053,97.86,355.239044,37.456524,-78.65,38.721686,18728.261948,20160813_064138
2,KLWX20160817_101020_V06,-15,0.404,235.40,404.467285,5.373482,-77.86,38.505162,2686.740875,20160817_061020
2,KLWX20160817_101526_V06,-10,0.119,235.70,404.356682,11.802240,-77.86,38.505666,5901.119922,20160817_061526
20,KLWX20160817_104049_V06,15,0.256,172.62,239.529877,4.511787,-78.23,39.246297,2255.893707,20160817_064049
20,KLWX20160817_104554_V06,20,0.064,172.65,239.998849,10.901663,-78.23,39.244186,5450.831265,20160817_064554
21,KLWX20160817_104049_V06,15,0.184,135.83,182.829376,27.779243,-78.44,39.500093,13889.621735,20160817_064049
21,KLWX20160817_104554_V06,20,0.196,136.57,183.856473,34.088397,-78.44,39.495502,17044.198347,20160817_064554
24,KLWX20160817_104049_V06,15,0.052,204.09,160.705475,12.565674,-78.05,39.602284,6282.836914,20160817_064049
24,KLWX20160817_104554_V06,20,0.063,205.32,163.192073,20.053664,-78.04,39.591120,10026.831785,20160817_064554
50,KLWX20160817_113136_V06,66,0.073,304.68,375.938965,9.621796,-77.46,38.634246,4810.897827,20160817_073136
50,KLWX20160817_113641_V06,71,0.075,300.04,375.514428,19.227034,-77.49,38.636161,9613.516971,20160817_073641
5,KLWX20160817_101526_V06,-10,0.669,290.94,449.666138,8.375755,-77.54,38.302149,4187.877655,20160817_061526
6,KLWX20160817_101526_V06,-10,0.273,359.32,476.929871,12.118988,-77.15,38.178858,6059.494019,20160817_061526
9,KLWX20160817_101526_V06,-10,0.051,298.43,148.866333,16.572906,-77.50,39.656930,8286.453247,20160817_061526
10,KLWX20160817_102535_V06,0,0.229,266.45,359.669373,5.846497,-77.68,38.707370,2923.248291,20160817_062535
12,KLWX20160817_102535_V06,0,0.096,257.71,387.683472,3.391682,-77.73,38.581096,1695.840836,20160817_062535
