track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KMAX20210718_124822_V06,-3,0.153,383.44,445.846069,2.959976,-122.22,41.423459,1479.988098,20210718_054822
3,KMAX20210718_130858_V06,17,0.466,383.89,445.529092,8.105064,-122.21,41.424874,4052.531848,20210718_060858
3,KMAX20210718_131916_V06,28,-1.000,384.13,445.357331,11.151515,-122.21,41.425641,5575.757525,20210718_061916
3,KMAX20210718_132934_V06,38,-1.000,384.35,445.201185,13.921016,-122.21,41.426338,6960.508141,20210718_062934
3,KMAX20210718_133953_V06,48,-1.000,384.57,445.045038,16.690518,-122.21,41.427035,8345.258757,20210718_063953
3,KMAX20210718_140030_V06,69,0.079,395.77,455.453666,16.004234,-122.14,41.379860,8002.116915,20210718_070030
3,KMAX20210718_141048_V06,79,0.102,397.03,454.856689,15.265093,-122.14,41.382510,7632.546463,20210718_071048
3,KMAX20210718_142107_V06,90,0.063,397.52,453.397525,15.022063,-122.13,41.389064,7511.031727,20210718_072107
6,KMAX20210718_140030_V06,69,0.439,383.70,446.261658,4.545433,-122.22,41.421581,2272.716522,20210718_070030
6,KMAX20210718_141048_V06,79,0.448,383.89,445.228244,10.545092,-122.21,41.426229,5272.546082,20210718_071048
6,KMAX20210718_142107_V06,90,0.146,383.01,443.270552,10.516718,-122.22,41.435065,5258.359026,20210718_072107
1,KMAX20210718_122746_V06,-24,0.075,384.15,447.250916,4.283134,-122.21,41.417116,2141.567230,20210718_052746
1,KMAX20210718_123803_V06,-13,0.382,383.21,446.451077,10.198677,-122.22,41.420741,5099.338559,20210718_053803
5,KMAX20210718_132934_V06,38,0.052,384.11,445.536194,4.425194,-122.21,41.424836,2212.596893,20210718_062934
