track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KMBX20180729_110148_V06,-13,0.066,431.34,369.898987,12.810120,-99.98,48.074801,6405.059814,20180729_060148
4,KMBX20180729_111131_V06,-3,0.103,431.63,365.760663,24.010713,-99.98,48.093393,12005.356340,20180729_061131
4,KMBX20180729_112113_V06,7,0.194,440.44,337.112331,45.540064,-99.92,48.221732,22770.032164,20180729_062113
6,KMBX20180729_111131_V06,-3,0.205,393.41,383.671753,31.711937,-100.24,48.014546,15855.968475,20180729_061131
6,KMBX20180729_112113_V06,7,0.405,394.31,384.834918,37.013198,-100.23,48.009283,18506.599097,20180729_062113
6,KMBX20180729_113056_V06,16,-1.000,395.07,385.822511,42.324269,-100.23,48.004814,21162.134530,20180729_063056
6,KMBX20180729_114039_V06,26,0.408,393.28,369.707092,20.941391,-100.24,48.077344,10470.695496,20180729_064039
1,KMBX20180729_110148_V06,-13,0.687,415.94,198.796936,47.856461,-100.07,48.844847,23928.230286,20180729_060148
1,KMBX20180729_111131_V06,-3,-1.000,415.94,198.796936,63.756461,-100.07,48.844847,31878.230286,20180729_061131
1,KMBX20180729_112113_V06,7,0.122,415.09,179.533539,23.783905,-100.08,48.931491,11891.952515,20180729_062113
2,KMBX20180729_110148_V06,-13,0.175,333.33,237.489502,21.103363,-100.64,48.673349,10551.681519,20180729_060148
5,KMBX20180729_110148_V06,-13,0.064,66.52,178.712097,2.464199,-102.46,48.926900,1232.099533,20180729_060148
9,KMBX20180729_112113_V06,7,0.187,307.12,450.589996,26.160109,-100.82,47.715324,13080.054283,20180729_062113
11,KMBX20180729_112113_V06,7,0.051,276.84,164.345245,5.584778,-101.02,49.002329,2792.388916,20180729_062113
12,KMBX20180729_113056_V06,16,0.445,428.21,145.770691,16.843872,-99.99,49.082635,8421.936035,20180729_063056
2,KMBX20180804_105438_V06,-28,0.123,330.79,184.990295,57.296890,-100.65,48.909426,28648.445129,20180804_055438
