track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
14,KMHX20171022_112022_V06,1,0.340,431.85,133.739288,15.117676,-76.15,35.522971,7558.837891,20171022_072022
14,KMHX20171022_112517_V06,6,0.083,431.71,133.962677,21.936216,-76.15,35.521970,10968.108138,20171022_072517
14,KMHX20171022_113012_V06,11,0.600,423.52,141.755529,28.350362,-76.20,35.487112,14175.180900,20171022_073012
14,KMHX20171022_113507_V06,16,0.510,410.11,135.192753,27.505706,-76.27,35.517076,13752.853175,20171022_073507
14,KMHX20171022_114004_V06,21,0.056,417.54,129.296057,38.796577,-76.23,35.543439,19398.288494,20171022_074004
14,KMHX20171022_114459_V06,25,0.139,400.32,151.101471,12.795471,-76.32,35.445641,6397.735596,20171022_074459
1,KMHX20171022_105051_V06,-29,0.356,30.10,420.927002,42.096191,-78.34,34.221950,21048.095703,20171022_065051
1,KMHX20171022_110040_V06,-19,0.072,33.03,420.036039,52.228301,-78.33,34.226155,26114.150586,20171022_070040
3,KMHX20171022_110040_V06,-19,0.055,358.59,323.991486,16.024063,-76.56,34.667278,8012.031555,20171022_070040
3,KMHX20171022_110535_V06,-14,0.132,356.45,325.188765,21.653307,-76.57,34.661912,10826.653683,20171022_070535
6,KMHX20171022_110535_V06,-14,0.112,314.80,172.072510,2.778137,-76.79,35.352355,1389.068604,20171022_070535
6,KMHX20171022_111031_V06,-9,0.270,314.56,173.134630,9.984193,-76.80,35.347570,4992.096704,20171022_071031
15,KMHX20171022_112022_V06,1,0.069,365.35,56.474670,15.698135,-76.51,35.872784,7849.067688,20171022_072022
15,KMHX20171022_112517_V06,6,0.268,364.59,61.749030,25.388468,-76.52,35.849029,12694.234081,20171022_072517
33,KMHX20171022_120440_V06,45,0.272,422.36,155.260895,19.932922,-76.20,35.426287,9966.461182,20171022_080440
33,KMHX20171022_120936_V06,50,-1.000,422.36,155.260895,27.882922,-76.20,35.426287,13941.461182,20171022_080936
33,KMHX20171022_121431_V06,55,0.311,427.61,143.941102,32.429107,-76.17,35.477135,16214.553596,20171022_081431
43,KMHX20171022_124403_V06,85,0.192,377.83,332.026917,20.746490,-76.45,34.630740,10373.245239,20171022_084403
43,KMHX20171022_124857_V06,89,0.121,379.40,332.479707,26.964537,-76.44,34.628669,13482.268603,20171022_084857
4,KMHX20171022_110535_V06,-14,0.317,370.80,243.004272,14.934235,-76.49,35.032092,7467.117310,20171022_070535
9,KMHX20171022_111031_V06,-9,0.078,436.66,152.063171,19.216385,-76.12,35.440237,9608.192444,20171022_071031
10,KMHX20171022_111031_V06,-9,0.072,240.15,329.078491,16.091946,-77.20,34.644332,8045.972824,20171022_071031
11,KMHX20171022_111526_V06,-4,0.350,265.69,226.918488,10.963367,-77.06,35.105060,5481.683731,20171022_071526
12,KMHX20171022_111526_V06,-4,0.067,41.76,433.297852,39.170021,-78.28,34.166943,19585.010529,20171022_071526
17,KMHX20171022_112517_V06,6,0.380,448.82,409.769104,31.150726,-76.07,34.278384,15575.363159,20171022_072517
18,KMHX20171022_112517_V06,6,0.123,368.99,89.169067,16.018074,-76.50,35.725393,8009.037018,20171022_072517
19,KMHX20171022_112517_V06,6,0.115,225.63,312.700256,21.156158,-77.28,34.717912,10578.079224,20171022_072517
20,KMHX20171022_112517_V06,6,0.099,146.04,349.932343,11.080765,-77.72,34.547885,5540.382385,20171022_072517
21,KMHX20171022_112517_V06,6,0.079,260.78,131.271729,14.002197,-77.09,35.536063,7001.098633,20171022_072517
22,KMHX20171022_112517_V06,6,0.058,440.86,79.217834,49.323456,-76.10,35.768351,24661.727905,20171022_072517
23,KMHX20171022_113012_V06,11,0.230,340.67,346.721680,21.934364,-76.65,34.565046,10967.182159,20171022_073012
25,KMHX20171022_113012_V06,11,0.154,266.69,74.079041,16.489494,-77.06,35.793850,8244.747162,20171022_073012
30,KMHX20171022_114459_V06,25,0.340,144.76,362.095825,5.738754,-77.72,34.493016,2869.377136,20171022_074459
32,KMHX20171022_115450_V06,35,0.063,35.49,443.381165,32.876167,-78.31,34.121103,16438.083649,20171022_075450
34,KMHX20171022_120936_V06,50,0.313,344.49,346.480743,19.160175,-76.63,34.566092,9580.087662,20171022_080936
37,KMHX20171022_122422_V06,65,0.220,368.56,56.824890,19.027145,-76.50,35.871152,9513.572693,20171022_082422
39,KMHX20171022_123412_V06,75,0.213,381.64,327.830261,25.427109,-76.43,34.649581,12713.554382,20171022_083412
42,KMHX20171022_123908_V06,80,0.225,276.52,301.788116,17.341492,-77.00,34.767703,8670.745850,20171022_083908
44,KMHX20171022_124403_V06,85,0.099,408.13,149.182434,16.115173,-76.28,35.454087,8057.586670,20171022_084403
45,KMHX20171022_124403_V06,85,0.067,73.77,371.732300,75.995155,-78.11,34.446288,37997.577667,20171022_084403
3,KMHX20171026_111639_V06,-6,0.077,315.41,184.461365,4.909225,-76.79,35.296521,2454.612732,20171026_071639
3,KMHX20171026_112134_V06,-1,0.080,315.52,186.765643,12.218059,-76.79,35.286135,6109.029405,20171026_072134
15,KMHX20171026_123029_V06,68,0.054,205.20,341.692688,4.999718,-77.39,34.586818,2499.858856,20171026_083029
15,KMHX20171026_123525_V06,73,0.054,204.65,340.776548,11.656380,-77.40,34.590934,5828.190250,20171026_083525
2,KMHX20171026_111143_V06,-11,0.065,499.94,95.109253,35.157143,-75.77,35.694228,17578.571320,20171026_071143
2,KMHX20171026_111639_V06,-6,-1.000,499.94,95.109253,43.107143,-75.77,35.694228,21553.571320,20171026_071639
2,KMHX20171026_112134_V06,-1,0.069,517.23,97.167664,32.940475,-75.68,35.684052,16470.237732,20171026_072134
5,KMHX20171026_112134_V06,-1,0.188,205.34,299.822479,5.468155,-77.39,34.775532,2734.077454,20171026_072134
6,KMHX20171026_112134_V06,-1,0.082,339.08,78.848022,54.904427,-76.66,35.772307,27452.213287,20171026_072134
11,KMHX20171026_112629_V06,4,0.123,342.41,308.890076,21.101318,-76.64,34.735541,10550.659180,20171026_072629
11,KMHX20171026_113124_V06,9,-1.000,342.41,308.890076,29.051318,-76.64,34.735541,14525.659180,20171026_073124
11,KMHX20171026_113620_V06,14,0.055,340.03,305.004669,21.079697,-76.66,34.753077,10539.848328,20171026_073620
2,KMHX20171031_110833_V06,-19,0.202,416.80,143.592773,4.741608,-76.23,35.479034,2370.803833,20171031_070833
2,KMHX20171031_111329_V06,-14,0.133,417.69,144.013650,11.092997,-76.23,35.477111,5546.498499,20171031_071329
2,KMHX20171031_111824_V06,-9,0.354,423.39,144.835954,11.943844,-76.20,35.473235,5971.921794,20171031_071824
2,KMHX20171031_112318_V06,-4,0.082,423.44,147.752612,14.144912,-76.20,35.460089,7072.456138,20171031_072318
2,KMHX20171031_112814_V06,1,0.937,435.87,147.613849,26.963318,-76.13,35.460314,13481.658861,20171031_072814
2,KMHX20171031_113309_V06,6,0.950,438.49,146.819008,29.621447,-76.11,35.463807,14810.723512,20171031_073309
2,KMHX20171031_113803_V06,11,0.894,435.01,146.559643,30.741694,-76.13,35.465094,15370.847223,20171031_073803
2,KMHX20171031_114259_V06,15,0.850,429.00,140.683706,30.970536,-76.17,35.491770,15485.267752,20171031_074259
2,KMHX20171031_114754_V06,20,0.537,424.12,137.707784,31.440834,-76.19,35.505334,15720.417106,20171031_074754
2,KMHX20171031_115250_V06,25,0.096,420.30,137.776412,31.888180,-76.21,35.505141,15944.090135,20171031_075250
2,KMHX20171031_120241_V06,35,-1.000,411.92,135.956685,32.797085,-76.26,35.513584,16398.542521,20171031_080241
2,KMHX20171031_120737_V06,40,0.063,401.54,106.155365,55.445236,-76.32,35.648155,27722.618103,20171031_080737
10,KMHX20171031_111824_V06,-9,0.112,263.10,227.828217,2.884689,-77.08,35.100938,1442.344666,20171031_071824
10,KMHX20171031_112318_V06,-4,0.160,263.37,227.298953,9.630796,-77.08,35.103325,4815.398077,20171031_072318
10,KMHX20171031_112814_V06,1,0.092,252.08,217.834787,20.020067,-77.14,35.145861,10010.033624,20171031_072814
10,KMHX20171031_113309_V06,6,0.165,246.62,209.224120,23.114793,-77.17,35.184599,11557.396355,20171031_073309
10,KMHX20171031_113803_V06,11,0.082,240.63,208.721045,25.925432,-77.20,35.186782,12962.716074,20171031_073803
10,KMHX20171031_114259_V06,15,0.148,235.38,209.573554,27.938645,-77.23,35.182860,13969.322661,20171031_074259
9,KMHX20171031_111329_V06,-14,0.059,315.64,173.416077,4.533966,-76.79,35.346297,2266.983032,20171031_071329
9,KMHX20171031_111824_V06,-9,-1.000,315.64,173.416077,12.483966,-76.79,35.346297,6241.983032,20171031_071824
9,KMHX20171031_112318_V06,-4,-1.000,315.64,173.416077,20.433966,-76.79,35.346297,10216.983032,20171031_072318
9,KMHX20171031_112814_V06,1,-1.000,315.64,173.416077,28.383966,-76.79,35.346297,14191.983032,20171031_072814
9,KMHX20171031_113309_V06,6,-1.000,315.64,173.416077,36.333966,-76.79,35.346297,18166.983032,20171031_073309
9,KMHX20171031_113803_V06,11,-1.000,315.64,173.416077,44.283966,-76.79,35.346297,22141.983032,20171031_073803
9,KMHX20171031_114259_V06,15,-1.000,315.64,173.416077,50.643966,-76.79,35.346297,25321.983032,20171031_074259
