track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
12,KMOB20210804_111607_V06,4,0.750,171.03,405.033691,7.848602,-88.91,30.203991,3924.301147,20210804_061607
12,KMOB20210804_112000_V06,8,0.077,170.91,404.900190,14.995614,-88.91,30.204590,7497.806873,20210804_062000
12,KMOB20210804_112406_V06,12,0.460,171.81,406.514038,16.557541,-88.91,30.197335,8278.770658,20210804_062406
12,KMOB20210804_112812_V06,16,0.269,169.98,407.150760,19.003225,-88.91,30.194414,9501.612355,20210804_062812
12,KMOB20210804_113205_V06,20,0.097,168.27,403.645227,18.759432,-88.92,30.210179,9379.716184,20210804_063205
12,KMOB20210804_113556_V06,23,0.225,166.70,404.112574,19.851681,-88.93,30.208028,9925.840696,20210804_063556
12,KMOB20210804_113948_V06,27,0.504,166.94,407.239652,26.240790,-88.93,30.193930,13120.395199,20210804_063948
12,KMOB20210804_114354_V06,31,0.212,167.20,409.575892,30.758819,-88.93,30.183401,15379.409408,20210804_064354
12,KMOB20210804_114748_V06,35,0.188,169.14,406.766699,30.403708,-88.92,30.196124,15201.854189,20210804_064748
12,KMOB20210804_115141_V06,39,0.219,170.58,405.281713,31.541288,-88.91,30.202860,15770.643855,20210804_065141
12,KMOB20210804_115548_V06,43,0.623,170.11,407.331282,34.089051,-88.91,30.193604,17044.525611,20210804_065548
7,KMOB20210804_105538_V06,-17,0.076,357.27,123.893219,20.590134,-87.94,31.473289,10295.066833,20210804_055538
7,KMOB20210804_110350_V06,-9,0.931,359.10,127.236276,24.981960,-87.93,31.458191,12490.980231,20210804_060350
7,KMOB20210804_110755_V06,-5,0.944,358.31,128.924656,27.550202,-87.93,31.450587,13775.100892,20210804_060755
7,KMOB20210804_111201_V06,0,0.840,356.80,131.430715,32.717589,-87.94,31.439305,16358.794438,20210804_061201
7,KMOB20210804_111607_V06,4,0.184,358.91,129.970265,36.867574,-87.93,31.445865,18433.786755,20210804_061607
7,KMOB20210804_112000_V06,8,0.587,363.55,129.300339,38.184073,-87.91,31.448825,19092.036264,20210804_062000
7,KMOB20210804_112406_V06,12,0.346,361.94,128.059745,42.428351,-87.91,31.454441,21214.175492,20210804_062406
7,KMOB20210804_112812_V06,16,0.145,364.56,126.896651,43.498695,-87.90,31.459651,21749.347697,20210804_062812
13,KMOB20210804_111607_V06,4,0.415,312.87,404.673767,24.217247,-88.17,30.207324,12108.623505,20210804_061607
13,KMOB20210804_112000_V06,8,-1.000,312.87,404.673767,30.577247,-88.17,30.207324,15288.623505,20210804_062000
13,KMOB20210804_112406_V06,12,0.748,317.66,409.068526,29.759533,-88.15,30.187487,14879.766492,20210804_062406
13,KMOB20210804_112812_V06,16,0.874,317.50,411.079523,32.435768,-88.15,30.178417,16217.883909,20210804_062812
13,KMOB20210804_113205_V06,20,0.813,317.83,416.989440,31.711116,-88.15,30.151760,15855.557928,20210804_063205
13,KMOB20210804_113556_V06,23,0.851,313.45,423.024647,29.335408,-88.17,30.124553,14667.704089,20210804_063556
13,KMOB20210804_113948_V06,27,0.652,312.07,425.003025,27.154950,-88.18,30.115633,13577.475005,20210804_063948
13,KMOB20210804_114354_V06,31,0.492,310.03,427.073952,27.937126,-88.19,30.106297,13968.562919,20210804_064354
13,KMOB20210804_114748_V06,35,0.349,307.16,429.029997,29.158605,-88.20,30.097479,14579.302337,20210804_064748
4,KMOB20210804_105145_V06,-21,0.731,308.47,388.121521,14.427895,-88.20,30.281990,7213.947296,20210804_055145
4,KMOB20210804_105538_V06,-17,0.551,309.16,387.430597,19.859651,-88.19,30.285105,9929.825286,20210804_055538
4,KMOB20210804_110350_V06,-9,0.718,313.27,392.335700,21.123760,-88.17,30.262971,10561.880077,20210804_060350
4,KMOB20210804_110755_V06,-5,0.369,312.48,397.737277,24.673990,-88.17,30.238611,12336.994868,20210804_060755
4,KMOB20210804_111201_V06,0,0.531,309.40,398.455563,28.076298,-88.19,30.235378,14038.149191,20210804_061201
2,KMOB20210804_104739_V06,-25,0.075,28.56,458.454102,34.750793,-89.65,29.957157,17375.396729,20210804_054739
2,KMOB20210804_105145_V06,-21,0.104,28.58,458.452897,39.474094,-89.65,29.957164,19737.047033,20210804_055145
9,KMOB20210804_110350_V06,-9,0.079,339.24,347.039795,7.470833,-88.04,30.467125,3735.416412,20210804_060350
9,KMOB20210804_110755_V06,-5,0.071,339.76,346.420651,12.686622,-88.03,30.469913,6343.311072,20210804_060755
5,KMOB20210804_105145_V06,-21,0.086,331.24,340.519562,14.542927,-88.08,30.496591,7271.463394,20210804_055145
16,KMOB20210804_113205_V06,20,0.233,188.18,454.639954,26.966850,-88.82,29.980679,13483.425140,20210804_063205
17,KMOB20210804_113205_V06,20,0.072,376.43,356.551636,15.404755,-87.84,30.423776,7702.377319,20210804_063205
2,KMOB20211109_114438_V06,-30,0.163,303.45,407.864197,8.738350,-88.22,30.192950,4369.174957,20211109_054438
2,KMOB20211109_115146_V06,-23,0.157,306.20,406.371187,16.280126,-88.21,30.199681,8140.063086,20211109_055146
2,KMOB20211109_120557_V06,-9,0.238,349.40,391.320179,25.932105,-87.98,30.267316,12966.052676,20211109_060557
2,KMOB20211109_121255_V06,-2,0.099,355.86,390.285449,27.812238,-87.95,30.271913,13906.119009,20211109_061255
2,KMOB20211109_121956_V06,5,-1.000,365.99,387.631156,30.550988,-87.90,30.283756,15275.493893,20211109_061956
2,KMOB20211109_122704_V06,13,0.217,370.36,380.226044,22.119934,-87.87,30.317093,11059.967041,20211109_062704
2,KMOB20211109_123413_V06,20,0.053,369.67,383.021483,28.699398,-87.88,30.304495,14349.699094,20211109_063413
1,KMOB20211109_114438_V06,-30,0.694,351.49,381.284149,20.958122,-87.97,30.312560,10479.061127,20211109_054438
1,KMOB20211109_115146_V06,-23,0.173,349.37,386.203413,30.337430,-87.98,30.290395,15168.715216,20211109_055146
13,KMOB20211109_121956_V06,5,0.143,320.44,405.465271,20.159698,-88.13,30.203728,10079.849243,20211109_061956
13,KMOB20211109_122704_V06,13,0.204,320.30,404.147365,28.723817,-88.13,30.209672,14361.908601,20211109_062704
13,KMOB20211109_123413_V06,20,0.109,313.59,402.097839,22.752914,-88.17,30.218940,11376.457214,20211109_063413
13,KMOB20211109_124110_V06,27,0.082,315.82,401.184209,29.130487,-88.16,30.223054,14565.243460,20211109_064110
14,KMOB20211109_121956_V06,5,0.078,314.85,337.861328,57.514862,-88.16,30.508659,28757.431030,20211109_061956
14,KMOB20211109_122704_V06,13,-1.000,314.85,337.861328,70.234862,-88.16,30.508659,35117.431030,20211109_062704
14,KMOB20211109_123413_V06,20,-1.000,314.85,337.861328,81.364862,-88.16,30.508659,40682.431030,20211109_063413
14,KMOB20211109_124110_V06,27,0.062,300.44,319.381918,78.273364,-88.24,30.592026,39136.682103,20211109_064110
14,KMOB20211109_124819_V06,34,-1.000,293.02,309.858327,82.074140,-88.28,30.634973,41037.070047,20211109_064819
14,KMOB20211109_130230_V06,48,0.089,355.98,320.042053,17.040512,-87.95,30.588721,8520.256042,20211109_070230
19,KMOB20211109_124110_V06,27,0.086,215.52,453.021484,16.072693,-88.68,29.988534,8036.346436,20211109_064110
19,KMOB20211109_124819_V06,34,0.060,212.31,458.451451,27.422692,-88.69,29.963985,13711.345824,20211109_064819
6,KMOB20211109_120557_V06,-9,0.115,338.78,313.444550,28.838806,-88.04,30.618647,14419.403076,20211109_060557
8,KMOB20211109_120557_V06,-9,0.063,409.32,309.938782,21.227463,-87.67,30.633365,10613.731384,20211109_060557
