track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KMUX20180729_124133_V06,-29,0.139,273.91,354.114868,6.441330,-122.04,36.911381,3220.664978,20180729_054133
3,KMUX20180729_130239_V06,-8,0.275,120.96,114.297821,13.023521,-122.92,37.987504,6511.760712,20180729_060239
5,KMUX20180729_132356_V06,13,0.192,139.46,368.883484,13.218069,-122.80,36.841509,6609.034538,20180729_062356
6,KMUX20180729_140125_V06,51,0.257,140.22,373.004425,15.461784,-122.79,36.822975,7730.892181,20180729_070125
1,KMUX20180826_132110_V06,-12,0.224,388.71,271.095520,26.367020,-121.40,37.284447,13183.509827,20180826_062110
12,KMUX20180909_144523_V06,61,0.051,18.56,330.261353,20.559011,-123.48,37.008386,10279.505730,20180909_074523
12,KMUX20180909_145228_V06,68,0.232,18.62,343.126392,29.982730,-123.48,36.950441,14991.365172,20180909_075228
12,KMUX20180909_150640_V06,82,0.474,35.50,401.143748,54.539472,-123.38,36.690318,27269.736131,20180909_080640
12,KMUX20180909_151345_V06,89,0.669,34.55,413.470310,59.129414,-123.38,36.634722,29564.707179,20180909_081345
1,KMUX20180909_132021_V06,-24,0.118,33.34,251.874634,33.011162,-123.40,37.362549,16505.580902,20180909_062021
1,KMUX20180909_132716_V06,-17,0.052,35.33,262.529162,47.398934,-123.39,37.314700,23699.467244,20180909_062716
3,KMUX20180909_132021_V06,-24,0.051,112.48,390.172638,33.693001,-122.95,36.744351,16846.500397,20180909_062021
4,KMUX20180909_140954_V06,25,0.108,26.32,303.099335,39.098808,-123.44,37.131309,19549.404144,20180909_070954
5,KMUX20180909_141700_V06,33,0.081,107.70,287.852783,21.337402,-122.98,37.205058,10668.701172,20180909_071700
5,KMUX20180909_142406_V06,40,-1.000,107.70,287.852783,32.467402,-122.98,37.205058,16233.701172,20180909_072406
5,KMUX20180909_143111_V06,47,0.059,109.82,291.385834,21.933226,-122.97,37.189251,10966.612816,20180909_073111
6,KMUX20180909_142406_V06,40,0.114,34.53,372.280273,64.341110,-123.39,36.820271,32170.555115,20180909_072406
6,KMUX20180909_143111_V06,47,0.490,26.99,387.657898,55.725155,-123.43,36.750462,27862.577438,20180909_073111
6,KMUX20180909_143817_V06,54,-1.000,26.99,387.657898,66.855155,-123.43,36.750462,33427.577438,20180909_073817
6,KMUX20180909_144523_V06,61,0.165,26.71,389.672729,53.169750,-123.43,36.741365,26584.875107,20180909_074523
6,KMUX20180909_145228_V06,68,0.437,28.32,400.637299,47.086853,-123.42,36.692090,23543.426514,20180909_075228
15,KMUX20180909_145228_V06,68,0.089,60.76,184.456909,31.225811,-123.25,37.668080,15612.905502,20180909_075228
1,KMUX20181012_141529_V06,3,0.892,383.69,169.028320,18.388016,-121.42,37.744369,9194.007874,20181012_071529
1,KMUX20181012_142414_V06,12,0.914,386.68,170.091937,26.940910,-121.41,37.739508,13470.454819,20181012_072414
1,KMUX20181012_143253_V06,20,0.596,389.28,176.094224,40.128314,-121.39,37.712408,20064.157097,20181012_073253
1,KMUX20181012_144131_V06,29,0.434,384.34,171.637226,39.686901,-121.42,37.732601,19843.450530,20181012_074131
1,KMUX20181028_141803_V06,-10,0.162,535.30,324.705933,15.951904,-120.58,37.036589,7975.952148,20181028_071803
