track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
22,KMVX20200802_110848_V06,-1,0.084,125.84,163.316620,7.497826,-98.50,48.136797,3748.912811,20200802_060848
22,KMVX20200802_111732_V06,8,0.097,127.38,163.910599,15.758966,-98.48,48.134231,7879.482794,20200802_061732
22,KMVX20200802_112617_V06,17,0.342,123.81,172.207980,18.972434,-98.51,48.096683,9486.216929,20200802_062617
22,KMVX20200802_113718_V06,28,0.244,126.75,172.603145,18.860179,-98.49,48.095106,9430.089685,20200802_063718
22,KMVX20200802_114603_V06,37,-1.000,128.43,173.868464,19.347898,-98.48,48.089530,9673.948825,20200802_064603
22,KMVX20200802_120334_V06,54,-1.000,131.60,176.258510,20.269143,-98.46,48.078995,10134.571646,20200802_070334
22,KMVX20200802_121219_V06,63,-1.000,133.28,177.523829,20.756862,-98.44,48.073415,10378.430786,20200802_071219
22,KMVX20200802_122104_V06,72,0.086,163.67,172.121892,28.024097,-98.24,48.099497,14012.048391,20200802_072104
22,KMVX20200802_122949_V06,80,-1.000,171.72,171.721889,30.008027,-98.19,48.101711,15004.013689,20200802_072949
22,KMVX20200802_123836_V06,89,0.090,155.90,166.613565,29.540574,-98.29,48.123840,14770.287248,20200802_073836
15,KMVX20200802_110848_V06,-1,0.798,158.25,151.848816,14.832649,-98.28,48.190357,7416.324615,20200802_060848
15,KMVX20200802_111732_V06,8,0.637,158.91,153.302384,22.361325,-98.27,48.183858,11180.662345,20200802_061732
15,KMVX20200802_112617_V06,17,0.327,153.70,157.974895,28.131806,-98.31,48.162556,14065.902813,20200802_062617
15,KMVX20200802_113718_V06,28,0.250,149.54,167.947920,36.827873,-98.34,48.117475,18413.936702,20200802_063718
15,KMVX20200802_114603_V06,37,0.050,126.79,168.580963,15.584837,-98.49,48.113193,7792.418480,20200802_064603
7,KMVX20200802_105118_V06,-18,0.226,451.85,409.331848,9.956329,-96.33,47.031976,4978.164673,20200802_055118
7,KMVX20200802_110848_V06,-1,0.685,451.73,411.719097,15.349196,-96.33,47.021247,7674.598033,20200802_060848
9,KMVX20200802_105118_V06,-18,0.066,234.58,195.576172,12.398033,-97.76,47.996820,6199.016571,20200802_055118
9,KMVX20200802_110848_V06,-1,0.222,194.04,230.598103,19.923598,-98.03,47.837989,9961.798939,20200802_060848
12,KMVX20200802_105118_V06,-18,0.052,255.79,167.576080,1.804691,-97.62,48.123180,902.345657,20200802_055118
12,KMVX20200802_110848_V06,-1,0.083,255.43,166.601494,8.626655,-97.62,48.127556,4313.327572,20200802_060848
12,KMVX20200802_111732_V06,8,0.216,256.57,166.566284,2.230682,-97.62,48.127734,1115.341187,20200802_061732
17,KMVX20200802_110848_V06,-1,0.554,118.72,215.660706,13.802784,-98.54,47.900961,6901.391983,20200802_060848
17,KMVX20200802_111732_V06,8,0.354,119.03,218.603218,22.481539,-98.53,47.887752,11240.769615,20200802_061732
18,KMVX20200802_110848_V06,-1,0.454,119.88,410.413940,8.147985,-98.51,47.025327,4073.992729,20200802_060848
18,KMVX20200802_111732_V06,8,0.477,119.69,412.182025,16.365904,-98.51,47.017363,8182.952174,20200802_061732
21,KMVX20200802_110848_V06,-1,0.090,84.80,316.621399,16.554359,-98.75,47.444426,8277.179718,20200802_060848
21,KMVX20200802_111732_V06,8,0.081,80.94,316.441987,27.933862,-98.78,47.444911,13966.931162,20200802_061732
24,KMVX20200802_110848_V06,-1,0.054,111.54,126.098785,12.467747,-98.60,48.303112,6233.873367,20200802_060848
24,KMVX20200802_111732_V06,8,0.267,109.12,127.746419,21.156153,-98.61,48.295524,10578.076454,20200802_061732
26,KMVX20200802_111732_V06,8,0.390,142.12,436.936462,7.596184,-98.36,46.907481,3798.091888,20200802_061732
26,KMVX20200802_112617_V06,17,0.249,141.79,439.374885,16.674257,-98.36,46.896495,8337.128424,20200802_062617
10,KMVX20200802_105118_V06,-18,0.060,255.74,337.846832,2.407272,-97.62,47.357479,1203.636169,20200802_055118
13,KMVX20200802_105118_V06,-18,0.050,287.10,419.137268,14.308739,-97.41,46.992223,7154.369354,20200802_055118
31,KMVX20200802_112617_V06,17,0.331,25.46,425.273499,10.693670,-99.13,46.950366,5346.835136,20200802_062617
33,KMVX20200802_112617_V06,17,0.106,217.39,257.878845,12.314453,-97.88,47.716165,6157.226562,20200802_062617
34,KMVX20200802_112617_V06,17,0.086,47.55,168.731232,51.983158,-99.02,48.105942,25991.579056,20200802_062617
35,KMVX20200802_112617_V06,17,0.085,172.65,492.647583,13.062424,-98.16,46.658573,6531.211853,20200802_062617
40,KMVX20200802_113718_V06,28,0.051,205.30,348.054565,7.825333,-97.95,47.310232,3912.666321,20200802_063718
41,KMVX20200802_114603_V06,37,0.247,108.77,47.421387,12.588207,-98.62,48.656609,6294.103622,20200802_064603
1,KMVX20200919_132935_V06,77,0.064,206.35,350.019287,7.772751,-97.94,47.301434,3886.375427,20200919_082935
