track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KOAX20130826_112605_V06,-20,0.132,482.05,513.219849,11.787022,-95.29,40.355241,5893.510818,20130826_062605
3,KOAX20130826_113541_V06,-11,0.067,491.94,510.513822,23.063138,-95.24,40.366863,11531.569172,20130826_063541
11,KOAX20130826_114723_V06,1,0.062,350.45,403.478394,21.240524,-96.07,40.854004,10620.262146,20130826_064723
11,KOAX20130826_115658_V06,10,0.129,357.59,401.285093,32.243568,-96.02,40.863761,16121.784094,20130826_065658
4,KOAX20130826_112605_V06,-20,0.124,348.81,234.299927,10.319702,-96.07,41.615687,5159.851074,20130826_062605
7,KOAX20130826_113541_V06,-11,0.082,389.70,359.244202,14.222816,-95.83,41.052313,7111.408234,20130826_063541
9,KOAX20130826_114723_V06,1,0.121,383.26,440.237183,20.526711,-95.87,40.687829,10263.355255,20130826_064723
10,KOAX20130826_114723_V06,1,0.077,290.05,351.160492,23.023037,-96.43,41.089932,11511.518478,20130826_064723
12,KOAX20130826_114723_V06,1,0.057,234.13,192.228363,8.304024,-96.76,41.804775,4152.011871,20130826_064723
13,KOAX20130826_120634_V06,20,0.504,395.71,399.560547,27.484985,-95.80,40.870629,13742.492676,20130826_070634
14,KOAX20130826_120634_V06,20,0.187,297.00,182.287964,16.622787,-96.38,41.850202,8311.393738,20130826_070634
16,KOAX20130826_122546_V06,39,0.054,397.57,221.627655,71.747192,-95.78,41.671620,35873.596191,20130826_072546
16,KOAX20130826_123521_V06,49,0.062,385.88,189.409576,48.971695,-95.85,41.816989,24485.847473,20130826_073521
5,KOAX20130903_115852_V06,4,0.186,401.21,510.871338,31.625568,-95.77,40.369290,15812.784195,20130903_065852
5,KOAX20130903_120830_V06,14,0.111,406.82,511.843333,38.315636,-95.74,40.364736,19157.817763,20130903_070830
1,KOAX20130903_113938_V06,-15,0.061,291.24,367.457703,25.133778,-96.42,41.016561,12566.888809,20130903_063938
2,KOAX20130903_114915_V06,-5,0.173,405.68,81.758423,5.197159,-95.73,42.300966,2598.579407,20130903_064915
11,KOAX20130903_123723_V06,43,0.090,334.32,570.225952,27.893639,-96.17,40.103398,13946.819305,20130903_073723
14,KOAX20130903_125848_V06,64,0.076,34.07,451.622009,46.622437,-97.94,40.626833,23311.218262,20130903_075848
