track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KOKX20150819_095100_V06,-14,0.963,389.31,195.056183,10.604645,-72.33,41.336813,5302.322388,20150819_055100
5,KOKX20150819_100043_V06,-5,0.980,393.45,193.064204,22.582181,-72.31,41.345665,11291.090539,20150819_060043
5,KOKX20150819_101027_V06,5,0.982,398.15,186.585607,33.689081,-72.28,41.374692,16844.540722,20150819_061027
5,KOKX20150819_102011_V06,15,0.953,398.63,181.178846,44.871745,-72.27,41.399018,22435.872741,20150819_062011
5,KOKX20150819_102954_V06,24,0.145,393.81,180.878627,50.365946,-72.30,41.400512,25182.972853,20150819_062954
13,KOKX20150819_101027_V06,5,0.803,31.28,574.809692,25.645210,-74.43,39.617397,12822.605133,20150819_061027
13,KOKX20150819_102011_V06,15,0.936,36.28,568.601938,33.636587,-74.40,39.645742,16818.293426,20150819_062011
13,KOKX20150819_102954_V06,24,0.205,39.76,560.277062,39.070910,-74.38,39.683494,19535.454904,20150819_062954
3,KOKX20150819_094116_V06,-24,0.064,92.94,112.970825,22.093849,-74.11,41.700926,11046.924591,20150819_054116
3,KOKX20150819_095100_V06,-14,0.282,91.10,122.541338,32.637267,-74.12,41.657729,16318.633501,20150819_055100
8,KOKX20150819_095100_V06,-14,0.070,386.73,291.842682,7.613052,-72.35,40.901140,3806.526184,20150819_055100
8,KOKX20150819_100043_V06,-5,0.082,386.66,294.965130,16.988592,-72.35,40.887083,8494.296217,20150819_060043
8,KOKX20150819_101027_V06,5,-1.000,386.59,298.195250,27.783979,-72.35,40.872542,13891.989355,20150819_061027
8,KOKX20150819_102011_V06,15,0.213,387.63,295.647705,12.151077,-72.34,40.883984,6075.538635,20150819_062011
16,KOKX20150819_102954_V06,24,0.080,206.37,359.134155,4.713249,-73.42,40.597978,2356.624603,20150819_062954
16,KOKX20150819_103938_V06,34,0.147,207.49,354.535089,16.800865,-73.41,40.618717,8400.432615,20150819_063938
16,KOKX20150819_104922_V06,44,0.208,206.78,352.677185,10.194019,-73.42,40.627062,5097.009659,20150819_064922
16,KOKX20150819_105906_V06,54,0.055,206.29,352.492367,17.799830,-73.42,40.627880,8899.915121,20150819_065906
