track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KPAH20200708_101349_V06,-29,0.157,201.45,298.604462,9.663170,-89.33,37.073323,4831.584930,20200708_051349
5,KPAH20200708_102052_V06,-22,0.140,202.36,299.502650,19.940627,-89.32,37.069300,9970.313689,20200708_052052
5,KPAH20200708_102754_V06,-15,0.505,199.35,299.213083,22.916844,-89.34,37.070525,11458.422193,20200708_052754
3,KPAH20200708_101349_V06,-29,0.198,374.36,304.590210,6.717911,-88.35,37.046913,3358.955383,20200708_051349
3,KPAH20200708_102052_V06,-22,-1.000,374.36,304.590210,17.847911,-88.35,37.046913,8923.955383,20200708_052052
3,KPAH20200708_102754_V06,-15,0.211,387.73,297.867549,25.949978,-88.28,37.076912,12974.988856,20200708_052754
11,KPAH20200708_102754_V06,-15,0.055,280.37,258.983490,18.103363,-88.88,37.253070,9051.681519,20200708_052754
11,KPAH20200708_103457_V06,-8,0.069,275.94,258.301197,24.720357,-88.91,37.256118,12360.178284,20200708_053457
13,KPAH20200708_103457_V06,-8,0.360,379.22,351.359131,8.403522,-88.33,36.836102,4201.761246,20200708_053457
13,KPAH20200708_104356_V06,1,0.146,378.61,353.320245,17.917434,-88.33,36.827279,8958.716829,20200708_054356
19,KPAH20200708_104356_V06,1,0.265,320.18,377.673798,2.611099,-88.66,36.718317,1305.549622,20200708_054356
19,KPAH20200708_105059_V06,8,0.084,325.42,378.391739,10.894078,-88.63,36.715051,5447.039217,20200708_055059
26,KPAH20200708_110504_V06,23,0.237,174.31,321.310974,7.795433,-89.48,36.970215,3897.716522,20200708_060504
26,KPAH20200708_111207_V06,30,0.083,171.24,325.025430,17.875492,-89.49,36.953377,8937.745850,20200708_061207
1,KPAH20200708_101349_V06,-29,0.469,379.56,349.362488,4.652359,-88.33,36.845091,2326.179504,20200708_051349
2,KPAH20200708_101349_V06,-29,0.204,357.15,330.090881,28.945190,-88.45,36.932324,14472.595215,20200708_051349
10,KPAH20200708_102754_V06,-15,0.073,191.15,362.976410,48.977497,-89.38,36.783022,24488.748550,20200708_052754
10,KPAH20200708_103457_V06,-8,0.286,231.33,370.141602,14.928192,-89.16,36.751684,7464.096069,20200708_053457
23,KPAH20200708_105059_V06,8,0.059,336.23,382.781067,2.405396,-88.57,36.695186,1202.697754,20200708_055059
24,KPAH20200708_105059_V06,8,0.052,374.48,388.261719,31.470978,-88.36,36.669933,15735.488892,20200708_055059
25,KPAH20200708_110504_V06,23,0.337,215.73,339.913879,2.698563,-89.24,36.887558,1349.281311,20200708_060504
32,KPAH20200708_111207_V06,30,0.135,252.48,250.161499,4.499638,-89.04,37.292564,2249.818802,20200708_061207
32,KPAH20200708_111909_V06,37,-1.000,252.48,250.161499,15.629638,-89.04,37.292564,7814.818802,20200708_061909
32,KPAH20200708_112611_V06,44,0.139,252.56,251.615143,4.660820,-89.04,37.286016,2330.410004,20200708_062611
33,KPAH20200708_111207_V06,30,0.073,425.05,305.683594,29.217377,-88.07,37.040641,14608.688354,20200708_061207
35,KPAH20200708_112611_V06,44,0.058,241.32,372.443054,8.301765,-89.10,36.741483,4150.882721,20200708_062611
36,KPAH20200708_113313_V06,51,0.051,390.23,142.465881,5.302948,-88.26,37.776934,2651.473999,20200708_063313
37,KPAH20200708_114016_V06,58,0.055,386.02,321.035522,10.674011,-88.29,36.972573,5337.005615,20200708_064016
38,KPAH20200708_120123_V06,79,0.053,250.51,249.231812,7.479000,-89.05,37.296727,3739.500046,20200708_070123
1,KPAH20200813_104052_V06,-30,0.952,395.57,133.111908,10.741882,-88.23,37.818937,5370.941162,20200813_054052
1,KPAH20200813_104533_V06,-25,0.937,393.72,133.703141,15.754104,-88.24,37.816321,7877.051800,20200813_054533
1,KPAH20200813_105014_V06,-20,0.903,398.48,135.910619,20.129861,-88.21,37.806253,10064.930359,20200813_055014
1,KPAH20200813_105455_V06,-16,0.913,400.24,132.461043,23.470834,-88.20,37.821745,11735.416750,20200813_055455
1,KPAH20200813_110356_V06,-7,0.959,397.37,132.953114,31.846605,-88.22,37.819605,15923.302630,20200813_060356
1,KPAH20200813_110821_V06,-2,0.977,396.87,135.788157,37.681146,-88.22,37.806848,18840.572869,20200813_060821
1,KPAH20200813_111303_V06,3,0.954,396.39,137.465965,43.158409,-88.22,37.799302,21579.204297,20200813_061303
1,KPAH20200813_111744_V06,7,0.925,392.20,139.150165,49.779368,-88.25,37.791822,24889.684036,20200813_061744
1,KPAH20200813_112225_V06,12,0.884,387.79,144.721968,55.791549,-88.27,37.766830,27895.774414,20200813_062225
1,KPAH20200813_112644_V06,16,0.822,389.60,138.065409,61.937304,-88.26,37.796772,30968.652144,20200813_062644
1,KPAH20200813_113125_V06,21,0.354,385.95,131.826686,70.427237,-88.28,37.824963,35213.618489,20200813_063125
1,KPAH20200813_113606_V06,26,0.196,384.10,129.601356,74.152660,-88.29,37.835030,37076.330174,20200813_063606
1,KPAH20200813_114035_V06,30,0.106,377.52,129.515062,80.157442,-88.33,37.835562,40078.721056,20200813_064035
1,KPAH20200813_114455_V06,34,-1.000,372.93,128.337830,85.387352,-88.36,37.840959,42693.676009,20200813_064455
1,KPAH20200813_114929_V06,39,0.093,426.98,93.238251,54.272369,-88.05,37.997602,27136.184692,20200813_064929
8,KPAH20200813_105014_V06,-20,0.158,343.27,400.002869,13.411774,-88.53,36.617517,6705.886841,20200813_055014
8,KPAH20200813_105455_V06,-16,0.340,344.45,400.058967,17.890923,-88.52,36.617250,8945.461567,20200813_055455
8,KPAH20200813_110356_V06,-7,0.055,355.51,382.951805,28.651228,-88.46,36.694183,14325.613868,20200813_060356
8,KPAH20200813_110821_V06,-2,0.476,359.64,374.666003,30.522762,-88.44,36.731453,15261.381194,20200813_060821
8,KPAH20200813_111303_V06,3,0.144,366.00,374.336726,29.824313,-88.40,36.732830,14912.156388,20200813_061303
8,KPAH20200813_111744_V06,7,-1.000,370.72,372.279617,30.198839,-88.38,36.742013,15099.419391,20200813_061744
8,KPAH20200813_112225_V06,12,0.060,364.82,375.162561,29.618768,-88.41,36.729130,14809.383761,20200813_062225
8,KPAH20200813_112644_V06,16,0.167,367.48,377.522223,27.603277,-88.39,36.718452,13801.638264,20200813_062644
8,KPAH20200813_113125_V06,21,-1.000,369.24,379.285454,26.163625,-88.38,36.710476,13081.812263,20200813_063125
8,KPAH20200813_113606_V06,26,0.073,372.96,375.905496,27.131222,-88.36,36.725634,13565.610896,20200813_063606
