track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KPOE20211031_121054_V06,-16,0.630,452.20,344.667603,11.409832,-92.18,30.951376,5704.916000,20211031_071054
1,KPOE20211031_121943_V06,-7,0.954,456.19,347.030722,18.800733,-92.16,30.940589,9400.366704,20211031_071943
1,KPOE20211031_122832_V06,2,0.915,456.95,351.629923,24.050250,-92.15,30.919822,12025.124968,20211031_072832
1,KPOE20211031_123721_V06,11,0.563,454.06,356.850094,32.239554,-92.17,30.896377,16119.776987,20211031_073721
1,KPOE20211031_124610_V06,20,0.726,457.97,359.863473,44.683403,-92.15,30.882658,22341.701433,20211031_074610
1,KPOE20211031_130349_V06,37,0.457,440.21,364.978269,52.962323,-92.24,30.860154,26481.161536,20211031_080349
1,KPOE20211031_131238_V06,46,0.480,425.55,367.214087,54.962968,-92.32,30.850485,27481.484123,20211031_081238
13,KPOE20211031_123721_V06,11,0.598,535.27,351.586182,35.107658,-91.75,30.916756,17553.829193,20211031_073721
13,KPOE20211031_124610_V06,20,0.682,538.19,360.206822,46.408742,-91.73,30.877735,23204.371118,20211031_074610
13,KPOE20211031_130349_V06,37,0.051,536.56,397.827751,63.411826,-91.74,30.708169,31705.912976,20211031_080349
13,KPOE20211031_131238_V06,46,0.192,532.05,402.706280,73.332178,-91.76,30.686393,36666.088753,20211031_081238
13,KPOE20211031_132126_V06,55,0.163,459.57,412.286377,15.450897,-92.14,30.646191,7725.448608,20211031_082126
12,KPOE20211031_122832_V06,2,0.112,465.86,519.602295,36.493931,-92.11,30.161984,18246.965408,20211031_072832
12,KPOE20211031_123721_V06,11,0.062,462.12,519.376460,43.119118,-92.13,30.163131,21559.559106,20211031_073721
12,KPOE20211031_124610_V06,20,0.077,452.95,513.072998,36.848160,-92.18,30.191863,18424.079895,20211031_074610
2,KPOE20211031_121054_V06,-16,0.290,410.08,323.675690,2.939545,-92.40,31.047218,1469.772339,20211031_071054
9,KPOE20211031_121943_V06,-7,0.523,315.16,208.740662,8.180618,-92.90,31.566794,4090.309143,20211031_071943
14,KPOE20211031_123721_V06,11,0.056,535.15,526.849365,29.617805,-91.76,30.126392,14808.902740,20211031_073721
18,KPOE20211031_132126_V06,55,0.069,560.53,339.579559,17.633316,-91.61,30.969565,8816.658020,20211031_082126
